,lts,puj,eng,ind
0,Olumbe lwa Korona,Ja’ tenin Virus Korona ,About Coronavirus,Tentang Virus Corona
1,,,,
3,,,,
4,,Ja' tenin kutun corona ji' oih wo' la'ung kou dorén ja' tenin ja' enuh virus corona. ,,
6,,Pa ,,
7,,Urung ,,
8,,Metan ,,
9,,memboh an luang ,,
10,,A' iga ,,
11,,A' miram ,,
12,,Virus déh ngamang tat teveci ibah inih,,
13,,Mena' tang.  Kou déh maling bok tat teveci ungai ibah unan mena' tang duoh mitin.,,
14,,1,,
15,,"2m-0,5m",,
16,,Hacih! ,,
17,,"Jadi' tat kou ngenong a' nuken/ ngecim/ miram, kou ngom: ",,
18,,ARUNG DETOU MASKER. Jadi' detou ngom ngecim/nuken/an luang masker lun navun a'-a' an lirin rin.,,
19,,2,,
20,,"Jan noh ""sroot"" ",,
21,,ATAU,,
22,,A' inih laba' ovi' rin miram. ,,
23,,"A' wo' tubit nenggop laba' menyou mena tanu’, ja'enah pa' tenong ngom nyekadit layu' rin. ",,
24,,Ibi rin nyap jan rin menyo' tekung a' vi' kou maling jam hei wo' tubit bok piram. ,,
25,,ubat kun ,,
26,,a' iga ,,
27,,don kereta ,,
28,,tombol lift ,,
29,,tisu ,,
30,,gelas ,,
31,,"ubat digital (hp), komputer ",,
32,,ba' bi'ang a'un masker ,,
33,,nggah ocan ,,
34,,mouse ,,
35,,pulpen ,,
36,,don teban ,,
37,,kucu’ detou ,,
38,,"Tera' pe ah, nah pe lou ungei ibah a' miram ngom nekepit an...",,
39,,ketou piah ngom leruh miram. ,,
40,,unan jawei a' a' an lirim. ,,
41,,ngegaren metan ,,
42,,"Tat kou maling wok mendin amung amung inah, deh menggah jawei nuh rop, ",,
43,,"Ji' ji' tenin penggu lun mecui virus muvi' rin unan sabun, pemutih, pa' alkohol. ",,
44,,virus (uka’) ngom menyen nyelu duoh pulu' pat jam an a'un ji' amung. ,,
45,,Sabun,,
46,,ibi pekavou ja' inih.,,
47,,Igam inah kecan rin kelekan ,,
48,,uvi' unan sabun lemok an nih. ,,
50,,Ikun kucu’ ,,
51,,En nugih jawei nuh (pa' jawei hei vei rin). Tat kamen la'ung la'ung menggah rin uvi' lulung kucu' ketou unan sabun. ,,
52,,"Ja' ibi ngeledu' levun ""Petabe' uli' Luman"" duoh liwai. ",,
53,,an lela' ilun ,,
54,,nyelu duoh pulu' detik. ,,
55,,an tang tang cangau ,,
56,,Uvi' penuk kucu'. ,,
57,,Ja'a' ai ibi muvi' kucu' nyelu temai? ,,
58,,"Tat nenggah,en u’ut. Lacet uvi' kucu' unan sabun. ",,
59,,Én menggah ba' a'un masker tavun. ,,
60,,teveci ungei ibah ,,
61,,Virus ngom mangun vi' an ba' biang luang tavun masker tat peguna' kelak lali'. ,,
62,,Cui masker nuh tat uma' tuno. Én nyarung masker lali' déh ji' lou. ,,
63,,peguna' uluk kelien ,,
64,,kelovi ,,
65,,mé’ ,,
66,,iné’ ,,
67,,peguna' anduk rop rop ,,
68,,"Én pekua kun, ubat kun, gelas, perin anduk. ",,
69,,Kou maling ngom ngarap/menggah jawei unan ikun rop rop. Pira beh. ,,
70,,"Pira nyi'ah, pekop teban an ikun an le'ep. ",,
72,,tenaring andang muit tat levu' ,,
73,,em keman lulung ,,
74,,Kevi' uvi' kucu' unan sabun... ,,
75,,"Tupuh, ",,
77,,Tugum ne urip! ,,
80,,Baca' tips tips wo' aji' an artikel artikel an livou. ,,
81,,"""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)",,
82,,"""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan25, 2020)",,
83,,"""How to avoid the coronavirus? Wash your hands"", Elizabeth Rosenthal, in New York Times, Opinion. (Jan 28, 2020)",,
84,,Referensi utama yu' dengo medis: ,,
85,,"Keterangan tambahan: Tindakan pencegahan dalam bentuk komik ini sangat efektif untuk mencegah penularan penyakit umum lainnya, seperti flu dan pilek, dan harus diterapkan dalam kehidupan sehari-hari, bahkan ketika tidak ada wabah. Referensi: lnformasi dalam komik ini dibuat berdasarkan pemahaman COVID-19 hingga 28 Februari 2020, dan sebagian besar diambil dari tiga referensi ini. https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips. htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/   https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Informasi Tambahan Komik dalam bentuk PDF dapat diunduh di sini:  https://gumroad.com/weimankowart Pedoman Menyebarkan Komik Komik ini dapat dibagikan secara gratis melalui media daring, atau melalui Whatsapp dan Telegram, dan dapat diunduh secara gratis untuk dicetak dalam bentuk poster untuk penggunaan pribadi atau sebagai materi edukasi di rumah, sekolah, dan tempat kerja.. Saat membagikan komik ini, ingat 3 hal berikut:  1) Dilarang mengedit gambar komik yang akan dibagikan.  2) Komik ini tidak dapat diperjualbelikan.  3) Jika dibagikan di media sosial FB, cantumkan kredit pengarang dengan menyebut @weimankowart, di IG dengan menyebut @weimankow (IG), atau mencantumkan tautan ke instagram.com/weimankow  Untuk penggunaan lainnya, silakan hubungi: comicsforgood@gmail.com",,
88,,,Diterjemahkan dalam Bahasa Punan Tubu oleh Dollop Mamung,
89,,,"Versi bahasa Inggris dibuat oleh Paul Frank (www. sil-lead.org), versi Bahasa Indonesia oleh Nazra Lutfiana (Unicef Indonesia), Penerjemahan dalam beberapa bahasa daerah : www.suluh.org",
90,,,"Created by Weiman Kow, instagram: weimankow",
95,Olumbe lwa Korona                                                                                      Olumbe lwa Korona        ,"Ja’ tenin Virus Korona     Ja' tenin kutun corona ji' oih wo' la'ung kou dorén ja' tenin ja' enuh virus corona.   Pa  Urung  Metan  memboh an luang  A' iga  A' miram  Virus déh ngamang tat teveci ibah inih Mena' tang.  Kou déh maling bok tat teveci ungai ibah unan mena' tang duoh mitin. 1 2m-0,5m Hacih!  Jadi' tat kou ngenong a' nuken/ ngecim/ miram, kou ngom:  ARUNG DETOU MASKER. Jadi' detou ngom ngecim/nuken/an luang masker lun navun a'-a' an lirin rin. 2 Jan noh ""sroot""  ATAU A' inih laba' ovi' rin miram.  A' wo' tubit nenggop laba' menyou mena tanu’, ja'enah pa' tenong ngom nyekadit layu' rin.  Ibi rin nyap jan rin menyo' tekung a' vi' kou maling jam hei wo' tubit bok piram.  ubat kun  a' iga  don kereta  tombol lift  tisu  gelas  ubat digital (hp), komputer  ba' bi'ang a'un masker  nggah ocan  mouse  pulpen  don teban  kucu’ detou  Tera' pe ah, nah pe lou ungei ibah a' miram ngom nekepit an... ketou piah ngom leruh miram.  unan jawei a' a' an lirim.  ngegaren metan  Tat kou maling wok mendin amung amung inah, deh menggah jawei nuh rop,  Ji' ji' tenin penggu lun mecui virus muvi' rin unan sabun, pemutih, pa' alkohol.  virus (uka’) ngom menyen nyelu duoh pulu' pat jam an a'un ji' amung.  Sabun ibi pekavou ja' inih. Igam inah kecan rin kelekan  uvi' unan sabun lemok an nih.  Sabun Ikun kucu’  En nugih jawei nuh (pa' jawei hei vei rin). Tat kamen la'ung la'ung menggah rin uvi' lulung kucu' ketou unan sabun.  Ja' ibi ngeledu' levun ""Petabe' uli' Luman"" duoh liwai.  an lela' ilun  nyelu duoh pulu' detik.  an tang tang cangau  Uvi' penuk kucu'.  Ja'a' ai ibi muvi' kucu' nyelu temai?  Tat nenggah,en u’ut. Lacet uvi' kucu' unan sabun.  Én menggah ba' a'un masker tavun.  teveci ungei ibah  Virus ngom mangun vi' an ba' biang luang tavun masker tat peguna' kelak lali'.  Cui masker nuh tat uma' tuno. Én nyarung masker lali' déh ji' lou.  peguna' uluk kelien  kelovi  mé’  iné’  peguna' anduk rop rop  Én pekua kun, ubat kun, gelas, perin anduk.  Kou maling ngom ngarap/menggah jawei unan ikun rop rop. Pira beh.  Pira nyi'ah, pekop teban an ikun an le'ep.   tenaring andang muit tat levu'  em keman lulung  Kevi' uvi' kucu' unan sabun...  Tupuh,  Sabun Tugum ne urip!  Tugum ne urip!  Sabun Baca' tips tips wo' aji' an artikel artikel an livou.  ""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020) ""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan25, 2020) ""How to avoid the coronavirus? Wash your hands"", Elizabeth Rosenthal, in New York Times, Opinion. (Jan 28, 2020) Referensi utama yu' dengo medis:  Keterangan tambahan: Tindakan pencegahan dalam bentuk komik ini sangat efektif untuk mencegah penularan penyakit umum lainnya, seperti flu dan pilek, dan harus diterapkan dalam kehidupan sehari-hari, bahkan ketika tidak ada wabah. Referensi: lnformasi dalam komik ini dibuat berdasarkan pemahaman COVID-19 hingga 28 Februari 2020, dan sebagian besar diambil dari tiga referensi ini. https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips. htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/   https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Informasi Tambahan Komik dalam bentuk PDF dapat diunduh di sini:  https://gumroad.com/weimankowart Pedoman Menyebarkan Komik Komik ini dapat dibagikan secara gratis melalui media daring, atau melalui Whatsapp dan Telegram, dan dapat diunduh secara gratis untuk dicetak dalam bentuk poster untuk penggunaan pribadi atau sebagai materi edukasi di rumah, sekolah, dan tempat kerja.. Saat membagikan komik ini, ingat 3 hal berikut:  1) Dilarang mengedit gambar komik yang akan dibagikan.  2) Komik ini tidak dapat diperjualbelikan.  3) Jika dibagikan di media sosial FB, cantumkan kredit pengarang dengan menyebut @weimankowart, di IG dengan menyebut @weimankow (IG), atau mencantumkan tautan ke instagram.com/weimankow  Untuk penggunaan lainnya, silakan hubungi: comicsforgood@gmail.com Ja’ tenin Virus Korona         ","About Coronavirus                                                                                      About Coronavirus  Diterjemahkan dalam Bahasa Punan Tubu oleh Dollop Mamung Versi bahasa Inggris dibuat oleh Paul Frank (www. sil-lead.org), versi Bahasa Indonesia oleh Nazra Lutfiana (Unicef Indonesia), Penerjemahan dalam beberapa bahasa daerah : www.suluh.org Created by Weiman Kow, instagram: weimankow    ",Tentang Virus Corona                                                                                      Tentang Virus Corona        
