,spa,csn
0,Trauma por COVID-19,
1,,
5,,"Lengua de Señas Colombiana : Sebastian Nuñez Filmacion : Kelly Rojas Edición: Sebastian Nuñez Ilustradora y subtitulación : Lisseth Amaya Asesora técnica: Sonia Shannon, SIL GSLT"
6,,Agradecemos a los generosos donantes que hicieron posible este proyecto.
10,Trauma por COVID-19.,
11,Más de la mitad de las personas que se recuperan de la COVID-19 tiene secuelas psicológicas.,
12,Secuelas psicológicas tras el COVID-19.,
13,Según un estudio realizado a 402 adultos (265 hombres y 137 mujeres) pacientes del Hospital San Rafael de Milán atendidos a causa de la Covid-19 (300 fueron hospitalizados por una neumonía grave y 102 tratados en su domicilio).,
14," A través de entrevistas clínicas y cuestionarios de autoevaluación se observó que presentaban: trastorno de estrés postraumático (TEPT), depresión, ansiedad, insomnio y síntomas de trastorno obsesivo-compulsivo.",
15,"El 56% de los pacientes a los que se realizó seguimiento presentaba al menos una secuela psicológica considerable, que estaba relacionada con la gravedad de la inflamación que habían tenido durante la infección por el virus de la COVID-19.",
16,"También se observó que las mujeres, a pesar de haber tenido menos inflamación por la COVID-19, sufrían más depresión y ansiedad. Esto podría ser debido, a que el sistema inmune de las mujeres funciona de forma diferente al de los hombres respecto a sus componentes innatos y adaptativos.",
17,"En las personas que antes de la infección por el virus de la COVID-19 ya se les había diagnosticado una enfermedad psiquiátrica, el impacto psicológico fue también mayor.",
18,"Además de la respuesta inmunitaria, el miedo a la enfermedad, la incertidumbre acerca del futuro, el estigma, los recuerdos traumáticos de una enfermedad grave y el aislamiento social son también factores que pueden determinar el impacto psicológico de las personas tras recuperarse de la COVID-19.",
19,Recomendaciones.,
20,"Tener mente positiva, guardando siempre las medidas de bioseguridad.",
21,"En caso de salir positivo al COVID-19, no preocuparse en forma crítica, al mantener la calma. El sistema inmune responde mejor a los tratamientos para combatir la COVID-19.",
24,"Trauma por COVID-19    Trauma por COVID-19      Trauma por COVID-19. Más de la mitad de las personas que se recuperan de la COVID-19 tiene secuelas psicológicas. Secuelas psicológicas tras el COVID-19. Según un estudio realizado a 402 adultos (265 hombres y 137 mujeres) pacientes del Hospital San Rafael de Milán atendidos a causa de la Covid-19 (300 fueron hospitalizados por una neumonía grave y 102 tratados en su domicilio).  A través de entrevistas clínicas y cuestionarios de autoevaluación se observó que presentaban: trastorno de estrés postraumático (TEPT), depresión, ansiedad, insomnio y síntomas de trastorno obsesivo-compulsivo. El 56% de los pacientes a los que se realizó seguimiento presentaba al menos una secuela psicológica considerable, que estaba relacionada con la gravedad de la inflamación que habían tenido durante la infección por el virus de la COVID-19. También se observó que las mujeres, a pesar de haber tenido menos inflamación por la COVID-19, sufrían más depresión y ansiedad. Esto podría ser debido, a que el sistema inmune de las mujeres funciona de forma diferente al de los hombres respecto a sus componentes innatos y adaptativos. En las personas que antes de la infección por el virus de la COVID-19 ya se les había diagnosticado una enfermedad psiquiátrica, el impacto psicológico fue también mayor. Además de la respuesta inmunitaria, el miedo a la enfermedad, la incertidumbre acerca del futuro, el estigma, los recuerdos traumáticos de una enfermedad grave y el aislamiento social son también factores que pueden determinar el impacto psicológico de las personas tras recuperarse de la COVID-19. Recomendaciones. Tener mente positiva, guardando siempre las medidas de bioseguridad. En caso de salir positivo al COVID-19, no preocuparse en forma crítica, al mantener la calma. El sistema inmune responde mejor a los tratamientos para combatir la COVID-19.  ","     Lengua de Señas Colombiana : Sebastian Nuñez Filmacion : Kelly Rojas Edición: Sebastian Nuñez Ilustradora y subtitulación : Lisseth Amaya Asesora técnica: Sonia Shannon, SIL GSLT Agradecemos a los generosos donantes que hicieron posible este proyecto.                 "
