eng,njy,fra
What you need to know about the CORONAVIRUS or COVID-19,Sá bɨn jálá ne lejwɛh dumo ne kolóna ne sóm wé ngʉ̂ KOSÓM-19 yí,Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19
,,
,,Association Camerounaise pour ﻿la Traduction de la Bible et l'Alphabétisation
,,Les informations contenues dans ce livret ﻿proviennent du site internet ﻿de l'Organisation Mondiale de la Santé (OMS). https://www.who.int/fr/home
,,"Toutes les photos appartiennent à CABTAL, sauf ﻿p.2 à Pixabay ﻿p.6 (boucher) et p.7 (foule) à Wikimedia Commons ﻿p.7 (gens regardant la TV) à United Nations (Photo # 616869 UN Photo/Marco Dormino)  Contacts CABTAL  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  B.P. : 16 550 Yaoundé, Cameroun"
,,
                    SUMMARY,                         TAGA MILɄ̂ ,                                                  SOMMAIRE
- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words ,"- Kolóna ne sóm wé - Minjʉ̌m me lékwaa - Mendem  me lékwaa - Lenwɔɔla lé kolóna - Mpʉ mʉ̂r siŋá kɨya lekwaa laá yɨ́ - Mpʉ nya gó jálá sâ gó ó, bě ɨ́ si nwuɔ lé wá? - Micima mekǎn mé dí ɨ́ kɔbla má ",- Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles
p.2 p.3 p.4 p.5 p.6 p.7   p.8,p.2 p.3 p.4 p.5 p.6 p.8  p.9,p.2 p.3 p.4 p.5 p.6 p.7 p.8
"Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.","Lekwaa lé kolóna ne sóm wé, dí ɨ́ lejɛ́baa ntâʼ kosóm-19, yé é, sóm jwɔ̂n. Wé atala nyɨ̂n é ɨ́ si bipum bédi ɨ lejêh besinwâ ɨ́ mbû betɔ́ɔ́sin bebá ne kam ne ɨbǔl, ɨ́ ngɔn mesio mé mbǔ wáá lelú lé mésio. Béndem  be tyɛ̂ mâ pʉná ne maá mé kœ́hœ́ mpyêb, lé sáá jʉ̂ mʉ̂r jɔɔ lé di ɨ sɨ bwɔʼ yɨ. Lɨ́ sɨ́ sɨ jamda í nsugo bipéh bí sɨ́ nyɔ̂ ɨnyɛ̂h. Sʉ́m lékwaa laá lé ajwiho yɨ, yé apǎ jwɛgaa. ","Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue."
Elderly person,Pʉ́ra lémpǒm: mʉr di ɨ si jwim nyɔ́.,Personne âgée
Person with a heart condition or disease,Pʉ́ra mbá: mʉr di mbél lyém nyɔ́.,Personne cardiaque ou souffrant de maladie
"Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.","Minjʉ̌m me lékwaa  Bʉr bé dɨ ɨ́ lekwɛ̂h lenuwɔ lékwaa laá bá, bé é tááro ɨ́ bikéé to kumo ɨ minjʉ̌m bé ê nkul lenuwo sóm jwɔ̂n wáá. Minjʉ̌m ne bʉr be dí ne mekwaa mé á boobe má(mpʉ lekwaa lé kœhœ mpyêb, mpʉ lekwaa lé mesœh, mekwaa mé lyêm, lekwaa lé lyêm mʉ̂r di é puro mpâl lɨ́) bé é bé dí e buú kwɛ̂h lebwɨ lekwaa le sóm waá.","Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus."
Fever Fatigue,Pʉra lémpǒm Lejyoo letyɛʼ le nyʉ̌l,- Fièvre - Fatigue
Dry cough Muscle aches and pains,Pʉra mbá Kœhœ abe ne lentɔm mekwaa me nyʉ̂l,- Toux sèche - Douleurs musculaires
"Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.","Mendem me lekwaa laá Mendem me lekwaa lé kolóna sóm mé mâ pwɨnaá ne mendem mé lekwaa lé kœhœ mpyêb: lejyóo, kœhœ abe ne lentɔm, lekwaa le nyʉ̂l nyɨnyɛ̂h, metyɛʼ me nyʉ̂l. Mʉ́ʉ́ mimbêl mé ɨ́ lejwôʼ mekwaa me nyʉ̂l, miku mi dʉ́ ɨ́ lekwɛ̂l diblɨ́ akǎ swôh mbɨmbɨya, dʉ́ ɨ́ leswol nkʉ̂nsele, ngolo-ngolo ɨ́ lekwaa, nkʉ́ nkumlo bʉ̂r, bé mʉ̂ ne lekwaa bá, mendem me nɨ̌ mé abe ɨ́ lemɛ̂r bé, be ma jwɨʼ é bé é mpœʼœ. Bʉ́ʉ́ bʉ̂r ɨ́ sɔmá bʉ̂r báá bé ma cigo ó abe ne ngúma dʉ̂m.","Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier."
Person with a cough,Pʉ́ra ʉr di ɨ́ lekœ̂h nyɔ́,Personne qui tousse
"Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.","Lenwɔɔla lé kolóna  Lenuwala le kolóna ne sóm wé nkʉ kosóm-19 yɨ ma nuwola á ne bʉr bé di ne sóm tyɛ̂ʼ bá. Jɔɔ mbél tyɛ̂ dí ɨ́ kœ̂h ne letœœ yi, bwɔ métó mé métyêl mé é ɨ́ lepwɔ̂l nyé ɨ́ dʉ̂ ne num.                                         Metó mé metyêl máá mé é ni gó ɨ́ dʉ ne num wá, go ntâʼ nuwɔ lekwaa lé kolóna ne sóm wé.Sâ gwɔ́r é, mʉ̂r é kʉ́na ne sá di ne metó né metyêl maá maá wá, ntâʼ kúna ne mbó tyɛ̂ ɨ́ mîh, dʉ̂, ne num wá nye é bɛ̂m nuwɔ́ lékwaá láá.","Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée."
How to protect yourself,Mɨná síŋá kɨ́ŋ lékwaa lé kolóna ne sóm wé nyá ɛ̂?,Comment se protéger ?
"1. Avoid touching eyes, nose, mouth.","1. Pʉra lempom: akúna ne mîh, ne dʉ̂, ne num. ","1. Eviter de se toucher les yeux, le nez, la bouche."
2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.,2. Pʉra mbá: léjwɨɨ le membô ne sɔbô ɨ́ medibo mé dí legʉ̂ má. Mpie tyɛ̂ ntâʼ tin membô ne tawala dí swohla yí. ,2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.
3. Cough and sneeze into the crook of your arm. ,3. Pʉra lɛ̂l: go kœ̂h ne tœœ é ɨ́ niʼɨ̌ mbó gô.,3. Tousser et éternuer dans le creux de son bras.
4. Avoid eating raw meat and touching live animals.,4. Pʉra nâ: ade tír bɨ̂h ne lekúna ne betír bé dí ɨ́ lekubla bá.,4. Eviter de manger de la viande crue et de toucher des animaux vivants.
5. Keep at least one meter away from a person who is cou- ghing or sneezing. ,5. Pʉra tɛ̂n: tyɛ̂b ɨ́ ncɛrǎ tyé mɛ́ra ngwɔ́r ɨ́ mʉr di lekœ̂h nkʉ̂ ɨ́ letœœ nyɔ́. ,5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.
6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.,6. Pʉra saman: kɨ́ŋ leswo mʉ̂r ne mbô. Swoh mʉ̂r ne mɨʼɨ̌ lʉ̂ nkʉ́ ne num. ,6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.
7. Avoid gatherings. ,7. Pʉra nsaamgba: bʉr adi mentumo mentumo.,7. Eviter les rassemblements.
8. Restrict movement.,8. Pʉra mwom: akǎ buú kœ̂ʼ.,8. Limiter ses déplacements.
9. Keep informed and verify the source of information.,9. Pʉra ɨbǔl: wá jwɛ̂ʼ lejwoʼlo milɔɔ́ ne mempáŋlo ne le wá pahlo súm mílɔɔ ne mempáŋlo máá di ɨ́ lejwiho yɨ́.,9. Se tenir informé et vérifier la source de ses informations.
What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:,Wáa mbi sɔ́ʼɔ̌ mʉ̂r dí ne nkul lesǎ ɨ́ jɔɔ nyé di ɨ́ nuwɔ lékwaa lé kolóna ne sóm wé yí ɛ̂?  Gó ó bě í sí jwɔ́ra mendem wá: - Akǎ bálǎ kúna ne bʉr dǐ bii yô ba. - Jyêb 1510 í kúl mémpáŋlo gô goo dú miyeʼlá bejwii be dɔ́brɔ.  Bʉ́ʉ́ benɔmo be dí ɨ́ jalaá go jyébaa bá:,Que faire en cas de contamination ? Si vous présentez des symptômes : - Evitez les contacts avec d'autres personnes. - Restez à domicile. - Appelez le 1510 et suivez les consignes des médecins. Autres numéros possibles :
699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979 ,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979
699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761
"To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them.","Ɨ melú mâʼá mwɨr wé apǎ nyɨ̌n waa di ne nkul lejwom kosóm-19, sâ gwór é jwii yé é ɨ́ leto ne lesáa dʉ̂m lé dí jala ne lekwaa laá lɨ́.  Mʉr e mʉr jaĺa ledil ne lesà bésʉ́sʉ́ú be mbɛh bʉr wé.","A ce jour, il n'existe aucun médicament capable de guérir du COVID-19 mais les autorités continuent les recherches pour trouver un traitement adapté. Chacun doit être responsable et adopter les bons gestes pour se protéger et protéger son entourage."
