,lts,duq,eng,ind
0,Olumbe lwa Korona,TENTANG PIRUS CORONA,About Coronavirus,Tentang Virus Corona
1,,,,
3,,,,
4,,Naan ISA hal sa perlu kon tanau ngunau awe pirus Corona tau rampit.,,
6,,Mulut ,,
7,,Urung,,
8,,Mate,,
9,,Huluk tong huang,,
10,,Lun sa sehat,,
11,,Lun sa bereten,,
12,,Pirus tau rampit hayak pitek iwei ti ,,
13,,Ngajaga jarak. Nu sagar aman neke prik ranu iwei lukun ngajaga jarak 2 meter.,,
14,,1,,
15,,"2m-0,5m",,
16,,Haaachii!! ,,
17,,"Jari amun kon neau lun sa rahat nguku/wenan/bereten, kon tau medi de: ",,
18,,OKOI IRE MASKER. Jari ire tau wenan/nguku tei masker-ne lukun ngilindung lun sa naan tei dini-ne. ,,
19,,2,,
20,,Terima kasih “SROOT” ,,
21,,ATAWA ,,
22,,"Behe ne mo bereten, ne kohoi ngilindung arep-ne gagalo. ",,
23,,"Lun sa terinpeksi tau bo awe naan siri-ne, tapi tatap tau rampit. ",,
24,,"Sasara umum, pendapat sa asuh de ningkilah gulumuk lun. Gana kon mo tanau hiye subujur-ne sa bereten. ",,
25,,Alat kuman ,,
26,,Lun sa sehat ,,
27,,Panyabut kereta ,,
28,,Tombol lip. ,,
29,,Tisu ,,
30,,Galas,,
31,,Parangkat digital ,,
32,,Lukun teituhi ongon masker kon ,,
33,,Soronoyan tukat ,,
34,,Mouse computer ,,
35,,Polpen ,,
36,,Panyabut jawong ,,
37,,Tangan ire ,,
38,,"Ngunau awe gin, kakadang ranu iwei sa bereten tau leket tei…. ",,
39,,Kongoreng kon tau kuno reten. ,,
40,,"Atawa rai lun sa sanayang kon, ",,
41,,Ngisu mate ,,
42,,"Lukun amun kon mo daraga banda-banda sa iroh, tahui tangkui rai kon gagalo, ",,
43,,"Lukun isa cara sa asuh de pajawoh ne nehiyo mui ne pakai sabun, pubura, atawa alcohol. ",,
44,,Pirus inuh tau batahan hampe 24 jam tei barang. ,,
45,,Sabun ,,
46,,tindakan pencegahan ngunau ti.,,
47,,"Gana hiyo, sa asuh uma ",,
48,,pui tangan hampe barasih tikas ti.,,
50,,Hiku tangan ,,
51,,"Ada tangku rai nu (atawa rai lun lain). Amun mela musti, mui barasih dele tangan kon lawan sabun. ",,
52,,Sama ngunau manyanyi lagu “Selamat Ulang Tahun’ rueh kali. ,,
53,,Tei hane kuku ,,
54,,Kengela-ne 20 detik ,,
55,,Tei ekang ingking ,,
56,,Pui likut tangan ,,
57,,Ngunau awe sara mui tangan hampe barasih. ,,
58,,"Amun takarasi tangku ne, gelek mui tangan pakai sabun libas-ne. ",,
59,,Ada tangku tuhi ongon masker. ,,
60,,Pitek sa kidik ,,
61,,Bakteri inuh berkembang tei tuhi huang masker amun panakai pahalau ela. ,,
62,,"Tampi masker kon amun nanam ne mo barasih, ada pakai masker labih neke erai andrau. ",,
63,,Pakai senuk takar. ,,
64,,Anak ,,
65,,Amai ,,
66,,Inai ,,
67,,Pakai anduk galo-galo. ,,
68,,"Ada sabagi pongokan, alat kuman, galas, lukun anduk. ",,
69,,"Kon mo inuh tangku rai pakai hiku kon galo, kinam bo. ",,
70,,"Tengau atawa tangkep jawong pakai hiku atawa puluke, amun perlu. ",,
71,,Blai,,
72,,Libas neke uneng umum. ,,
73,,Samale kuman ,,
74,,Talalahui mui tangan kon pakaisabun … ,,
75,,"Ponomporeng, ",,
76,,Sabun,,
77,,Jagalei kesehatan! ,,
80,,Basa tips-tips lain ne tei artikel-artikel tei moh! ,,
81,,"""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)",,
82,,"""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan25, 2020)",,
83,,"""How to avoid the coronavirus? Wash your hands"", Elizabeth Rosenthal, in New York Times, Opinion. (Jan 28, 2020)",,
84,,Reperensi utama de inpormasi medis: ,,
