,fra,azo,eng
0,Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19,MƏNU PÁʼ GHO CHÎ NƏ́ MƏ́ JÎ NƏ ŃTÉ KOLÓNÁFÁLƆS KI KOFID 19,What you need to know about the CORONAVIRUS or COVID-19
1,,,
2,,Cameroon Association for Bible Translation and Literacy,Cameroon Association for Bible Translation and Literacy
5,,,The information in this booklet is taken from the World Health Organization (WHO) website. https://www.who.int/home
8,,,"All pictures belong to CABTAL, except p.2 belongs to Pixabay p.6 (butcher) and p.7 (crowd) belong to Wikimedia Commons p.7 (people watching TV) belongs to United Nations (Photo # 616869 UN Photo/Marco Dormino)  CABTAL Contacts  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  P. O. Box: 16 550 Yaoundé, Cameroon"
11,,               MƏNU MƏTSƏM ŃTÉ Á ZƏ́ƏLƏ́,                    SUMMARY
12,,- Kólónáfálɔs - Pəənə ándó mbɔʼ aghɔ zəənə́ á waamə̂ aghóobə́. - Mənu mbɔʼ gho zɨ́ gho jî ńgə́ gho túgə. - Ndzaŋ kólónáfálɔsə á lyamnə̂ nə́ - Ndzaŋ mbɔʼ gho kíʼtə mbɨ əzo - Anu mbɔʼ gho ghɛd paʼ tə mbɔʼ á kwú nə́ gho. ,- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words 
16,,p.2  p.3 p.4 p.5  p.6  p.8 ,p.2 p.3 p.4 p.5 p.6 p.7   p.8
17,,"Kolónáfálɔs  Kolónáfálɔs, kɨ cófid 19 lə́ aghɔ yəfîə. Á nə́ ńchwáakə lə́ á China nə́ əlembî 31 á mə́m sáŋ Kɛlə́səmɛ́lə á mə́m 2019. Akwâgə lə́ yətsə́ ajúmə á mə nɨd nə ńgə́ wə́ələ́ á chî nə ŋwunə, ḿbə́ nə́ əghâ pə nɨ́ nə́, á chî mbɔʼ á jwítə. Á lyamnə̂ nə əláʼ pə nɨ́ nə́ á mə́m mbîə. Pə́ kě kə́ jîə chigə á jú páʼ á fɛ̂ nə́ aghɔ zɨ́d zi pô.","Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known."
20,,Ntəŋkaŋə́,Elderly person
22,,Ŋwu páʼ a túg nə́ aghoonə́ á ntɨ́ yí kɨ mətsə́ məghoonə́,Person with a heart condition or disease
23,,"Pəənə ándo mbɔʼ aghɔ zəənə́ á waamə̂ aghóobə́  Mbɔʼ aghɔ yə əfî zəənə́ á waamə̂ ŋwu tsəmə. Pə təkaŋ ḿbɨ́ ḿbə́ nə́ pəənə ándó pó peg nə́ ńtúg məghɔ mi mə́ ndaʼə ándó (akwágə ntɨ́, aghoonə́ shúga, mətsə́ məghoonə́ á mə́m ntɨ́ ḿbɨ́ ḿbə́ nə́ achǐə yə kɔ́ʼ nə) Mbɔʼ á wam ńté pɨ zɨ á tyantə̂. ","Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus."
26,,-Əfə́gə -Mbɨ yi mbwɔd nə,Fever Fatigue
28,,-Akwágə yə jwúbtə -Mələŋə mə́ mbɨ pó pə mbɨ zaŋnə,Dry cough Muscle aches and pains
