,quf,spa,eng
0,Como prevenir el COVID-19,Como prevenir el COVID-19 ,Imanutaq COVID-19 qishayqa mana aypamashun
1,,,
2,,,
5,,"Ilustraciones:  Claudia Rugamas Original: Imanutaq COVID-19 shutiq qishayqa mana aypamashunchu Traducido por: Lambayeque OT translation Team  La información se tomó de los sitios web﻿de la Organización Mundial de la Salud (OMS), como:﻿https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public  Versión 27.3.2020",
6,,OT Translation Team ,
7,,Ilustraciones: Claudia Rugamas Original: Imanutaq COVID-19 shutiq qishayqa mana aypamashunchu﻿Traducción: Lambayeque OT Translation Team,
10,,Lávese las manos con jabon varias veces. O frótese las manos con alcohol gel.,
11,,"Si no se ha lavado las manos, no se toque los ojos, la nariz ni la boca.",
12,,Cúbrase la boca y la nariz con el brazo o con un pañuelo de papel cuando tosa o estornude. Deseche el pañuelo usado inmediatamente.,
13,,"Mantenga una distancia de 2 metros entre usted y los demás. No viaje a otros lugares, si no es necesario.",
14,,"Se siente enfermo, quédese en casa. Si tiene fiebre, tos y dificultades respiratorias, vaya a la posta rápidamente.",
15,,Manténgase informado sobre las últimas noticias sobre el COVID-19. Siga los consejos del Ministerio de Salud.,
18,Como prevenir el COVID-19    Como prevenir el COVID-19             ,"Como prevenir el COVID-19     Como prevenir el COVID-19  Ilustraciones:  Claudia Rugamas Original: Imanutaq COVID-19 shutiq qishayqa mana aypamashunchu Traducido por: Lambayeque OT translation Team  La información se tomó de los sitios web﻿de la Organización Mundial de la Salud (OMS), como:﻿https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public  Versión 27.3.2020 OT Translation Team  Ilustraciones: Claudia Rugamas Original: Imanutaq COVID-19 shutiq qishayqa mana aypamashunchu﻿Traducción: Lambayeque OT Translation Team   Lávese las manos con jabon varias veces. O frótese las manos con alcohol gel. Si no se ha lavado las manos, no se toque los ojos, la nariz ni la boca. Cúbrase la boca y la nariz con el brazo o con un pañuelo de papel cuando tosa o estornude. Deseche el pañuelo usado inmediatamente. Mantenga una distancia de 2 metros entre usted y los demás. No viaje a otros lugares, si no es necesario. Se siente enfermo, quédese en casa. Si tiene fiebre, tos y dificultades respiratorias, vaya a la posta rápidamente. Manténgase informado sobre las últimas noticias sobre el COVID-19. Siga los consejos del Ministerio de Salud.  ",Imanutaq COVID-19 qishayqa mana aypamashun    Imanutaq COVID-19 qishayqa mana aypamashun             
