fra,mgo,eng
Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19,Ənû nɨ wə̀d berɨ nɨ kyerɨ ɨmbə̀ʼ əwɔn ə CORONAVIRÙS kɨ ə COVID-19,What you need to know about the CORONAVIRUS or COVID-19
,,
,Cameroon Association for Bible Translation and Literacy,Cameroon Association for Bible Translation and Literacy
,,The information in this booklet is taken from the World Health Organization (WHO) website. https://www.who.int/home
,,"All pictures belong to CABTAL, except p.2 belongs to Pixabay p.6 (butcher) and p.7 (crowd) belong to Wikimedia Commons p.7 (people watching TV) belongs to United Nations (Photo # 616869 UN Photo/Marco Dormino)  CABTAL Contacts  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  P.O. Box: 16 550 Yaoundé, Cameroon"
,,
                                                  SOMMAIRE,                        ƗTU ƗNÙ,                    SUMMARY
- Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles,- Əwɔn ə Coronavirùs - Bə̂d nɨ tɨ mbɨ berɨ əwɔn zɔ̂ - Ɨnweenɨ nɨə chwiə əwɔn zɔ̂ - Ɨchi ɨ nɨ bə̂d ə berɨ ə coronavirùs - Ɨchi nɨ kən e ɨnyod  - Ənû nɨ ghɨ̀ əwu ze nɨ à berɨ əwɔn zɔ̂  ,- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words 
p.2 p.3 p.4 p.5 p.6 p.7 p.8,p.2 p.3 p.4 p.5 p.6 p.8,p.2 p.3 p.4 p.5 p.6 p.7   p.8
"Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue.","Əwɔn ə Coronavirùs  Coronavirùs, nɨ mbɨə bə̀ tɔŋ ənɨ ə COVID-19, yɨ ɨkwɨ virùs fi mɔʼɔ. Mbɨ nyaʼa bè ghà ɨmbə̀ʼ əwɔn rəŋgu ə Chainà ɨgwɨ əni 31 December 2019. Ə zɨ ɨghabɨ ɨwɔn mbe nɨ ɨfə ə dàànɨ̀ə̀, bə̀ ghɨ̀ə̀ ni wə̀d berɨ ɨfə kaka. Coronavirùs wɔ̂ mɨ̀ kà əku, ə ze tɨ̀ zɨə zwiirɨ wəd. Zɨə fə kaŋ jàŋə̀ ɨŋga ɨbeŋ nɔnɔʼ rɨ ɨgwɨ ɨsɨg. Chəi bə̂d kaŋ kɨrɨ kyerɨ əsɨ ze nɨ əwɔn zɔ̂ ə nɔʼ rəŋgu.","Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known."
Personne âgée,Bə̂d nɨ fə kaanɨ,Elderly person
Personne cardiaque ou souffrant de maladie,Wə̀d nɨ berɨ əwɔn ə fîŋ,Person with a heart condition or disease
"Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus.","Bə̂d mbe nɨ tɨ mbɨ berɨ əwɔŋ zɔ̂   Tɨ̀ghə̀m rɨ bə̂d mɨ̀jìm mbe tɨ mbɨ berɨ virùs fi wɔ̂. Bə̂d nɨ fə kaanɨ fɔrɨ bə̂d nɨ berɨ əwɔn ɨghabɨ əkwe ə kaka, əwɔn ə shuga, əwɔn ə fîŋ, kɨ ənəm ə kɔʼɔ, ɨ mbə tɨ mbɨ zàmbɨ̀ gywɨ̀ əwɔn zɔ̂ kɔ wɔnɨ rɨkǎ. ","Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus."
- Fièvre - Fatigue,-Ɨfə -Əbɔrɨ,Fever Fatigue
