,spa,wms,eng
0,Sobre el Coronavirus,STOP VIRUS KORONA,Virus Korona sigino lukdik
1,,,
2,,Tim Penerjemah Bahasa Wambon,
3,,,
4,,VIRUS KORONAne andagamondik komegegen eptage sanggomo katkenaktak,
6,,etomat,
7,,Bonopka,
8,,Kalitka,
9,,Kelopka,
10,,Hinbalino kap,
11,,Yayuno kap ,
12,,Walokge matomalo topka Viruse moto komegemat ,
13,,"Wambemo kamgenakna. Kamge 2 metetkenaknandik, walokge demale gogopwe domandage matetkenamat.",
14,,1,
15,,2m,
16,,     Ahi !!!,
17,,"Golo kapwe apyokgup, hiwagilokgup, yayunggupka hetkonamale nemanunantak:",
19,,Egeptaga masketle nandakna. Emanunano egepwe hiwagilokdik goyo apyokdik ewe masket topka si halono sinimo manggopwe lawontakdoe.,
20,,2,
23,,"Nombono kapwe epmo yayune bumdik, do ego andit wambemomopsigi masket halogen.",
24,,"Viruskola lawatbono kapwe tepwe lapbesanmono katkenagetoendik, ego yayune kamo komegemoge.",
25,,"Langkap dagit talokge awopdik yayunggup dimopwe gogopwe amokgolo, matetbaline kap dagit talokge kanaget.",
26,,Bilin sendok,
28,,Mobil talokgo  geleman,
29,,Tombot,
30,,Tisu,
31,,Okdim,
32,,Elektolonik ambat,
33,,Masket mote besan nemet talok,
34,,Halik talok lapdiman,
35,,Mous,
36,,Bolpen,
37,,Aptop geleman,
38,,Ego bisit,
39,,"Emandik, yayuno kapko walokge nombombo talokga ambomoge…",
40,,Gogopwe viruskola lawono yayunmonamat.,
41,,"koyo gup sinimo manggopko kelopkalit lawatkegele,",
42,,"koyo kelopwe lawo hopkotmat, ",
43,,"Manggopdoeka imakeman ewe baunbelo dako ga kelopkalitle lawat,",
44,,"Matetbaline ewo imakeman ambatle sabungga goyo baikilin okga ogopnundik goyo, alkohol okga geleman talokge hopkotnundik viruse tembetkemat.",
45,,Viruse imakeman ambat talokga bageno satkelopwe 24kupke motomgemoge.,
47,,Nombemanyepmo viruse halongganuntak.,
48,,"Ewoptagolo, nombono lukge hetago lapkitmane matet kayan.",
49,,Sabungga ogokmonagano nombephalogen.,
51,,Bisit munggup,
52,,Ga kelopkalitle laphetkoget. (Awopko kelopkalitkup laphetkoget.),
53,,Kelat topwo na walip kolamo nege.”,
54,,"Tutnum topwo na walip kolamo nege, ",
55,,Nombono bemsekge lio nanggatka ga bisitle ogoknu!,
56,,"        “Ou…, Tutnum topwo kuwup-kowaop nege, Kelat topwo kuwup-kowaop nege.",
57,,Bisit talon kakmontopkup,
58,,Ogoknuno kogeno 20 detik gentak,
59,,Bisit muktopkup ogoknuntak.,
60,,Bisit atat mimbanggup,
61,,Ga bisitle andagambetik ogokmono bokge tembetkemat?,
63,,"Lawatkegele, wasi sabungga bisit ogoknu.",
64,,Masket mote besan talokge ga bisitka lawoget.,
66,,Masketle ugumgegeno motomgetkegele viruse ephalo bage komegemat.,
67,,Ga masketle bokgupkegele sanun ka. Masketle ugumgeno satle dominuk laphaloget.,
68,,Sendokge egepkup-egepkup,
69,,Amit,
70,,Bap,
71,,Nayop,
72,,Handokge egepkup-egepkup,
73,,"Andemopkup,bilin sendokgup, okdimgup, handokgupwe ketopdak-ketopdakmonaget.",
74,,"Bisit munggupkane ga kelopkalitle lawogetoe, golo ka emanuna.",
75,,"Lapkitmomatkegele, aptopwe bisit munggupka goyo manlingga bakbet katombetnu.",
77,,Ap etomalo topka,
78,,Andemop enogeno topka,
79,,Ga bisitle alipkup satkup sabungga ogopnu.,
80,,"Batgotop,",
82,,WAMBEMBETIK HINBALINGGA NAMBO! ,
83,,Kitanggutlo lukge tulepon halongga hetago katkenak.,
84,,"""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Bussiness Insider (Jan 21, 2020)",
85,,"""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan 25, 2020)",
86,,"""How to Avoid the Corona Virus? Wash your hands"", by Elizabeth Rosenthal, in the New York Times, Opinion. (Jan 28, 2020)",
87,,Virus Korona singino luk ewe nombono buku-buku talokga detbo:,
88,,"Kitanggutlo takbukman: Buku komik nombone yayun kitanggutla asinggup hiwagilokgup wambemomopsigindik. Gupwe yayune tembetik, nombono lukge alipkup satkup lapkitmatkegegle, yayun kitanggut talokge wambemomat.   Referensi: Komik nombephalono COVID-19 sigino luk ewe yanggumalembone kogeno 28 Februari 2020 getbono buku tagemgup tulepon talok epka lapetik oplawo ugumalembo.  Informasi kitanggut: Komik nombone PDFka okmalembone nombephalo lawomoge: https://gumroad.com/weimankowart  Komik lawomowo yandit: Nombono Komikge gupwe wasi lawomat. Whatsapp kanggoyo Face Book talokga lapelo, ap talokgup, sekola talokgup, keleman talokgupka hetago kinggopmomopsigindik. Komik nombone dagatmomalo topwe tagemgupwo luk nombe hetago katkenak: 1. Komik top nombono bagetle laphamoget. 2. Komik nombone halonano tagetka takbikmomop sigindikdoe. 3. FB talokga dagatmomopkegele, nombono hitkup oknu: @weimankowart (IG), koyo link nombone hanot: instagram.com/weimankow",
90,,,"Images on pages Front Cover, 1–17 by Weiman Kou, © 2020 Weiman Kou. CC BY-NC-SA 4.0. Image on page 18 by SIL LEAD, Inc.. CC0 1.0."
91,,,"Inggriso lukga okmatbono kapko hitle Paul Frank (www.sil-lead.org), Indonesiano lukga okmatbono kapko hitle Nazra Luftiana (Unicef Indonesia), Bisip kitanggutlo lukga okmalembone: www.suluh.org"
92,,,"Ne oplawo okmalembono lukge laphamoget, do luk kitanggutka hetago katkemomopsigi oplawo oknuntak, epkup komik nombone taget lawomopsigindik dagatmoget.  Luk kitanggutka oplawo ugumomalo topwe nombono lukgup bagetkup okmatbono kap Weiman Kow ego hitle oknuntak."
93,,,"Created by Weiman Kow, instagram: weimankow"
98,Sobre el Coronavirus                                                                                         Sobre el Coronavirus        ,"STOP VIRUS KORONA  Tim Penerjemah Bahasa Wambon  VIRUS KORONAne andagamondik komegegen eptage sanggomo katkenaktak  etomat Bonopka Kalitka Kelopka Hinbalino kap Yayuno kap  Walokge matomalo topka Viruse moto komegemat  Wambemo kamgenakna. Kamge 2 metetkenaknandik, walokge demale gogopwe domandage matetkenamat. 1 2m      Ahi !!! Golo kapwe apyokgup, hiwagilokgup, yayunggupka hetkonamale nemanunantak:  Egeptaga masketle nandakna. Emanunano egepwe hiwagilokdik goyo apyokdik ewe masket topka si halono sinimo manggopwe lawontakdoe. 2   Nombono kapwe epmo yayune bumdik, do ego andit wambemomopsigi masket halogen. Viruskola lawatbono kapwe tepwe lapbesanmono katkenagetoendik, ego yayune kamo komegemoge. Langkap dagit talokge awopdik yayunggup dimopwe gogopwe amokgolo, matetbaline kap dagit talokge kanaget. Bilin sendok Hinbalino kap Mobil talokgo  geleman Tombot Tisu Okdim Elektolonik ambat Masket mote besan nemet talok Halik talok lapdiman Mous Bolpen Aptop geleman Ego bisit Emandik, yayuno kapko walokge nombombo talokga ambomoge… Gogopwe viruskola lawono yayunmonamat. koyo gup sinimo manggopko kelopkalit lawatkegele, koyo kelopwe lawo hopkotmat,  Manggopdoeka imakeman ewe baunbelo dako ga kelopkalitle lawat, Matetbaline ewo imakeman ambatle sabungga goyo baikilin okga ogopnundik goyo, alkohol okga geleman talokge hopkotnundik viruse tembetkemat. Viruse imakeman ambat talokga bageno satkelopwe 24kupke motomgemoge.  Nombemanyepmo viruse halongganuntak. Ewoptagolo, nombono lukge hetago lapkitmane matet kayan. Sabungga ogokmonagano nombephalogen.  Bisit munggup Ga kelopkalitle laphetkoget. (Awopko kelopkalitkup laphetkoget.) Kelat topwo na walip kolamo nege.” Tutnum topwo na walip kolamo nege,  Nombono bemsekge lio nanggatka ga bisitle ogoknu!         “Ou…, Tutnum topwo kuwup-kowaop nege, Kelat topwo kuwup-kowaop nege. Bisit talon kakmontopkup Ogoknuno kogeno 20 detik gentak Bisit muktopkup ogoknuntak. Bisit atat mimbanggup Ga bisitle andagambetik ogokmono bokge tembetkemat?  Lawatkegele, wasi sabungga bisit ogoknu. Masket mote besan talokge ga bisitka lawoget.  Masketle ugumgegeno motomgetkegele viruse ephalo bage komegemat. Ga masketle bokgupkegele sanun ka. Masketle ugumgeno satle dominuk laphaloget. Sendokge egepkup-egepkup Amit Bap Nayop Handokge egepkup-egepkup Andemopkup,bilin sendokgup, okdimgup, handokgupwe ketopdak-ketopdakmonaget. Bisit munggupkane ga kelopkalitle lawogetoe, golo ka emanuna. Lapkitmomatkegele, aptopwe bisit munggupka goyo manlingga bakbet katombetnu.  Ap etomalo topka Andemop enogeno topka Ga bisitle alipkup satkup sabungga ogopnu. Batgotop,  WAMBEMBETIK HINBALINGGA NAMBO!  Kitanggutlo lukge tulepon halongga hetago katkenak. ""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Bussiness Insider (Jan 21, 2020) ""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan 25, 2020) ""How to Avoid the Corona Virus? Wash your hands"", by Elizabeth Rosenthal, in the New York Times, Opinion. (Jan 28, 2020) Virus Korona singino luk ewe nombono buku-buku talokga detbo: Kitanggutlo takbukman: Buku komik nombone yayun kitanggutla asinggup hiwagilokgup wambemomopsigindik. Gupwe yayune tembetik, nombono lukge alipkup satkup lapkitmatkegegle, yayun kitanggut talokge wambemomat.   Referensi: Komik nombephalono COVID-19 sigino luk ewe yanggumalembone kogeno 28 Februari 2020 getbono buku tagemgup tulepon talok epka lapetik oplawo ugumalembo.  Informasi kitanggut: Komik nombone PDFka okmalembone nombephalo lawomoge: https://gumroad.com/weimankowart  Komik lawomowo yandit: Nombono Komikge gupwe wasi lawomat. Whatsapp kanggoyo Face Book talokga lapelo, ap talokgup, sekola talokgup, keleman talokgupka hetago kinggopmomopsigindik. Komik nombone dagatmomalo topwe tagemgupwo luk nombe hetago katkenak: 1. Komik top nombono bagetle laphamoget. 2. Komik nombone halonano tagetka takbikmomop sigindikdoe. 3. FB talokga dagatmomopkegele, nombono hitkup oknu: @weimankowart (IG), koyo link nombone hanot: instagram.com/weimankow STOP VIRUS KORONA        ","Virus Korona sigino lukdik                                                                                         Virus Korona sigino lukdik Images on pages Front Cover, 1–17 by Weiman Kou, © 2020 Weiman Kou. CC BY-NC-SA 4.0. Image on page 18 by SIL LEAD, Inc.. CC0 1.0. Inggriso lukga okmatbono kapko hitle Paul Frank (www.sil-lead.org), Indonesiano lukga okmatbono kapko hitle Nazra Luftiana (Unicef Indonesia), Bisip kitanggutlo lukga okmalembone: www.suluh.org Ne oplawo okmalembono lukge laphamoget, do luk kitanggutka hetago katkemomopsigi oplawo oknuntak, epkup komik nombone taget lawomopsigindik dagatmoget.  Luk kitanggutka oplawo ugumomalo topwe nombono lukgup bagetkup okmatbono kap Weiman Kow ego hitle oknuntak. Created by Weiman Kow, instagram: weimankow    "
