,swh,thk,eng
0,KÛRIGÎÎRIA MÛRIMO WA KORONA,KÛRIGÎÎRIA MÛRIMO WA KORONA ,Avoid Covid-19
1,,,
3,,,"Translated by: Susan Nyaga Anzuruni, SIL International"
7,,,Illustrations:  Ari and Elaine Vitikainen   Information was taken from WHO websites such as https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public  Version 27.3.2020
8,,,Literacy for Women in Africa
9,,,Thaamba njara magiita monthe ûgîtûmagîra cabuni na rûûyî rûgîîtîgaga.  
10,,"Tiga gûtonganga ûthiû, mûromo kana nyîûrû.","Avoid touching eyes, nose and mouth. "
11,,Kororera kana wathimûrîre mbarî ya ndeeni ya ngaakura yaku kana ûtûmîre karataati ga kîoro na ûgate bûra kûbatîîrue. ,Cover your mouth and nose with your bent elbow or tissue when you cough or sneeze. Dispose  the used tissue immediately.   
12,,Kara araaya na antû bara bangî (ta mita ciîrî ûgu).,Maintain 2 meters distance between yourself and others.  
13,,"Kara muciî weegua ûrî ûmwayie.  Weegua ûrî na rûkorora, kûbîîyanîra mwîîrî, kana kûremwa i kûbeeba bwega, îthi cibitaarî.","Stay home if you feel unwell. If you have fever, cough and difficulty breathing, seek medical attention early.  "
14,,Kara ûkîthiingatagîîra bûra gûkwenderea mantûûni meegiî Korona na ûrûthe bûra atoongoria bakuuga.,Stay informed on the latest developments about COVID-19. Follow advice given by your healthcare provider.  
17,KÛRIGÎÎRIA MÛRIMO WA KORONA      KÛRIGÎÎRIA MÛRIMO WA KORONA          ,"KÛRIGÎÎRIA MÛRIMO WA KORONA       KÛRIGÎÎRIA MÛRIMO WA KORONA     Tiga gûtonganga ûthiû, mûromo kana nyîûrû. Kororera kana wathimûrîre mbarî ya ndeeni ya ngaakura yaku kana ûtûmîre karataati ga kîoro na ûgate bûra kûbatîîrue.  Kara araaya na antû bara bangî (ta mita ciîrî ûgu). Kara muciî weegua ûrî ûmwayie.  Weegua ûrî na rûkorora, kûbîîyanîra mwîîrî, kana kûremwa i kûbeeba bwega, îthi cibitaarî. Kara ûkîthiingatagîîra bûra gûkwenderea mantûûni meegiî Korona na ûrûthe bûra atoongoria bakuuga.  ","Avoid Covid-19   Translated by: Susan Nyaga Anzuruni, SIL International   Avoid Covid-19 Illustrations:  Ari and Elaine Vitikainen   Information was taken from WHO websites such as https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public  Version 27.3.2020 Literacy for Women in Africa Thaamba njara magiita monthe ûgîtûmagîra cabuni na rûûyî rûgîîtîgaga.   Avoid touching eyes, nose and mouth.  Cover your mouth and nose with your bent elbow or tissue when you cough or sneeze. Dispose  the used tissue immediately.    Maintain 2 meters distance between yourself and others.   Stay home if you feel unwell. If you have fever, cough and difficulty breathing, seek medical attention early.   Stay informed on the latest developments about COVID-19. Follow advice given by your healthcare provider.    "
