,eng,yav,fra
0,What you need to know about the CORONAVIRUS or COVID-19,Epú nuɛsikɛnɛnɛ́ kumenyi ó KOLÓNÁFILUS púnyaánɛɛ́ KOFÍD-19   ,Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19
1,,,
2,,,Association Camerounaise pour ﻿la Traduction de la Bible et l'Alphabétisation
5,,,Les informations contenues dans ce livret ﻿proviennent du site internet ﻿de l'Organisation Mondiale de la Santé (OMS). https://www.who.int/fr/home
8,,,"Toutes les photos appartiennent à CABTAL, sauf ﻿p.2 à Pixabay ﻿p.6 (boucher) et p.7 (foule) à Wikimedia Commons ﻿p.7 (gens regardant la TV) à United Nations (Photo # 616869 UN Photo/Marco Dormino)  Contacts CABTAL  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  B.P. : 16 550 Yaoundé, Cameroun"
10,,,
11,                    SUMMARY,                 ITÚƐ SÍ MOÓNYI,                                                  SOMMAIRE
12,- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words ,- Kolónáfilus - Pɛɛndu pá katipinuúsínyée - Melinsí - Kiséléméndie kí  kolónáfilus - Tiɛkíɛ pɛnyɛɛ́ kupíkíka - Índi kúkanyi kukutápúkáná ɛɛlɛ tiɛkíɛ? - Kusɛkunu pipúkú pínyɛɛ́ ambákál ,- Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles
16,p.2 p.3 p.4 p.5 p.6 p.7   p.8,p.2 p.3 p.4 p.5 p.6 p.8 p.9,p.2 p.3 p.4 p.5 p.6 p.7 p.8
17,"Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.",Kolónáfilus páandɛɛ́ apílan ɛ́ɛ kofíd-19 nyi ensíŋí wɔɔkɔ́sikɔ́si ɛ pémeétékí kú kutúán ɔ́ kitɔŋ kí Síine é putúkú pú nitíni na máátá no púmoómíe u oólí ú makandikɛ ɔ́ yɔɔŋ tukúnú túándí no punyo ni  íkénie. Pámanyi pétimenyi niólíní ni kuu.,"Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue."
20,Elderly person,Pɛɛndu pɛɛsɛ́kúmɛ́n,Personne âgée
22,Person with a heart condition or disease,Penúmí kí itímí púnyaánɛɛ́ kunúma kúlotí,Personne cardiaque ou souffrant de maladie
23,"Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.","Pɛɛndu pá katipinuúsínyíe  Kunúma kukáání tipá kúéye kúɛ́kɛtikɛn tɛ pilunú tɛ piɔmfú. Pɛɛndu pɛɛsɛ́kúmɛ́n ne epé pánúmanɛ́ manúma molotí insúá (ɛlɛɛ́ kunúma kú kiélumu kusúmbusumb, kunúma kú ɔtímí, kunúma kú manúŋú kuwóon kí iŋaŋá) pɔ́ɔ púnyɛɛ́ laáku ɛ́ɛ kúɛ́tikini pɔ́ɔ kúóndo kúliŋi nɔ niɔ́kɔ́tɔ́nɔ́, é kufikiti kú filus.","Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus."
26,Fever Fatigue,Puyo Kuand,- Fièvre - Fatigue
28,Dry cough Muscle aches and pains,Kikɔ́sunu kiilúndán Imekú kutɛ,- Toux sèche - Douleurs musculaires
29,"Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.","Melinsí  Melinsí mé ensíŋí ú kolónáfilúus áamanan mɔ́ kikɔ́sunu nɔ pikɔ́l, mó puyo, mɔ́ kikɔ́sunu kiilúndán, mí imekú kutɛ, má kuánd kú nuɔ́l. Pikɔnɔ́kɔn pilotí ɔ́ɔyɔyɔ pikɔ́l, imfunu lupuke ekelú nyááŋa, Ufááma. Pɛɛndu pólotí tɛ unúma ɛtiɛ́n melinsí má kúu, póondo pɔ́píɔ́pɔnɔ peseé. Embúlu ú pɛɛndu ólotí ékeéŋukene tɛ yiányiányí í kulafit ɛ́ɛ úpípúkini kúuku.","Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier."
31,Person with a cough,Muundu ukɔsu nɔnɛ,Personne qui tousse
32,"Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.","Kiséléméndie kí kolónáfilúus  Pɛɛndu pákanyɛɛ́ no kofid-19 pɔ́ɔ pésélemendenyé ensíŋí ukáání. Kisikili kikɔnɔ́kɔnɔ kɔ́sunɔnɛ́ tɛ ɛ́ɛ kí ékésenene, pitepé. Pí pikɔ́l ne pitelu áákaminana kí imfúnu ne niití. Índi muundu utiányípá unúma siélumit usuliti pitepé pikáání púnyaánɛɛ́ upíkiiki púandá epú pitepé ényíténé á púu, woondo upínyíkise eŋísi, upísɔɔkilɔ imfúnu, upíkíkene piɔ́lɔ́lí piɛ́yɛ́ pí niítí, kunúma nyi kutápuku wuu.","Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée."
37,How to protect yourself,Tiɛkíɛpɛnyɛɛ́ kupíkíka?,Comment se protéger ?
38,"1. Avoid touching eyes, nose, mouth.","1. Nutiandá epínyíkise eŋísi,nutipísɔɔ́kɔ́lɔ́ imfúnu nutipíkikén piɔ́lɔ́lí piánú pí  niíti. ","1. Eviter de se toucher les yeux, le nez, la bouche."
40,2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.,"2. Nupísuka imbɔ́kɔ nɔ sɔ́pɛ, nupíwóno sii na táwulɛ waafúmán.",2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.
42,3. Cough and sneeze into the crook of your arm. ,"3. Nukɔ́sunɔ, nukésenene ninúnú ní ɔmbɔ́kɔ nikɔ́nyítɔ́nɔ́ kí imfúnu mɛnɛ́mɛnɛ́.",3. Tousser et éternuer dans le creux de son bras.
44,4. Avoid eating raw meat and touching live animals.,"4. Nutiandá anyá puányi pukɔ́si, tɛ kukíike manyama mɔ́ mɔɔ́sɔ́tɔnɛ́ɛ.   ",4. Eviter de manger de la viande crue et de toucher des animaux vivants.
49,5. Keep at least one meter away from a person who is cou- ghing or sneezing. ,"5. Nukíka manyáŋ naanú na muundu ukɔ́sunɔnɛ́ púnyaánɛɛ́ ukésenené, mɛ́nyɛ́ mítɛ omoómí.",5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.
51,6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.,6. Nutiandá epíkélikelinyi ni imbɔkɔ imbíkélie   ne niíti kunyianɛ ɛmɛŋitɛ ɛtú. ,6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.
