,eng,gou,fra
0,What you need to know about the CORONAVIRUS or COVID-19,Səkən ndə huni kaasənə ata KORONAVIRUS aka səku KOVID-19,Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19
1,,,
2,,Association Camerounaise pour la Traduction de la Bible et l'Alphabétisation,Association Camerounaise pour ﻿la Traduction de la Bible et l'Alphabétisation
5,,,Les informations contenues dans ce livret ﻿proviennent du site internet ﻿de l'Organisation Mondiale de la Santé (OMS). https://www.who.int/fr/home
8,,,"Toutes les photos appartiennent à CABTAL, sauf ﻿p.2 à Pixabay ﻿p.6 (boucher) et p.7 (foule) à Wikimedia Commons ﻿p.7 (gens regardant la TV) à United Nations (Photo # 616869 UN Photo/Marco Dormino)  Contacts CABTAL  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  B.P. : 16 550 Yaoundé, Cameroun"
10,,,
11,                    SUMMARY,                            DIW ZLAP,                                                  SOMMAIRE
12,- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words ,- Koronavirus  - Həji ndə dawər watsa  kefkef a mbəlata aagi - Səkən ma ghal dawər watsa aagi - Zlaŋ ataa wiyə dawər Koronavirus  - Həji a ɗalzə a keŋ ha ara avaŋga? - Səkən ndə  həji kaɗalə  andza dawər watsa ata ala veme? - Ghal ma ma ndəlndəl ndə həji ŋkula sənata abə ma takwa aagi  ,- Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles
16,p.2 p.3 p.4 p.5 p.6 p.7   p.8,p.2 p.3 p.4 p.5 p.6  p.8   p.9,p.2 p.3 p.4 p.5 p.6 p.7 p.8
17,"Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.","Koronavirus, ndə həji yə zhana  KOVID-19, a ɗa wiyə dawər minja, ndə həji kayə viyrus, a may a ghal ya, səkən ma feŋ a taba səkən ma kanda aagi, ndə həji ŋkula gəra abə nja andza  ha ŋkəsaf. Həji diw a zlima shiŋ dawər watsa a hayak Shinwa a wan 31 ataa ŋtəra ta da mavə dəma 2019. A ɗalahəji andza shiɓi, a kavah a dza ala  andza tavəlakənə aara dəy səku. Taɓizh tə vərəm a manahayak. Həji kasən la ndaha dawər watsa kwagwa pa akacihwa səku.","Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue."
20,Elderly person,Həji ma ndza abə va dagala aagi,Personne âgée
22,Person with a heart condition or disease,Ala ma ndza abə dawər ma ndza a ꞌunəf aka səku  ma  kasa yaka ara ꞌunəf ma kandirimi,Personne cardiaque ou souffrant de maladie
23,"Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.","Həji ndə dawər watsa  kefkef a mbəlata aagi  Wiyə dawər ma ꞌwala payha watsa,  a kagas gas ala, a ɗa watsə mbə aka səku ala ma dagal akas, a mbəla kwa vaye tiwtiw. Həji ma ndza abə va dagala aagi abə həji ma kava ndaha dawər aagi aka səku həji ma ndza abə dawər ndiɓi aagi a zlikusəm andza (dawər ma tak nəp aka, dawər sukar aka səku səkən ma ghinghin aagi, dawər ma ndza a ꞌunəf abə ꞌunəf ma kaghuɗek dəy aha galaŋ) ataa aŋta ya, a kavah a rəzata ata hayak kahkah ana  wiyə dawər watsa səku.   ","Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus."
26,Fever Fatigue,-Kusəm ma  kabaz ala kwak aandza kwahu -Ŋtəɓəl ɓəlakaka aka səku zlikusəm ma kaɓec ɓəlakaka,- Fièvre - Fatigue
28,Dry cough Muscle aches and pains,-Kətsəh ma ndza andza ghehw ma kaŋhwal maŋgurlem -Ndirim bildi,- Toux sèche - Douleurs musculaires
29,"Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.","Səkən ma ghal dawər watsa aagi Wiyə dawər ndə həji kayə Koronavirus watsa, a kadiw a zlaŋ ata ala ya, andza ndə shiɓi ma ɗiw a mbəla ala. Zlikusəm kwa a baz kwahu kwak, ala a kətsəh andza ghew, bildi tiwtiw aa ndirimahəji abə ŋtəɓəl aka səku zlikusəm tiwtiw a ɓec tə. Həji dawər ndiɓi aagi kazlima ndirim tə, ampəs a zahha gwara aska mtsər andza sərbaban, maŋgurləm a ndirimahəji həna madzəvaŋ ma kaɗalanə ana ala, ata la minja bəra a kala həji a mən. Həji ndiɓi aagi, kwa andza tambəlata bəza ana wiyə dawər watsa ya,  kwa həji kasənə akas.  Aa kanda ata la gar abə sha, həna kwa aa kadawər  akas. Həji aagi dagala ana ndə wiyə dawər watsa a kwaleŋ tə ikwa ata təmta, kwa may ta aska gas, zləm zləm tə menjivek aska dawər watsa akas.","Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier."
31,Person with a cough,Ala ma kakətsəh,Personne qui tousse
32,"Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.","Zlaŋ ataa wiyə dawər Koronavirus   KOVID-19 a zlaŋha ata həji ma ndza abə dawər watsa a zlikusəm aagi. Andza ala abə dawər watsa, a kakətsəh,  a zləvha ampəs aka səku yəm ŋtelekw ŋtelekw aska mtsər tə aka səku a takam tə andza limlim. Andza ala tanəp aka gələŋ abə səkən ma kazləvha aska mtsər tə watsa aka səku a takam tə watsa, wiyə dawər Koronavirus watsa a zlaŋ a heɗe kaɗ. Andza ala tadish ra aka ata səkən ndə a zləv  tə a heɗe ana səkən ma ndza  andza limlim ma kaŋtelekwha aska mtsər aka səku a takam ataa ala watsa, azha, dəba a akakəɗ nja, aka səku a atərəɗ nja, a atərəɗ mtsər, aka səku a atərəɗ ma, kajik ikwa tazlaŋakənə ana dawər watsa.","Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée."
37,How to protect yourself,Həji a ɗalzə a keŋ ha ara avaŋga?,Comment se protéger ?
38,"1. Avoid touching eyes, nose, mouth.","1. Həji ɗiw a ji a tərəɗ nja abə ra səku, kwa mtsər abə ma. ","1. Eviter de se toucher les yeux, le nez, la bouche."
40,2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.,"2. Həji ban ra bəza abə yəm ma ghwaɗəeɗe abə səmpər. A diwzha tə, saɗ həji saɗ ra bəza abə patak ma ghwaɗeɗe ndə dam a ŋkula ndza a heɗe kwa kajik.",2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.
42,3. Cough and sneeze into the crook of your arm. ,"3. Həji kətsəh ya, hurəm həji hurəm fərgula ka, həji tsa kətsəh a fərgula watsa. ",3. Tousser et éternuer dans le creux de son bras.
44,4. Avoid eating raw meat and touching live animals.,"4. Həji ɗiw a ji a ɓam zli abə nja səku. Zhana həji ɗiw a ji a tsa ra ata səkən ŋgas ma ndza abə nja aagi səku (hwiy, ŋcimi, həzhi).",4. Eviter de manger de la viande crue et de toucher des animaux vivants.
49,5. Keep at least one meter away from a person who is cou- ghing or sneezing. ,"5. Həji ɗiw a ji a ndza huk abəra ala ma kakətsəh səku, a kaɗiw ma bərabəra pal a walaŋ  kuni abə ala ma kakətsəh watsa. ",5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.
51,6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.,6. Həji ɗiw a ji a ɗal mbali səku. Həji zlap abə ha aka səku həji kafənə kaf ra ana ala abə gədək tə andza həji kamayə a zlapzanə.,6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.
53,7. Avoid gatherings. ,"7. Həji ɗiw a ji a dzamha ka vərəm ata la maŋtaguleŋ səku andza (dza baluŋ, daməs ata shaŋ abə dzam ndiɓi aagi...).",7. Eviter les rassemblements.
55,8. Restrict movement.,"8. Həji mbasl ciwir aka, aka səku nda ma gədək ma ɓəlakaka aagi.",8. Limiter ses déplacements.
57,9. Keep informed and verify the source of information.,"9. Həji tsa zləm katkadək aska ma aagi azha, ɗiw həji ɗiwzə shiŋ dawər tə a ndaha gwara a vata andza ala a kadawər. ",9. Se tenir informé et vérifier la source de ses informations.
