,eng,mxu,fra
0,What you need to know about the CORONAVIRUS or COVID-19,Eɗe ana kəsəlam adəva ga eɗe-mawala ya na tazala koronavirʉs.,﻿sur le  CORONAVIRUS 
1,,,
2,,Association Camerounaise pour la Traduction de la Bible et l'Alphabétisation,Association Camerounaise pour ﻿la Traduction de la Bible et l'Alphabétisation
5,,,Les informations contenues dans ce livret ﻿proviennent du site internet ﻿de l'Organisation Mondiale de la Santé (OMS). https://www.who.int/fr/home
8,,,"Toutes les photos appartiennent à CABTAL, sauf ﻿p.2 à Pixabay ﻿p.6 (boucher) et p.7 (foule) à Wikimedia Commons ﻿p.7 (gens regardant la TV) à United Nations (Photo # 616869 UN Photo/Marco Dormino)  Contacts CABTAL  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  B.P. : 16 550 Yaoundé, Cameroun"
10,,,
11,                    SUMMARY,                         GUDUGOŊA ,                                                  SOMMAIRE
12,- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words ,- Eɗe-mawala - Ezle yana tandza kef tatakalva ndoŋ - Mandza ga eɗe-mawala - Mahalavara eɗe-mawala ʉwe hinne - Ahawa na macufava haway? - Afalaŋa idemawala aksa kwala ta kege ahaway? - Maŋganaba kwatar magəla.,- Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles
16,p.2 p.3 p.4 p.5 p.6 p.7   p.8,p.2 p.3 p.4 p.5 p.6   p.8 p.9,p.2 p.3 p.4 p.5 p.6 p.7 p.8
17,"Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.","Eɗe-mawala  Korona eɗe-mawala ʉwe ana tazala kovid-19 eene eɗe-mawala hinne ma, ebe ira aka haŋ ga shinwa ana ehndze tatakalva afa vaɗ 31 desambər 2019 ta ndzayara ata amaɗ awara kəshem afalaŋa ike zeɓ zeɓ. Eɗe-mawalaŋa ehliva a lardava cici eɗe ana awara eɗe-mawala ŋa ma tasal da. Tatakalvara dzika tam.","Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue."
20,Elderly person,Ezle maɗəka yana tikera viya dik,Personne âgée
22,Person with a heart condition or disease,Ezle yana taka cakara cicihe ara Eɗe-mawala,Personne cardiaque ou souffrant de maladie
23,"Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.","Ezle yana tandza kef tatakalva ndoŋ   Ezle ana eɗe-mawala amagastal ndoŋ zire mbiyez mige viya gaŋa eme kini ma eɗe-mawala ʉwe hinne amagas naɗ oŋgwaŋa ma, ezle ana tikera eɗemawal ya ɓərov, masafa ara cicəhe, eɗe-mawala ya sukor dik avava, ezle nehe ma eɗe-mawala gatala amasaɓakatal aɗaba ga eɗe-mawala ʉwe hinne.","Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus."
26,Fever Fatigue,-Cukfari -Micifuko,- Fièvre - Fatigue
28,Dry cough Muscle aches and pains,-Amaɗ saflahlah -Mawala ga uslo ya vava,- Toux sèche - Douleurs musculaires
