,tth,lao,eng
0,ເລື່ອງປ້ອງກັນຕົວຈາກ ໄວຣັສໂຄໂລນາ,ເລື່ອງປ້ອງກັນຕົວຈາກ ໄວຣັສໂຄໂລນາ,About Coronavirus
1,,,
4,,ມີສິ່ງທີ່ທຸກຄົນຄວນເຂົ້າໃຈ ກ່ຽວກັບການແຜ່ລະບາດ ຂອງໄວຣັສ ,There's only ONE thing ﻿you need to understand about how a coronavirus
5,,ໂຄໂລນາ,SPREADS
6,,ປາກ,Mouth
7,,ຮູດັງ,Nose
8,,ຕາ,Eyes
9,,ເຂົົ້າໃນ,Get into your
10,,       ຜູ້ສະບາຍດີ,Healthy Person
11,,ຜູເປັນໄຂ້,Sick Person
12,,"ໄວຣັສນັ້ນສາມາດແຜ່ໄປ ຕິດຄົນອື່ນເມື່ອຜູຕິດເຊື້ອໄອ ຫຼືຈາມ, ແລ້ວຢອດເຫຼົ່ານີ້",The virus spreads when ﻿these droplets
13,,ຈົ່ງຮັກສາລະຍະຫ່າງເດີ້! ປະມານ2ແມັດ ຈະຊ່ວຍປ້ອງກັນຕົວ ຈາກຢອດເຫຼົ່ານັ້ນ.,Keep your distance.﻿2m to 0.5m will keep you safe from large droplets.
14,,1,1
15,,2ແມັດ,2m-0.5m
16,,ໄອຈາມ,Achoo!
17,,"ດັ່ງນັ້ນຖ້າສົົມມຸດທ່ານເຫັນຄົນທີ່ໄອຈາມ, ມີສິ່ງທີ່ຕ້ອງເຮັດຄື:",So if you see someone who is visibly coughing/sneezing/sick you can choose to:
18,,ເອົາໜ້າກາກໃຫ້ຄົນນັ້ນ. ເຂົາຈຶ່ງຈະສາມາດໄອ ຫຼືຈາມໃສ່ໜ້າກາກ ແລ້ວບໍ່ຖືກໃສ່ຜູ້ໃກ້ຄຽງ.,Give them a mask.﻿They can cough or sneeze in it and protects everyone else nearby
19,,2,2
20,,ຂໍຂອບໃຈຫຼາຍ,Thank you﻿*sniffles*
21,,ຫຼືວ່າ,"OR,"
22,,"ຜູ້ນີ້ອາດຈະຍັງສະບາຍດີຢູ່,    ມີແຕ່ຢາກປ້ອງກັນຕົວ.","Maybe she's not sick, just protecting herself"
23,,"ບາງເທື່ອຈະມີຄົນທີ່ຕິດເຊື້ອແລ້ວ, ແຕ່ບໍ່ສະແດງອາການ","People who are infected can show no symptoms, but are still﻿infectious"
24,,"ໂດຍທົວໄປ ໃຫ້ຫຼີກເວັ້ນຈາກຝູງຊົນກໍດີກວ່າ, ເພາະເຮົາບໍ່ຮູ້ວ່າ  ຜູ້ໃດບໍ່ສະບາຍ.","And in general, it's a good idea to avoid crowds, because you don't know who might be sick."
25,,ໄມ້ຖູ່,chopsticks
26,,ຄົນ ສະບາຍດີ,Healthy person
27,,ທີ່ຈັບ,Train straps
28,,ກະດຸມຫ້ອງລິບ,Lift buttons
29,,ກະດາດທິດຊູ,Tissues
30,,ຈອກ,Cups
31,,ໂທລະສັບ ຫຼືຄອມ,Digital devices
32,,ແມ່ນແຕ່ທາງນອກ ໜ້າກາກຂອງທ່ານ.,& even on the outside of your face mask
33,,ພະນັກຂັ້ນໄດ,Stair bannisters
34,,ເມົາສ໌,Mouse
35,,ປາກກາ,Pens
36,,ລູກປິດປະຕູ,Door knobs
37,,ມືຂອງຄົນນັ້ນ,Their hands
38,,"ຢ່າງໃດກໍຕາມ ບາງເທື່ອນຳລາຍຂອງຄົນ ທີ່ເປັນໄຂ້     ອາດຈະຕິດສິ່ງຂອງ ຕ່າງໆ..,","However, sometimes a sick person's saliva can get on other things…"
39,,ທຸກຄົນອາດຈະຕິດເຊື້ອໄດ້.,you might all fall sick.
40,,ຫຼືສໍາຜັດໃບໜ້າ ຂອງຜູ້ໃນ ຄອບ ຄົວ...,or your loved one's face
41,,ຂະຍີ້ຕາ,rub eyes
42,,ຖ້າສົມມຸດວ່າ ທ່ານຈັບສິ່ງຂອງເຫຼົ່ານີ້ ແລ້ວກໍຈັບໃບໜ້າຂອງທ່ານ...,"And if you do touch any of these things by accident, and then touch your face,"
43,,"ສະນັ້ນ ຖ້າຈະກໍາຈັດກໍຕ້ອງເອົາສະບູ, ຢາຟອກຂາວ, ຫຼືແອລກໍຮໍ ມາລ້າງຫຼືເຊັດ.","and the only effective way to get rid of them is to wash them off with soap, bleach, or alcohol."
44,,ເຊື້ອໄວຣັສກໍສາມາດຢູ່ເປັນເວລາ ຫຼາຍ ຊົວໂມງໃນສິ່ງຂອງ...,"Viruses can last for quite a few hours on objects,"
45,,ສະບູ,soap
46,,ປະການ,precautions
47,,ດັ່ງນັ້ນເຮົາຄວນຈະຕິດຕາມ ຄຳແນະນຳ,Which is why it is also good to follow these
48,,   ລ້າງຈົນ      ຮອດຈຸດນີ້,wash with soap up to here
50,,ຂໍ້ແຂນ,elbow
51,,"ຢ່າຈັບຫຼືສໍາຜັດໃບໜ້າຂອງຕົນເອງ, ຫຼືໃບໜ້າຜູ້ອື່ນ. ຖ້າຈໍາເປັນຈັບ, ລ້າງມືໃຫ້ສະອາດກ່ອນ.","Do not touch your face. (Or anyone else's face.) If you have to, wash your hands with soap thoroughly first."
52,,ຄືເວລາພໍທີ່ຈະຮ້ອງເພງ ແຮັບພີເບິດເດ ໄດ້2ເທື່ອ.,Enough time to sing “Happy Birthday” twice
53,,ໃນເລັບມື,under the nails
54,,ໃຊ້ເວລາ20 ວິນາທີ,for 20 seconds
55,,ລະຫວ່າງນີ້ວມື,between the fingers
56,,ລ້າງຫຼັງມື,wash the back of your hands
57,,ຄໍາວ່າ ລ້າງມືໃຫ້ສະອາດກໍຫມາຍຄວາມວ່າ ແນວໃດ?,What is thoroughly?
58,,"ແຕ່ຖ້າສົມມຸດວ່າ ຈັບແລ້ວກໍ ບໍ່ເປັນຫຍັງ, ມີແຕ່ຕ້ອງໄປລ້າງມື ໂດຍໃຊ້ສະບູ.","If you did, don't worry. Just wash your hands with soap after."
59,,"ອີກເລື່ອງໜຶ່ງ, ຄືຖ້າເປັນໄປ ໄດ້ ຢ່າຈັບທາງນອກ ໜ້າກາກ.","Also, don't touch the outside of the mask if you can."
60,,ຢອດ,droplets
61,,"ຖ້າໃສ່ດົນໂພດ, ເຊື້ອສາມາດສະສົມຕິດ ທາງໃນໜ້າກາກໄດ້.",*Bacteria grows on the insides of your mask if you wear them too long
62,,ຖ້າໜ້າກາກເປື້ອນແລ້ວ ຈົ່ງເອົາໄປ ຖິ້ມ. ຢ່າເກັບໄວ້     ຢ່າເອົາມາໃສ່ຫຼາຍກວ່າມື້ດ່ຽວເດີ້!,Throw away masks once they feel gross. Don't wear them for more than a day!
63,,ໃຊ້ຈອງຕັກ,Use a serving spoon
64,,ລູກ,Baby
65,,ພໍ່,Daddy
66,,ແມ່,Mommy
67,,ທຸກຄົນມີຜ້າເຊັດ ຂອງໃຜມັນ.,Everyone gets their own towel
68,,"ຢ່າຮ່ວມແບ່ງອາຫານຈານດ່ຽວ ຫຼືບ່ວງສ້ອມ, ຈອກ, ຫຼືຜ້າເຊັດ.","Do not share food, utensils, cups, towels."
69,,ບໍ່ສາມາດເອົາຂໍ້ແຂນ ມາສຳຜັດໃບໜ້າໄດ້!,You can't touch your face with your elbow even if you tried
70,,"ຖ້າເປັນໄປໄດ້ ຈົ່ງເປີດປິດປະຕູໂດຍ ຂໍ້ແຂນຫຼືບ່າ, ແທນທີ່ຈະຈັບໂດຍມື.","Open & close doors with your elbows or shoulders instead of hands, if possible."
71,,ເຮືອນເຮົາ,Home
72,,ຫຼັງຈາກໄປນອກເຮືອນ,and after being out in the public
73,,ກ່ອນທີ່ຈະ ກິນເຂົ້າ,Before you eat
74,,ຈົ່ງລ້າງມືໂດຍສະບູ ທຸກໆເທື່ອ...,Always wash your hands with soap…
75,,ສຸດທ້າຍ,"And finally,"
77,,ຮັກສາຕົວ ໃຫ້ ປອດໄພເດີ້!,"Stay safe, everyone!"
80,,ໃຫ້ອ່ານໜັງສື່ນີ້ ຖ້າຢາກໄດ້ຄຳແນະນຳອີກ!,Read the articles for more tips!
