,agq,eng
0,Ghəa ghə̄la ghùki alekele kùu ndùw Fə̀ŋgôʼ fə wàatɔ̄ŋ tɔɔŋ Kòlonavaelù ŋkāa Kovid-19,What you need to know about CORONAVIRUS or COVID-19
1,,
2,Cameroon Association for Bible Translation and Literacy,Cameroon Association for Bible Translation and Literacy
5,,The information in this booklet is taken from the World Health Organization (WHO) website. https://www.who.int/home
8,,"All pictures belong to CABTAL, except p.2 belongs to Pixabay p.6 (butcher) and p.7 (crowd) belong to Wikimedia Commons p.7 (people watching TV) belongs to United Nations (Photo # 616869 UN Photo/Marco Dormino)   CABTAL Contacts  Web : www.cabtal.org Mail : info_cabtal@cabtal.org Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659 P.O. Box : 16 550 Yaoundé, Cameroon"
11,Ǹ SÔ KƏ̀AA ÀGHƏA AN TUW WOAGHƏ̄A SƏ̀GHÀMBƏ̄GHĀ,                    SUMMARY
12,1) Fə̀ŋgôʼ fə kòlonà 2) Ghî ghəla ghe lô alembaā kwu 3) Tə̀tsə̌a 4) Ghəa ghù lò alekele a tē 5) Ghù lò alekə̀əŋ dzàŋ e tē zō an dzǐi tə ghɛ tō? 6) Ghəa ghù ki aleghəŋlo abugho dzâŋ e te e kpaʼ kwu tsughu ghû  ,- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words 
16,p.2 p.3 p.4 p.5   p.6  p.8 ,p.2 p.3 p.4 p.5 p.6 p.7   p.8
17,"Fə̀ŋgôʼ fə wàatɔ̄ŋ tɔɔŋ kòlonavaelu ŋkāa kovid-19 fə lo fə̀ŋgôʼ fə̀ fughu fō. Fə kaʼa nùghùun wò tò kəzɔ̀ʼ, mo to fə bəla bughò â vʉ zō an ndə̀mà to tədzǐi. Fə̀ŋgôʼ fə te fə n ndzā mbī edzə̀m. Fə mò kaʼ nughū tsughu an Chainà alo ntsuʼ ŋghəm n təgha à tsuʼ fo fə mɔ̀ʼ an ndzɔ̄ŋ è fwòo alo tənùu təkam təbə̀ghà à nùu tǒ tɛ̀ndzūghū (31 December 2019). Ghî à naam kəŋɔ kətuw kùu ndùw sa e fə̀ŋgôʼ fə̀ è fì; luʼū kəlā fə gbən sə kɔ̄ʼ ā tē.","Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known."
20,Ghì ā dwəlā gho,Elderly person
