fra,bwt,eng
Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19,Njɛmɛ mot a wɛl di baghɛ ditɛŋgɛn dulagh dya CORONAVIRUS na COVID-19 ,What you need to know about the CORONAVIRUS or COVID-19
,,
,Cameroon Association for Bible Translation and Literacy,Cameroon Association for Bible Translation and Literacy
,,The information in this booklet is taken from the World Health Organization (WHO) website. https://www.who.int/home
,,"All pictures belong to CABTAL, except p.2 belongs to Pixabay p.6 (butcher) and p.7 (crowd) belong to Wikimedia Commons p.7 (people watching TV) belongs to United Nations (Photo # 616869 UN Photo/Marco Dormino)  CABTAL Contacts  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  P. O. Box: 16 550 Yaoundé, Cameroon"
,                NJƐMƐ MOT A WƐL,                    SUMMARY
,"- Coronavirus - Bat ba dulagh di ma kwɛl ɔ nyol - Biyemblan - Ditombis dya dulagh dya coronavirus - Waŋgo ɔ fiti di kombɛn nyol ɛyawɛ - Njɛmɛ ɔ fiti di bol, na ɔ wɛl dulagh dinu",- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words 
,p.2 p.3 p.4 p.5 p.6  p.8 ,p.2 p.3 p.4 p.5 p.6 p.7   p.8
,"Coronavirus wa ba baghɛ na si COVID-19, dulagh di kɔlɔn. Ba na kolɛ di byana di botɛ ɔ mu ma lal na yogh, ɔ ngɔnd ya mandindɛn, ɔ mwa bikoli biba na dyɔm na dibugh (2019) Dulagh mɛn di wɛl ɛyɛmblan ya ɛkosi na ɛbomb tɛ di fiti di yɛlan mot ɔ mujumb mwa mudimb. Dulagh mɛn di ma kawɛn ɔ miki jita mya mika mwase. Bibotedi bya dulagh din wan di  si bilɛni.","Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known."
,Mot a ma jind,Elderly person
,Mot wa a wɛl dulagh dya mulɛm,Person with a heart condition or disease
,"Bat ba dulagh di ma kwɛl ɔ nyol  Nyɔŋgɔn ɛsus ba fiti di wɛl dulagh di kɔlɔn din. Bat ba ma jind, na  bat ba ba ma wɛl mulagh na si dulagh dyo ɔ sɔ so pɛmi lɛ, na dulagh dya fikpa na dulagh dya mulɛm, na dulagh dya maki ma kundil ɔ molo mwa mot mɔ ma befi jita na ma tani dulkagh dibey din dya ba fiŋgil na coronavirus.","Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus."
,-Mubonji -Di jɛ dya nyol,Fever Fatigue
,-Ekosi ya ɛfɛghɛsi-Missis mya mya wa,Dry cough Muscle aches and pains
