,lts,akc,eng,ind
0,Olumbe lwa Korona,Efarkor Kutut Virus Corona ,About Coronavirus,Tentang Virus Corona
1,,,,
3,,,,
4,,Eunot fasot ra³ kutut nja³n ma na bawantek ma mu²k virus Corona ser mamir-mamir. ,,
6,,abwa²to,,
7,,aminsano ,,
8,,aya¹mo,,
9,,"abe¹t, asit na brat yeta fiti, nama abwatrot orem be",,
10,,na ser mamir ma wantek janto,,
11,,mamir ma wantek ka ,,
12,,Bawantek virus Corona ser mamir fiti ku¹ ma,,
13,,"Aromangga ei janir be²m yeta ra³, fankar meter dokir, na utka bawantek virus mangga woka be¹ ser yek sijar fer jan. Bwa ei du⁴ma⁴t aka bawantek ser yek.",,
14,,1,,
15,,2meter,,
16,,Asiiiir!! ,,
17,,Bwa ewot yeta afiti abe¹t/afrinfur/awantek ,,
18,,Ekutup ma¹r bo²r ku¹ esa²n ebwa²t na fate ka bawantek virus ser yek. Eke ebot ma¹r bo²r na akutup ku¹ asa²n abwa²t na abe¹t asit ku¹ ma¹r bo²r mangga de¹n na fate ka bawantek ser mamir fiti fer jan.,,
19,,2,,
20,,Siya na na²n… *Asiiiir!* ,,
21,,Braw kutut ,,
22,,"Mamir serami ma dewantek jan, be¹ dekutup ma¹r bo²r ku¹ desa²n debwa²t na fate ka bawantek ser der.",,
23,,"Mamir serami ma debe¹t janto, desit janto, defrinfur janto, be¹ desoma bawantek mangga pa, are bawantek ser mamir fiti bari der fari¹. ",,
24,,"Ewoka be¹ efandurem suken jan, ejap braw mamir fo¹n jan, kutut eunot jan ka mata ma soma bawantek virus mangga pa. ",,
25,,Bar ma na eret kat baret ,,
26,,Mamir ma wantek jan,,
27,,Bar ma na eunjok kereta,,
28,,Tombol lift ,,
29,,Ma¹r bo²r ma na esit ku² ,,
30,,Gelas ,,
31,,"Komputer, HP ",,
32,,Ma¹r bo¹r ma ekutup ku¹ eminsan ebwa²t ka be ye⁴,,
33,,Arwar wo¹m ,,
34,,Komputer kumer ,,
35,,Bawop ma eprim ka bar ,,
36,,Bofit wo¹m ,,
37,,Awo¹m ,,
38,,"Bwa mamir ma wantek virus ka abe¹t asit, aka bawantek mangga ser bar masek aro:",,
39,,aka bina yek masek ewantek ni ka pa.,,
40,,"janaka ewo¹m tep mamir fiti wa²n, aro eya¹, eye¹n, eno¹no  ",,
41,,janaka eya¹m ,,
42,,"Bwa ewo¹m tep bar mangga fitak, mawi ewo¹m ser ewa²n ",,
43,,"Bwa ewamom ka bawantek mangga ser fer ku¹ yek jan, aka eworit bar mangga masek kat bar bwakrit (sabun), janaka murwan ma kwaik ma mu²k Bayclin janaka alcohol, na jik bawantek mangga.",,
44,,"Bawantek virus Corona ma kon ku¹ bar masek ka fu²n mim ku¹ waras onkirokir bwatasen (24 jam), janaka pu¹t tu⁴, nama ut. Bwa kon ku¹ plastik, aka fu²n mim ku¹ pu¹t denur, nama ut. ",,
45,,Bar bwakrit ,,
46,,ma sube manggi na utka bawantek virus Corona ser fe yek jan: ,,
47,,"Kutut bar mangga, are ebake ku¹ bubyew ",,
48,,Eworit ewo¹m mim ku¹ ewo¹m kase ra³.,,
50,,Wo¹m kase,,
51,,"Ewoka be¹ ewo¹m tep ewa²n eke mamir fiti wa²n ka jan. Janaka eworit ewo¹m kat bar bwakrit domi ra³, mawi ewo¹m tep ewa²n janaka mamir fiti wa²n. ",,
52,,Menit aro erin doya “Panjang Umurnya” saso rokir ,,
53,,Eworit ewo¹m bi³k bwa²k ,,
54,,"Aromangga eworit kon detik onkirokir.  Ewoka wasren jan. Bwa wasren aka bawantek mangga dam ku¹ ewo¹m ki, sinambair jan.",,
55,,Eworit ewo¹m bi³k beam beam masek,,
56,,Eworit ewo¹m be tanip. ,,
57,,Yek ekanaw bar kutut ma eworit ewo¹m fasot na seren. ,,
58,,"Be¹ bwa ewo¹m tep be ye⁴, aka ewoka efururu/ewanaw jan. Kopaw ku¹ manggai eworit ewo¹m kat bar bwakrit de¹n.",,
59,,Ewoka be¹ ewo¹m tep ma¹r bo¹r ka be ye⁴. ,,
60,,Bwatrot,,
61,,"Bwa ekutup kait, aka barerem numbak kanik virus Corona sajar ku¹ surabwa eke ma¹r bo²r mangga. ",,
62,,"Bwa ekutup surabwa menit aro ma¹r bo²r ku¹ esa²n ebwa²t siker ka pu¹t tu⁴ pa, janaka surabwa mangga me²t pa, aka efrak de¹n, ewoka ekutup fer janba. Bwa ma¹r bo²r ma ekutup ku¹ esa²n ebwa²t, aka pu¹t tu⁴ pu¹t tu⁴ eworit kat bar bwakrit braw wa¹r untek na seren fer. ",,
63,,Erak baret de¹ kat asyok kampak ma mamir det kat baret ka jan. ,,
64,,Eno¹n ,,
65,,Eya¹ ,,
66,,Eye¹n ,,
67,,Ewoka etik wa¹r kat ma¹r bo²r fitu jan. Be¹ mamir fitu-fitu atik wa¹r kat aro¹ abi ma¹r bo²r de¹n ,,
68,,"Ewoka eret baret fum kat te⁴p, asyok, je¹t no¹n, eke gelas fitu jan. Be¹ mamir fitu-fitu aret kat aro¹ abi te⁴p, asyok, je¹t no¹n, eke gelas de¹n. ",,
69,,Pu¹ti na ewo¹m kase tep ero¹ ewa²n ka jan. Anfatar ra³. ,,
70,,"Eba⁴s bofit, esit bofit kat ewo¹m kase janaka ewo¹m wa²t ra³, na utka ewo¹m bi³k tep bofit ka jan. ",,
71,,Ja¹n ,,
72,,Ku¹ ma eyafena si³ ja¹n bari bafujap fiti ,,
73,,Sorwan ka eret baret ,,
74,,Eworit ewo¹m kat bar bwakrit donin da³ ,,
75,,"Bar ma fawar, ",,
76,,Bar bwakrit,,
77,,Nen masek nenama emasek ewot ka ewobem na seren na utka ewantek jaṇ! ,,
80,,Ebiwasya surabwa mangga ra³ na eunot fiti fer! ,,
81,,"""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)",,
82,,"""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan25, 2020)",,
83,,"""How to avoid the coronavirus? Wash your hands"", Elizabeth Rosenthal, in New York Times, Opinion. (Jan 28, 2020)",,
84,,Surabwa mafun ma na eunot kutut bawantek virus Corona mangga:,,
85,,"Keterangan tambahan: Tindakan pencegahan dalam bentuk komik ini sangat efektif untuk mencegah penularan penyakit umum lainnya, seperti flu dan pilek, dan harus diterapkan dalam kehidupan sehari-hari, bahkan ketika tidak ada wabah. Referensi: lnformasi dalam komik ini dibuat berdasarkan pemahaman COVID-19 hingga 28 Februari 2020, dan sebagian besar diambil dari tiga referensi ini. https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips. htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/   https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Informasi Tambahan Komik dalam bentuk PDF dapat diunduh di sini:  https://gumroad.com/weimankowart Pedoman Menyebarkan Komik Komik ini dapat dibagikan secara gratis melalui media daring, atau melalui Whatsapp dan Telegram, dan dapat diunduh secara gratis untuk dicetak dalam bentuk poster untuk penggunaan pribadi atau sebagai materi edukasi di rumah, sekolah, dan tempat kerja.. Saat membagikan komik ini, ingat 3 hal berikut:  1) Dilarang mengedit gambar komik yang akan dibagikan.  2) Komik ini tidak dapat diperjualbelikan.  3) Jika dibagikan di media sosial FB, cantumkan kredit pengarang dengan menyebut @weimankowart, di IG dengan menyebut @weimankow (IG), atau mencantumkan tautan ke instagram.com/weimankow  Untuk penggunaan lainnya, silakan hubungi: comicsforgood@gmail.com",,
88,,,Diterjemahkan dalam Bahasa Mpur oleh Yakobus Apoki dan J Gregory Kalmbacher Jr ,
89,,,"Versi bahasa Inggris dibuat oleh Paul Frank (www. sil-lead.org), versi Bahasa Indonesia oleh Nazra Lutfiana (Unicef Indonesia), Penerjemahan dalam beberapa bahasa daerah : www.suluh.org",
90,,,"Created by Weiman Kow, instagram: weimankow",
