lts,akc,eng,ind
Olumbe lwa Korona,Efarkor Kutut Virus Corona ,About Coronavirus,Tentang Virus Corona
,,,
,,,
,Eunot fasot ra³ kutut nja³n ma na bawantek ma mu²k virus Corona ser mamir-mamir. ,,
,abwa²to,,
,aminsano ,,
,aya¹mo,,
,"abe¹t, asit na brat yeta fiti, nama abwatrot orem be",,
,na ser mamir ma wantek janto,,
,mamir ma wantek ka ,,
,Bawantek virus Corona ser mamir fiti ku¹ ma,,
,"Aromangga ei janir be²m yeta ra³, fankar meter dokir, na utka bawantek virus mangga woka be¹ ser yek sijar fer jan. Bwa ei du⁴ma⁴t aka bawantek ser yek.",,
,1,,
,2meter,,
,Asiiiir!! ,,
,Bwa ewot yeta afiti abe¹t/afrinfur/awantek ,,
,Ekutup ma¹r bo²r ku¹ esa²n ebwa²t na fate ka bawantek virus ser yek. Eke ebot ma¹r bo²r na akutup ku¹ asa²n abwa²t na abe¹t asit ku¹ ma¹r bo²r mangga de¹n na fate ka bawantek ser mamir fiti fer jan.,,
,2,,
,Siya na na²n… *Asiiiir!* ,,
,Braw kutut ,,
,"Mamir serami ma dewantek jan, be¹ dekutup ma¹r bo²r ku¹ desa²n debwa²t na fate ka bawantek ser der.",,
,"Mamir serami ma debe¹t janto, desit janto, defrinfur janto, be¹ desoma bawantek mangga pa, are bawantek ser mamir fiti bari der fari¹. ",,
,"Ewoka be¹ efandurem suken jan, ejap braw mamir fo¹n jan, kutut eunot jan ka mata ma soma bawantek virus mangga pa. ",,
,Bar ma na eret kat baret ,,
,Mamir ma wantek jan,,
,Bar ma na eunjok kereta,,
,Tombol lift ,,
,Ma¹r bo²r ma na esit ku² ,,
,Gelas ,,
,"Komputer, HP ",,
,Ma¹r bo¹r ma ekutup ku¹ eminsan ebwa²t ka be ye⁴,,
,Arwar wo¹m ,,
,Komputer kumer ,,
,Bawop ma eprim ka bar ,,
,Bofit wo¹m ,,
,Awo¹m ,,
,"Bwa mamir ma wantek virus ka abe¹t asit, aka bawantek mangga ser bar masek aro:",,
,aka bina yek masek ewantek ni ka pa.,,
,"janaka ewo¹m tep mamir fiti wa²n, aro eya¹, eye¹n, eno¹no  ",,
,janaka eya¹m ,,
,"Bwa ewo¹m tep bar mangga fitak, mawi ewo¹m ser ewa²n ",,
,"Bwa ewamom ka bawantek mangga ser fer ku¹ yek jan, aka eworit bar mangga masek kat bar bwakrit (sabun), janaka murwan ma kwaik ma mu²k Bayclin janaka alcohol, na jik bawantek mangga.",,
,"Bawantek virus Corona ma kon ku¹ bar masek ka fu²n mim ku¹ waras onkirokir bwatasen (24 jam), janaka pu¹t tu⁴, nama ut. Bwa kon ku¹ plastik, aka fu²n mim ku¹ pu¹t denur, nama ut. ",,
,Bar bwakrit ,,
,ma sube manggi na utka bawantek virus Corona ser fe yek jan: ,,
,"Kutut bar mangga, are ebake ku¹ bubyew ",,
,Eworit ewo¹m mim ku¹ ewo¹m kase ra³.,,
,Wo¹m kase,,
,"Ewoka be¹ ewo¹m tep ewa²n eke mamir fiti wa²n ka jan. Janaka eworit ewo¹m kat bar bwakrit domi ra³, mawi ewo¹m tep ewa²n janaka mamir fiti wa²n. ",,
,Menit aro erin doya “Panjang Umurnya” saso rokir ,,
,Eworit ewo¹m bi³k bwa²k ,,
,"Aromangga eworit kon detik onkirokir.  Ewoka wasren jan. Bwa wasren aka bawantek mangga dam ku¹ ewo¹m ki, sinambair jan.",,
,Eworit ewo¹m bi³k beam beam masek,,
,Eworit ewo¹m be tanip. ,,
,Yek ekanaw bar kutut ma eworit ewo¹m fasot na seren. ,,
,"Be¹ bwa ewo¹m tep be ye⁴, aka ewoka efururu/ewanaw jan. Kopaw ku¹ manggai eworit ewo¹m kat bar bwakrit de¹n.",,
,Ewoka be¹ ewo¹m tep ma¹r bo¹r ka be ye⁴. ,,
,Bwatrot,,
,"Bwa ekutup kait, aka barerem numbak kanik virus Corona sajar ku¹ surabwa eke ma¹r bo²r mangga. ",,
,"Bwa ekutup surabwa menit aro ma¹r bo²r ku¹ esa²n ebwa²t siker ka pu¹t tu⁴ pa, janaka surabwa mangga me²t pa, aka efrak de¹n, ewoka ekutup fer janba. Bwa ma¹r bo²r ma ekutup ku¹ esa²n ebwa²t, aka pu¹t tu⁴ pu¹t tu⁴ eworit kat bar bwakrit braw wa¹r untek na seren fer. ",,
,Erak baret de¹ kat asyok kampak ma mamir det kat baret ka jan. ,,
,Eno¹n ,,
,Eya¹ ,,
,Eye¹n ,,
,Ewoka etik wa¹r kat ma¹r bo²r fitu jan. Be¹ mamir fitu-fitu atik wa¹r kat aro¹ abi ma¹r bo²r de¹n ,,
,"Ewoka eret baret fum kat te⁴p, asyok, je¹t no¹n, eke gelas fitu jan. Be¹ mamir fitu-fitu aret kat aro¹ abi te⁴p, asyok, je¹t no¹n, eke gelas de¹n. ",,
,Pu¹ti na ewo¹m kase tep ero¹ ewa²n ka jan. Anfatar ra³. ,,
,"Eba⁴s bofit, esit bofit kat ewo¹m kase janaka ewo¹m wa²t ra³, na utka ewo¹m bi³k tep bofit ka jan. ",,
,Ja¹n ,,
,Ku¹ ma eyafena si³ ja¹n bari bafujap fiti ,,
,Sorwan ka eret baret ,,
,Eworit ewo¹m kat bar bwakrit donin da³ ,,
,"Bar ma fawar, ",,
,Bar bwakrit,,
,Nen masek nenama emasek ewot ka ewobem na seren na utka ewantek jaṇ! ,,
,Ebiwasya surabwa mangga ra³ na eunot fiti fer! ,,
,"""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)",,
