,spa,eng
0,Sobre el Coronavirus,About Coronavirus
1,,
4,Hay solo UNA cosa que usted necesita entender de como el coronavirus,
5,SE PROPAGA,
6,la boca,
7,la nariz,
8,los ojos,
9,entran en,
10,Persona Sana,
11,Persona Enferma,
12,El virus se propaga cuando estas gotitas,
13,Mantener distancia. Con una distancia de 2 metros puede evitar contacto con las gotitas.,
14,1,
15,2m,
16,¡Achú!,
17,"Si ve a alguien que tose, estornuda o está enfermo, puede:",
18,"Darle una mascarilla.  Así, la persona puede toser o estornudar sin poner en riesgo a los demás.",
19,2,
20,¡¡¡Gracias!!!,
21,También puede:,
22,"Quizá no está enferma, sólo está protegiéndose.",
23,"Puede que personas infectadas no presenten síntomas, pero aún así son ﻿contagiosas.",
24,"En general, le conviene evitar lugares con mucha gente, porque no sabe quien podría estar enfermo.",
25,palillos/﻿cubiertos,
26,persona﻿sana,
27,agarraderas,
28,botones,
29,pañuelos,
30,vasos,
31,celulares y computadoras,
32,hasta en el exterior de la mascarilla,
33,barandal,
34,mouse,
35,lapiceros,
36,pomos,
37,manos,
38,"A veces, la saliva de una persona enferma puede pegarse en otras cosas.",
39,todos podrían enfermarse.,
40,o la de un querido,
41,frota los ojos,
42,"Si toca cualquiera de estas cosas sin querer y después se toca la cara,",
43,"La única manera eficaz de eliminarlos es lavar los objectos con jabón, blanqueador o alcohol medicinal.",
44,Los virus pueden durar muchas horas en los objetos.,
45,jabón,
46,precauciones,
47,"Para evitar contagios, siga estas",
48,lávese con﻿jabón hasta aquí,
50,codo,
51,"No toque su cara (o la de alguien más).﻿Si tiene que hacerlo, lávese completamente las manos",
52,"el tiempo suficiente para cantar ""Cumpleaños feliz"" dos veces",
53,debajo de las uñas,
54,por 20 segundos,
55,entre los dedos,
56,lávese la parte de atrás,
57,"¿Qué quiere decir ""completamente""?",
58,"Si lo hizo, no se preocupe.  Solo lávese bien las manos con jabón después.    ",
59,No toque el exterior de la mascarilla.,
60,gotitas,
61,Si la uses por mucho tiempo la misma mascarilla puede acumular bacterias por dentro.,
62,Tire las mascarillas que estén sucios.﻿¡No las use más de un día!,
63,Use una cuchara especial para servir.,
64,Bebé,
65,Papá,
66,Mamá,
67,Todos deben de tener su propia toalla.,
68,"No comparta comida, cubiertos, vasos ni toallas.",
69,"No puede tocarse la cara con los codos, por más que lo intente.",
70,Abra y cierre las puertas con los hombros o codos. Evite usar las manos.,
71,Hogar,
72,y después de estar en la calle.,
73,antes de comer,
74,Siempre lávese las manos...,
75,"Finalmente,",
77,¡CUÍDENSE!,
80,Lee estos artículos para mayor información.,
81,"""This animation shows how far your sneeze can actually travel"" por Chia Yi Hou, en Business Insider (21 de enero de 2020)",
82,"""The Wuhan Virus: How to stay safe"", por Laurie Garrett, en Foreign Policy, Repert. (25 de enero de 2020)",
83,"""How to avoid the coronavirus? Wash your hands"" por Elizabeth Sosenthal, en The New York Times, Opinion. (28 de enero de 2020)",
84,Principales referencias médicas:,
85,"Notas adicionales:  Las precauciones higiénicas en este cómic son eficaces para prevenir muchas otras infecciones comunes como la gripe y el resfriado, y deben ser aplicados en la vida diaria, incluso cuando no hay una epidemia.﻿﻿Referencias: La información en este cómic se basa en lo que sabemos del COVID19 hasta el 28 de febrero de 2020, y principalmente de estas tres referencias:﻿https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.html﻿https://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/﻿https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10﻿﻿Información adicional: Una versión en PDF del cómic está disponible para su descarga gratuita aquí:﻿https://gumroad.com/weimankowart﻿Directrices para compartir: Este cómic es gratuito para que el público en general lo comparta en línea y a través de Whatsapp y Telegram, y las descargas son gratuitas para imprimirlas como carteles (pósters) para uso personal y educativo en hogares, escuelas y lugares de trabajo.Cuando compartan, por favor recuerden estos 3 puntos:﻿﻿1) No se permite de ninguna manera editar los cómics cuando se compartan﻿﻿2) Los cómics no pueden ser usados para ningún proyecto comercial﻿3) Si en línea, acrediten al creador en FB etiquetando @weimankowart, en IG etiquetando @weimankow (IG), o proporcionando un enlace a instagram com/weimankow ﻿Para todos los demás usos, por favor envíe una solicitud a: comicsforgood@gmail.com﻿(Está página fue traducido por Cristóbal con la ayuda de DeepL)",
89,"Translation by the Embassy of Mexico in the United States, Matthew A. Gray, and others",
90,"Created by Weiman Kow, instagram: weimankow",
95,"Sobre el Coronavirus    Hay solo UNA cosa que usted necesita entender de como el coronavirus SE PROPAGA la boca la nariz los ojos entran en Persona Sana Persona Enferma El virus se propaga cuando estas gotitas Mantener distancia. Con una distancia de 2 metros puede evitar contacto con las gotitas. 1 2m ¡Achú! Si ve a alguien que tose, estornuda o está enfermo, puede: Darle una mascarilla.  Así, la persona puede toser o estornudar sin poner en riesgo a los demás. 2 ¡¡¡Gracias!!! También puede: Quizá no está enferma, sólo está protegiéndose. Puede que personas infectadas no presenten síntomas, pero aún así son ﻿contagiosas. En general, le conviene evitar lugares con mucha gente, porque no sabe quien podría estar enfermo. palillos/﻿cubiertos persona﻿sana agarraderas botones pañuelos vasos celulares y computadoras hasta en el exterior de la mascarilla barandal mouse lapiceros pomos manos A veces, la saliva de una persona enferma puede pegarse en otras cosas. todos podrían enfermarse. o la de un querido frota los ojos Si toca cualquiera de estas cosas sin querer y después se toca la cara, La única manera eficaz de eliminarlos es lavar los objectos con jabón, blanqueador o alcohol medicinal. Los virus pueden durar muchas horas en los objetos. jabón precauciones Para evitar contagios, siga estas lávese con﻿jabón hasta aquí jabón codo No toque su cara (o la de alguien más).﻿Si tiene que hacerlo, lávese completamente las manos el tiempo suficiente para cantar ""Cumpleaños feliz"" dos veces debajo de las uñas por 20 segundos entre los dedos lávese la parte de atrás ¿Qué quiere decir ""completamente""? Si lo hizo, no se preocupe.  Solo lávese bien las manos con jabón después.     No toque el exterior de la mascarilla. gotitas Si la uses por mucho tiempo la misma mascarilla puede acumular bacterias por dentro. Tire las mascarillas que estén sucios.﻿¡No las use más de un día! Use una cuchara especial para servir. Bebé Papá Mamá Todos deben de tener su propia toalla. No comparta comida, cubiertos, vasos ni toallas. No puede tocarse la cara con los codos, por más que lo intente. Abra y cierre las puertas con los hombros o codos. Evite usar las manos. Hogar y después de estar en la calle. antes de comer Siempre lávese las manos... Finalmente, jabón ¡CUÍDENSE! ¡CUÍDENSE! jabón Lee estos artículos para mayor información. ""This animation shows how far your sneeze can actually travel"" por Chia Yi Hou, en Business Insider (21 de enero de 2020) ""The Wuhan Virus: How to stay safe"", por Laurie Garrett, en Foreign Policy, Repert. (25 de enero de 2020) ""How to avoid the coronavirus? Wash your hands"" por Elizabeth Sosenthal, en The New York Times, Opinion. (28 de enero de 2020) Principales referencias médicas: Notas adicionales:  Las precauciones higiénicas en este cómic son eficaces para prevenir muchas otras infecciones comunes como la gripe y el resfriado, y deben ser aplicados en la vida diaria, incluso cuando no hay una epidemia.﻿﻿Referencias: La información en este cómic se basa en lo que sabemos del COVID19 hasta el 28 de febrero de 2020, y principalmente de estas tres referencias:﻿https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.html﻿https://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/﻿https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10﻿﻿Información adicional: Una versión en PDF del cómic está disponible para su descarga gratuita aquí:﻿https://gumroad.com/weimankowart﻿Directrices para compartir: Este cómic es gratuito para que el público en general lo comparta en línea y a través de Whatsapp y Telegram, y las descargas son gratuitas para imprimirlas como carteles (pósters) para uso personal y educativo en hogares, escuelas y lugares de trabajo.Cuando compartan, por favor recuerden estos 3 puntos:﻿﻿1) No se permite de ninguna manera editar los cómics cuando se compartan﻿﻿2) Los cómics no pueden ser usados para ningún proyecto comercial﻿3) Si en línea, acrediten al creador en FB etiquetando @weimankowart, en IG etiquetando @weimankow (IG), o proporcionando un enlace a instagram com/weimankow ﻿Para todos los demás usos, por favor envíe una solicitud a: comicsforgood@gmail.com﻿(Está página fue traducido por Cristóbal con la ayuda de DeepL) Sobre el Coronavirus   Translation by the Embassy of Mexico in the United States, Matthew A. Gray, and others Created by Weiman Kow, instagram: weimankow    ",About Coronavirus                                                                                      About Coronavirus        
