lts,eng
Olumbe lwa Korona,About Coronavirus
,
Translated by Samson Wanyonyi Ngosia and Tobias Walubengo,
Sibeleho buchwa esindu SILALA sia okhoyela omanye khuli ebirusi bia korona,There's only ONE thing ﻿you need to understand about how a coronavirus
BISALANIKHANGA,SPREADS
Naho mu omunwa kukwo,Mouth
Mu amolu,Nose
Mu chimoni,Eyes
Kenjila,Get into your
Omundu omulamu,Healthy Person
Omundu omulwale,Sick Person
Ebirusi bisalanikhanga lwa amame kano,The virus spreads when ﻿these droplets
Wasinjila sinaho ninaye. Sinaho sia ofulenje fubili silakhingilila amame okhutuukha wa oli.,Keep your distance.﻿2m to 0.5m will keep you safe from large droplets.
1,1
2m,2m-0.5m
Achuu!,Achoo!
Kho niiba mbo olengela omundu wulolekha ni alakhololanga/ alasimulanga/ naho omulwale onyala:,So if you see someone who is visibly coughing/sneezing/sick you can choose to:
Omuhelesie emasiki okhukhinga emunwa nende amolu. Anyala wakhololelamo naho wasimulilamo mani siakhingilila buli omundu wuli ahambi okhunyoola ebirusi.,Give them a mask.﻿They can cough or sneeze in it and protects everyone else nearby
2,2
Orioo muno *Amolu kalekalanga*,Thank you﻿*sniffles*
NAHO,"OR,"
"Aundi sali omulwale ta, alekhinganga buchwa.","Maybe she's not sick, just protecting herself"
"Abandu balala bahambisibwa yilali sibechesianga mbo abalwale ta, nabuchwa banyala bahambia abandi obulwale.","People who are infected can show no symptoms, but are still﻿infectious"
"Khandi bubeele obulayi okhulekha okhutubaana nende abandu mu ebituma, sikila somanya wina wunyala okhuba omulwale ta.","And in general, it's a good idea to avoid crowds, because you don't know who might be sick."
Chisaala cha yinyama,chopsticks
Omundu omulamu,Healthy person
Ofwitililo mu omutuka,Train straps
Bia okhumina muchilifuti,Lift buttons
Chikaratasi cha okhwiyeya amamila,Tissues
Ofukombe,Cups
Ofundu fwa tekinolochi,Digital devices
Yakhaba elwanyi wa emasiki ya okhukhinga omunwa na amolu.,& even on the outside of your face mask
Olupao lwa khu yingasi ya ekorofa,Stair bannisters
emausi ya ekombiuta,Mouse
Chikalamu,Pens
Omukhono kwa olwiki,Door knobs
Amakhono kaabo,Their hands
"Kakhaba kario, ofuse fundi amare ka omundu omulwale kanyala karoonya khu ofundu fundi khuli…","However, sometimes a sick person's saliva can get on other things…"
Enywe munyala mwarachikha okhulwala mwesi.,you might all fall sick.
Naho amoni wa abasiime baabo,or your loved one's face
Osukue chimoni,rub eyes
"Olatiila khu ofundu funo mani wichukhane otiile amoni wuwo,","And if you do touch any of these things by accident, and then touch your face,"
Kho okhusinga ofundu funo nende esabuni naho amachi nende esikelo sia amalwa niyo yinjila yonyene ya okhurusiakho ebirusi bino.,"and the only effective way to get rid of them is to wash them off with soap, bleach, or alcohol."
Eburusi binyala biekhala khu ofundu khu ofuse ofurambi,"Viruses can last for quite a few hours on objects,"
Esabuni,soap
Okhwikhingilila kano,precautions
Niko kakila nibuli obulayi okhulonda amakhuwa ka,Which is why it is also good to follow these
Singa nende esabuni okhutuukha hano,wash with soap up to here
Yikhumbo,elbow
"Okhehabasia hamoni wuwo ta. (Naho hamoni wa omundu wundi ta.) Niiba mbo okhoya okhole kano, singa emikhono kikio nende esabuni obulayi bwene mbele.","Do not touch your face. (Or anyone else's face.) If you have to, wash your hands with soap thoroughly first."
Ofuse fwolana okwimba “Mwana wa mbeli” khabili,Enough time to sing “Happy Birthday” twice
Mu ofutere,under the nails
Khu ofuse fwa chisekendi 20,for 20 seconds
Akarikari wa chinjala,between the fingers
Singa yinyuma wa esikalabo,wash the back of your hands
Obulayi bwene nisio sina?,What is thoroughly?
"Nikaba bari otililekho, okhahenda ta. Singa buchwa amakhono kaako nende esabuni.","If you did, don't worry. Just wash your hands with soap after."
Nikanyalikha okhatiila olubeka lwa elwanyi lwa emasiki ta.,"Also, don't touch the outside of the mask if you can."
Amame,droplets
Ebirusi bikhulunduanga olubeka lwa mukari lwa emasiki oleboha oluhono.,*Bacteria grows on the insides of your mask if you wear them too long
Sukuna emasiki ya okhukhinga emunwa yilanyira. Okheboha emasiki okhubira yinyinga ndala ta.,Throw away masks once they feel gross. Don't wear them for more than a day!
Rumikhila esichiko sia okhukabula,Use a serving spoon
Omwana,Baby
Tata,Daddy
Maayi,Mommy
Buli omundu abe nende etaulo yiye,Everyone gets their own towel
"Mukhasanga ofwakhulia khusililikho silala ta,naho ofukombe naho chitaulo ta.","Do not share food, utensils, cups, towels."
Sonyala okhutiila hamoni wuwo nende yikhumbo ta ata wakhakhaka.,You can't touch your face with your elbow even if you tried
"Niwikula naho okhwikala olwiki rumikhila yikhumbo naho amabeka nikanyalikha, okharumikhila omukhono ta.","Open & close doors with your elbows or shoulders instead of hands, if possible."
Yingo,Home
Nende niwakharula elwanyi mu abandu abanyinji,and after being out in the public
Nosiili okhulia,Before you eat
Singa emikhono kikio buli khase nende esabuni….,Always wash your hands with soap…
Okhumalilisia,"And finally,"
Buli omundu yilinda!,"Stay safe, everyone!"
Read the articles for more tips!,Read the articles for more tips!
"""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020).","""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)"
"""The Wunah Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report (Jan 25, 2020)","""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan 25, 2020)"
"""How to avoid the coronavirus? Wash your hands"", by Elizabeth Rosental, in the New York Times, Opinion. (Jan 28, 2020)","""How to avoid the coronavirus? Wash your hands"", by Elizabeth Rosenthal, in the New York Times, Opinion. (Jan 28, 2020"
Main references for medical info:,Main references for medical info:
"Additional notes: Chinjila cha okhwikhinga okhunyoola Korona chino chinyala charumikha okhwikhinga okhunyoola obulwale bundi khuli esifundesana nende esikhololo, kho kenyekhana okhuchilonda ata yakhaba obulwale nibukhaliwo ta. References: lnformation in comic is based on understanding of COVID19 up till 28 Feb 2020, and mainly from these three references.  https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/  https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Additonal lnformation A PDF version of the comic is available for free download here: https://gumroad.com/weimankowart  Sharing Guidelines This comic is free for the general public to share online and through Whatsapp and Telegram, and the downloads are free for printing out as posters for personal and educational use in homes, schools, and workplaces.  When sharing, please remember these 3 points: 1) No edits to the comics is allowed in any way when sharing. 2) Comics cannot be used for any commercial project 3) lf online, credit the creator on FB by tagging @weimankowart, on IG by tagging @weimankow (IG), or providing a link to instagram com/weimankow For all other uses, please send a request in to: comicsforgood@gmail.com","Additional notes:  Hygiene precautions in comic are effective in preventing many other common infections such as flu and cold, and should be applied in every day life, even when there is no epidemic.  References:  lnformation in comic is based on understanding of COVI 019 up till 28 Feb 2020, and mainly from these three references. ﻿https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/ ﻿https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-1O Additonal lnformation  A PDF version of the comic is available for free download here:﻿﻿https://gumroad.com/weimankowart  Sharing Guidelines  This comic is free for the general public to share online and through Whatsapp and Telegram, and the downloads are free for printing out as posters for personal and educational use in homes, schools, and workplaces.  When sharing, please remember these 3 points: ﻿1) No edits to the comics is allowed in any way when sharing.﻿2) Comics cannot be used for any commercial project﻿3) lf online, credit the creator on FB by tagging @weimankowart, on IG by tagging @weimankow (IG), or providing a link to instagram com/weimankow ﻿For all other uses, please send a request in to: comicsforgood@gmail.com"
,"Translated by Samson Wanyonyi Ngosia and Tobias Walubengo Bible Translation and Literacy, E.A"
,"Created by Weiman Kow, instagram: weimankow"
