,cia,eng
0,O Leleno Virusu Korona,About Coronavirus
1,,
3,,
4,Amea paghalulu kakumonie nakee maimpae virusu korona ana  nopikalele,
6,Bhobha,
7,Ngo'o ,
8,Mata,
9,Nopisua i lalono,
10,Mia mantaha,
11,Mia kopanaki,
12,Virusu iaana nopikalele nopilala i  tampisano ilu,
13,Pikombelai. Ciabhe naghumatoso tampisano ilu sumano cumianda-anda i kambelai ghua meteghe.,
14,1,
15,"0,5 m - 2 m",
16,Tamiaciho ‘Haaachi’,
17,"Jari, ane cumita mia nakokudha/namiaciho/ nakopananaki, isoo cumimbali uka:",
18,Dhawuisie maskere. Jari moia namimbali namiaciho atawa nakokudha ilalono maskereno dhiaaso napasalamati mia I lepe-lepeno. ,
19,2,
20,Tarima kasi “SROOT”,
21,Atawa,
22,Itaano kabilanga mia iaana cia nakopanaki. Hawite nopajaga kuluno.,
23,"Ane mia nokovirusumo agaa cia nacikoni, hawali nopimbali nopolimba panakino (imia agaano ‘orang lain’).",
24,"Kaumelasano hake, kolie kapoghompu-ghompu hulanomo cia takumonie Inde-indeeno kopanakino.",
25,Maataa,
27,Kauntaano kereta,
28,Kaisono lifu,
29,Tisu,
30,Tonde,
31,Paghewano digitala,
32,Mohake italikuno maskere,
33,Kauntaano ea,
34,Mousu,
35,Pena,
36,Limano bhobha,
37,Limano moia,
38,"Hawali, agaa iluno mia kopanaki nopimbali nopika i...",
39,Siambalimbalisimiu cukakopanaki,
40,Atawa hulano mia tatangkuno mai isoo ,
41,Cugigisimo matamu,
42,Mohake cia cukamaghadhami cukaghumuncu  bara-bara longkee pooliwange cukaghumuncumo hulamiu.,
43,"Ame-meano Lala dhiaso tamikawulu virusu iaana towanuiisie sabo, pemutih, atawa alkoholo.",
44,Virusu iaana nodhadhi padhai ghua pulu pato jamu i wiwino bara-bara.,
45,Sabo,
46,lala niumelaaso doghi.,
47,"Longkeenomo, umelano pali tahumokoloe",
48,Wanuiisie sabo padhai kanakee,
50,Mina i palano lima padha i siku,
51,"Kolie mughuncu hulamu(atawa hulano mia). Ane ciamo nacitaghai, wanuiepo pangulu limamiu kapakeisie sabo.",
52,Kabilanga topilaguaso “Lakadhandio” ghua mpalinga,
53,I woghuno kunusu,
54,I lalono 20 deti,
55,I lapitano wunga lima,
56,Towanui toghukuno  lima,
57,Maimpae towaanui lima sampe nomongkilo?,
58,"Ane nocidhingkumo, kolie katokinda. Kawanuie maghimba limamiu kapakeisie sabo.",
59,Kolie kaghuncu talikuno maskere.,
60,Tampisano ilu,
61,Bakteri iaana nokoana-ana i lalono maskere ane topakee nomelengo pali.,
62,Kakabhiemo maskeremiu ane nojahanamo. Kolie kapake maskere nakolabhimo aalo.,
63,Kapake kasidhuno pikughi,
64,Ana/ ungkaka ,
65,Ama,
66,Ina,
67,Kapake handu amia-amia,
68,"Kolie kapikabhawaaso kamaa, maataa, tonde, mai handu.",
69,Cia cumooli cughumuncu hulamu cupakeisie sikumu.. sobaepo.,
70,"Ane namimbali, cukamambe atawa cukahomompo bhobha kapakeiisie siku atawa bhobhose.",
71,I kaana,
72,Kamina i kaghamaea,
73,Mina ciapo cukamaa,
74,Pikaneaisiie wanuie limamu kapakeisie sabo,
75,Pupusiano,
77,Kajaganie kamantaha- (miu kalian’)!,
80,Kabacae kopomba agaano dhoghi i wawo,
81,"""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)",
82,"""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan 25, 2020)",
83,"""How to avoid the coronavirus? Wash your hands"", by Elizabeth Rosenthal, in the New York Times, Opinion (Jan 28, 2020)",
84,Kapoomba Dhiaaso Tamantahaaso:,
85,"Keterangan tambahan: Tindakan pencegahan dalam bentuk komik ini sangat efektif untuk mencegah penularan penyakit umum lainnya, seperti flu dan pilek, dan harus diterapkan dalam kehidupan sehari-hari, bahkan ketika tidak ada wabah. Referensi: lnformasi dalam komik ini dibuat berdasarkan pemahaman COVID-19 hingga 28 Februari 2020, dan sebagian besar diambil dari tiga referensi ini. https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips. htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/   https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Informasi Tambahan Komik dalam bentuk PDF dapat diunduh di sini:  https://gumroad.com/weimankowart Pedoman Menyebarkan Komik Komik ini dapat dibagikan secara gratis melalui media daring, atau melalui Whatsapp dan Telegram, dan dapat diunduh secara gratis untuk dicetak dalam bentuk poster untuk penggunaan pribadi atau sebagai materi edukasi di rumah, sekolah, dan tempat kerja.. Saat membagikan komik ini, ingat 3 hal berikut:  1) Dilarang mengedit gambar komik yang akan dibagikan.  2) Komik ini tidak dapat diperjualbelikan.  3) Jika dibagikan di media sosial FB, cantumkan kredit pengarang dengan menyebut @weimankowart, di IG dengan menyebut @weimankow (IG), atau mencantumkan tautan ke instagram.com/weimankow  Untuk penggunaan lainnya, silakan hubungi: comicsforgood@gmail.com",
88,,Diterjemahkan dalam Bahasa Ciacia oleh La Yani Konisi
89,,"Versi bahasa Inggris dibuat oleh Paul Frank (www. sil-lead.org), versi Bahasa Indonesia oleh Nazra Lutfiana (Unicef Indonesia), Penerjemahan dalam beberapa bahasa daerah : www.suluh.org"
90,,"Created by Weiman Kow, instagram: weimankow"
95,"O Leleno Virusu Korona    Amea paghalulu kakumonie nakee maimpae virusu korona ana  nopikalele  Bhobha Ngo'o  Mata Nopisua i lalono Mia mantaha Mia kopanaki Virusu iaana nopikalele nopilala i  tampisano ilu Pikombelai. Ciabhe naghumatoso tampisano ilu sumano cumianda-anda i kambelai ghua meteghe. 1 0,5 m - 2 m Tamiaciho ‘Haaachi’ Jari, ane cumita mia nakokudha/namiaciho/ nakopananaki, isoo cumimbali uka: Dhawuisie maskere. Jari moia namimbali namiaciho atawa nakokudha ilalono maskereno dhiaaso napasalamati mia I lepe-lepeno.  2 Tarima kasi “SROOT” Atawa Itaano kabilanga mia iaana cia nakopanaki. Hawite nopajaga kuluno. Ane mia nokovirusumo agaa cia nacikoni, hawali nopimbali nopolimba panakino (imia agaano ‘orang lain’). Kaumelasano hake, kolie kapoghompu-ghompu hulanomo cia takumonie Inde-indeeno kopanakino. Maataa Mia mantaha Kauntaano kereta Kaisono lifu Tisu Tonde Paghewano digitala Mohake italikuno maskere Kauntaano ea Mousu Pena Limano bhobha Limano moia Hawali, agaa iluno mia kopanaki nopimbali nopika i... Siambalimbalisimiu cukakopanaki Atawa hulano mia tatangkuno mai isoo  Cugigisimo matamu Mohake cia cukamaghadhami cukaghumuncu  bara-bara longkee pooliwange cukaghumuncumo hulamiu. Ame-meano Lala dhiaso tamikawulu virusu iaana towanuiisie sabo, pemutih, atawa alkoholo. Virusu iaana nodhadhi padhai ghua pulu pato jamu i wiwino bara-bara. Sabo lala niumelaaso doghi. Longkeenomo, umelano pali tahumokoloe Wanuiisie sabo padhai kanakee Sabo Mina i palano lima padha i siku Kolie mughuncu hulamu(atawa hulano mia). Ane ciamo nacitaghai, wanuiepo pangulu limamiu kapakeisie sabo. Kabilanga topilaguaso “Lakadhandio” ghua mpalinga I woghuno kunusu I lalono 20 deti I lapitano wunga lima Towanui toghukuno  lima Maimpae towaanui lima sampe nomongkilo? Ane nocidhingkumo, kolie katokinda. Kawanuie maghimba limamiu kapakeisie sabo. Kolie kaghuncu talikuno maskere. Tampisano ilu Bakteri iaana nokoana-ana i lalono maskere ane topakee nomelengo pali. Kakabhiemo maskeremiu ane nojahanamo. Kolie kapake maskere nakolabhimo aalo. Kapake kasidhuno pikughi Ana/ ungkaka  Ama Ina Kapake handu amia-amia Kolie kapikabhawaaso kamaa, maataa, tonde, mai handu. Cia cumooli cughumuncu hulamu cupakeisie sikumu.. sobaepo. Ane namimbali, cukamambe atawa cukahomompo bhobha kapakeiisie siku atawa bhobhose. I kaana Kamina i kaghamaea Mina ciapo cukamaa Pikaneaisiie wanuie limamu kapakeisie sabo Pupusiano Sabo Kajaganie kamantaha- (miu kalian’)! Kajaganie kamantaha- (miu kalian’)! Sabo Kabacae kopomba agaano dhoghi i wawo ""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020) ""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan 25, 2020) ""How to avoid the coronavirus? Wash your hands"", by Elizabeth Rosenthal, in the New York Times, Opinion (Jan 28, 2020) Kapoomba Dhiaaso Tamantahaaso: Keterangan tambahan: Tindakan pencegahan dalam bentuk komik ini sangat efektif untuk mencegah penularan penyakit umum lainnya, seperti flu dan pilek, dan harus diterapkan dalam kehidupan sehari-hari, bahkan ketika tidak ada wabah. Referensi: lnformasi dalam komik ini dibuat berdasarkan pemahaman COVID-19 hingga 28 Februari 2020, dan sebagian besar diambil dari tiga referensi ini. https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips. htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/   https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Informasi Tambahan Komik dalam bentuk PDF dapat diunduh di sini:  https://gumroad.com/weimankowart Pedoman Menyebarkan Komik Komik ini dapat dibagikan secara gratis melalui media daring, atau melalui Whatsapp dan Telegram, dan dapat diunduh secara gratis untuk dicetak dalam bentuk poster untuk penggunaan pribadi atau sebagai materi edukasi di rumah, sekolah, dan tempat kerja.. Saat membagikan komik ini, ingat 3 hal berikut:  1) Dilarang mengedit gambar komik yang akan dibagikan.  2) Komik ini tidak dapat diperjualbelikan.  3) Jika dibagikan di media sosial FB, cantumkan kredit pengarang dengan menyebut @weimankowart, di IG dengan menyebut @weimankow (IG), atau mencantumkan tautan ke instagram.com/weimankow  Untuk penggunaan lainnya, silakan hubungi: comicsforgood@gmail.com O Leleno Virusu Korona        ","About Coronavirus                                                                                      About Coronavirus  Diterjemahkan dalam Bahasa Ciacia oleh La Yani Konisi Versi bahasa Inggris dibuat oleh Paul Frank (www. sil-lead.org), versi Bahasa Indonesia oleh Nazra Lutfiana (Unicef Indonesia), Penerjemahan dalam beberapa bahasa daerah : www.suluh.org Created by Weiman Kow, instagram: weimankow    "
