,spa,eng
0,Mario y el coronavirus,
1,,
2,Lorenzo Valladares Nivel de Educación Primaria Nivel de lectura 2A,
3,,Nivel de lectura 2A Nivel de Educación Primaria: Segundo grado Lecturas cortas Características:  • oraciones simples • máximo 6 palabras por oración • 3 oraciones en cada página con ilustración (hasta 18 palabras) • 6 oraciones en cada página sin ilustración (hasta 36 palabras) • hasta 1 párrafo por página  • 1 ilustración por cada 2 páginas • 14 páginas por libro
5,,"Imágenes por Imagenes de USAID Guatemala, © 2018 USAID Guatemala. CC BY 4.0."
9,978-9929-780-44-6,978-9929-780-44-6
10,¡Hola! Soy Mario y tengo ocho años. Estoy en segundo grado de primaria.,
11,La escuela es mi segunda casa. Me levanto temprano para desayunar. Siempre llego puntual. Asisto todos los días. ,
12,Soy reponsable  en mis trabajos. Por eso mis compañeros me admiran. Me encanta estudiar. ,
13,Las escuelas cerraron por el coronavirus. Es una enfermedad muy contagiosa. Todos tienen miedo de contagiarse.    ,
14,Tenemos que cuidarnos de la enfermedad. Debo quedarme en casa.  Así lo dijo mi maestro. ,
15,Practico las medidas de prevención.  Constantemente lavo mis manos.  No salgo de mi casa.  No visito a familiares. ,
16,Mi maestro llama a mi papá. Él pregunta por mi salud.  Se preocupa mucho por mí.,
17,Él entrega a papá mis tareas.  Llama para resolver mis dudas. Me motiva a leer y  estudiar.      ,
18,Extraño mucho a mi maestro. Ya quiero ir a la escuela.  Quiero jugar con mis compañeros. ,
19,Todas las noches sueño la escuela. Mis padres me quieren mucho. Se preocupan por mi salud.  ,
20,"Diariamente mis padres me preguntan. ¿Cómo estás Mario? Estoy bien, respondo. Son felices conmigo.",
21,"Ellos me piden paciencia. ""Estamos para apoyarte siempre"".  ""Regresarás con más seguridad"". ""Pronto verás a tus amigos"". ",
22,Mi papá es muy inteligente. Siempre dice una frase. “Es mejor prevenir que lamentar”. ,
23,"Me cuido con mi familia. Juntos saldremos adelante. ""Quédate en casa""",
24,Compruebe su comprensión,
25,¿Cómo se llama el niño de la historia? ,
26,Mario,
27,Pedro,
28,Juan,
29,,
33,¿Cuántos años tiene Mario? ,
34,Nueve,
35,Ocho,
36,Cinco,
41,¿Por qué cerraron las escuelas? ,
42,Por el coronavirus,
43,Por la lluvia,
44,Por el calor,
50,"Mario y el coronavirus  Lorenzo Valladares Nivel de Educación Primaria Nivel de lectura 2A  Mario y el coronavirus     978-9929-780-44-6 ¡Hola! Soy Mario y tengo ocho años. Estoy en segundo grado de primaria. La escuela es mi segunda casa. Me levanto temprano para desayunar. Siempre llego puntual. Asisto todos los días.  Soy reponsable  en mis trabajos. Por eso mis compañeros me admiran. Me encanta estudiar.  Las escuelas cerraron por el coronavirus. Es una enfermedad muy contagiosa. Todos tienen miedo de contagiarse.     Tenemos que cuidarnos de la enfermedad. Debo quedarme en casa.  Así lo dijo mi maestro.  Practico las medidas de prevención.  Constantemente lavo mis manos.  No salgo de mi casa.  No visito a familiares.  Mi maestro llama a mi papá. Él pregunta por mi salud.  Se preocupa mucho por mí. Él entrega a papá mis tareas.  Llama para resolver mis dudas. Me motiva a leer y  estudiar.       Extraño mucho a mi maestro. Ya quiero ir a la escuela.  Quiero jugar con mis compañeros.  Todas las noches sueño la escuela. Mis padres me quieren mucho. Se preocupan por mi salud.   Diariamente mis padres me preguntan. ¿Cómo estás Mario? Estoy bien, respondo. Son felices conmigo. Ellos me piden paciencia. ""Estamos para apoyarte siempre"".  ""Regresarás con más seguridad"". ""Pronto verás a tus amigos"".  Mi papá es muy inteligente. Siempre dice una frase. “Es mejor prevenir que lamentar”.  Me cuido con mi familia. Juntos saldremos adelante. ""Quédate en casa"" Compruebe su comprensión ¿Cómo se llama el niño de la historia?  Mario Pedro Juan    Compruebe su comprensión ¿Cuántos años tiene Mario?  Nueve Ocho Cinco    Compruebe su comprensión ¿Por qué cerraron las escuelas?  Por el coronavirus Por la lluvia Por el calor     ","   Nivel de lectura 2A Nivel de Educación Primaria: Segundo grado Lecturas cortas Características:  • oraciones simples • máximo 6 palabras por oración • 3 oraciones en cada página con ilustración (hasta 18 palabras) • 6 oraciones en cada página sin ilustración (hasta 36 palabras) • hasta 1 párrafo por página  • 1 ilustración por cada 2 páginas • 14 páginas por libro  Imágenes por Imagenes de USAID Guatemala, © 2018 USAID Guatemala. CC BY 4.0.    978-9929-780-44-6                                        "
