,lts,wew,eng,ind
0,Olumbe lwa Korona,Karodukka Korona,About Coronavirus,Tentang Virus Corona
1,,,,
3,,,,
4,,Kata pa ate ngge ne karodukka Korona a dala mbolo tana ,,
6,,Nganda dana ,,
7,,Korru dana ,,
8,,Mata dana,,
9,,Na tama we ,,
10,,Ata a ella na ,,
11,,Ata a karodukka ,,
12,,Ne Korona patekki na lede ngge ngawuta/we’e pani’i,,
13,,Marro ni. Engnga manno mi wali mapesikka na we’e pani’i na roppa marrona ,,
14,,1,,
15,,"2m-0,5m",,
16,,Diora!!!,,
17,,"Bai eta ko ata a tengge, a karorroka korru na, a ngangnga:",,
18,,"Ka tengge waYandi pakaboro wai nganda (kamba). Ka tengge wa’i mono kadiora wa’i kamba dana, ka ndana dikki ka mbarra ata eka. ",,
19,,2,,
20,,Malangi na ,,
21,,BAKA ,,
22,,"Ndana karodukka ki, taka na dadara wekki douna. ",,
23,,Na ata a karodukka dapa eta ki tanda-tanda na. takka enga dikki na we ne karodukka na. ,,
24,,Marro ge pakuwa na ata mangeda. Ndai pandeki ba garra ni a karodukka. ,,
25,,Panga’a wai ,,
27,,Oto deta ,,
28,,Knop lift ,,
29,,Kamba ,,
30,,Koba deta ,,
31,,Hp baka laptop ,,
32,,Ne mbali na kamba pa kaboro wai ngada ,,
33,,Nauta deta ,,
34,,maus ,,
35,,Kalaki tulis deta ,,
36,,Kalaki binna deta ,,
37,,Limma deta na ,,
38,,Ne we’e pani’i ata karodukka na kadakka wa’i ngge : ,,
39,,na ma pande we bai karodukka kua wu mi.,,
40,,todo we wekki na ata pamanawarra mi ,,
41,,kose wi mata ,,
42,,"Ba ndai wunnu du bai tondo wi hidda pa tekki nena, monno torro dou ngge tou mi, ",,
43,,"Nyawe ka enga ngge bai pacete ngge bai pario waidi sabo, wai na we’e a kokora. ",,
44,,"Ne korona, na dukki ia gedde ia loddo bana ndangngi we ne’e pa kadakka wa’i na. ",,
45,,Sabo,,
47,,Na louka padua powe bai gobba mema ngge toma ndana dukki po we ne karroduka. ,,
48,,Pario wi limma waina sabo dukki barra kasi’u,,
50,,Kasi’u ,,
51,,"Ndau tondo ka ne mata mu (monno mata ata eka). Ka hinna we ba lummu ko, pario wai belli ndi sabo limmamu. ",,
53,,Kambu ku’u ,,
54,,Nda na mado’i madangngi ki we ,,
55,,Kadanga limma ,,
56,,Pario wi bendo limma ,,
57,,Peina pata pario limma a zingira? ,,
58,,"Ba na zoputa ko we ba torro ngge, letto pario wi limma wai na sabo. ",,
59,,Nda tondo ka we mbali wa’i na we kamboro ngada. ,,
60,,We’e pani’i ,,
61,,Ne karodduka na tollu wa’i ngge kamboro ngada dana bana mado’i kowe ba waingge. ,,
62,, Leto ngge kamboro nganda ba ndana zingira ba do we. Dai waika ngge kamboro nganda dukki a duada loddo na (Wai ngge kamboro nganda ia loddo ki do na we)! ,,
63,,Wai na tako tondo,,
64,,Lakawa,,
65,,Pa ama ,,
66,,Pa inna ,,
67,,Wai dou na kamba opi ,,
68,,"Nda paddo ka na panga’a, panga’a wai monno kamba opi. ",,
69,,"Dana ma pande ki we bau todo we mata mu, bou waini kasi’u dou mu. Nungnga amo. ",,
70,,"Pata (4). Wukke mono todi binna wai na kasi’u maka ba lako ko, bana ma pande do we. ",,
71,,UMMA,,
72,,Lengnga pa wali nggyounga ,,
73,,Toma inda nga’a po ,,
74,,Pario wai paduu ndi limma mu waina sabo…. ,,
75,,Kadukka na ,,
77,,Ndangga we tou mu! ,,
78,,Ndangga we tou mu!,,
81,,"""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)",,
82,,"""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan25, 2020)",,
83,,"""How to avoid the coronavirus? Wash your hands"", Elizabeth Rosenthal, in New York Times, Opinion. (Jan 28, 2020)",,
84,,"Kana lua kyangge pa pande da tutuna ne karodukka, wa’i ndi pa tanda buku dana:",,
