,spa,shn,eng
0,Sobre el Coronavirus,လွင်ႈမႅင်း ယေႃးၵႃႇ ၵူဝ်ႇရူဝ်ႇၼႃႇ,About Coronavirus
1,,,
3,,,
4,,  မႅင်းယေႃးၵႃႇ ၵူဝ်ႇဝိတ့် ၼႆ့  ပဵၼ်မႅင်းၸိူဝ့်ၼင်ႇႁိုဝ်? ,
5,,မေႃၸပ်း မေႃၽႄႈၵႂႃႇၸိူင့်ႁိုဝ်?,
6,,    သူပ်း ,
7,,    ႁူးလင်,
8,,    တႃ ,
9,,ၸၢင်ႈၶဝ်ႈၼႂ်းတူဝ်ႁဝ်းၶႃႈ ၸိူဝ့်ၼႆ။ ,
10,,ၵေႃႉဢၼ်ယူႇ လီယူႇ,
11,, ၵေႃႉဢၼ်မီး ယေႃးၵႃႇ ,
12,, ပေႃးၼမ့်ပဵၼ်မိၵ်းၸိူဝ်းၼႆ့ တူၵ်းၵႂႃႇၸိူင်? မၼ်းၸၢင်ႈၽႄႈၵႂႃႇဢေႃႈ။ ,
13,,ပေႃးယူႇယၢၼ်ၵၼ် ႁူၵ်းပေႇၼႆ့ လႆႈဝၢင်းၸႂ်။ မႅင်း ဢမ်ႇၸၢင်ႈၸပ်း။ ,
14,,1,
15,,ႁူၵ်း ပေႇ  ,
16,,ႁတ်းၶျူဝ်း!,
17,,  ၵွပ်ႈၼႆ ပေႃးမီးၵူၼ်း ပဵၼ်ဝပ်း၊ ၶီႈၸမ်ႈ၊ ၵူၼ်းၼၢဝ်ၸိူင် ႁဝ်းၶႃႈလူဝ်ႇ   ႁဵတ်းၸိူင့်ၼႆ။ ,
18,, ဢဝ် ၽႃႈႁႄ့သူပ်း ပၼ်ၶဝ် ပေႃးႁႄ့သူပ်းဝႆ့ၼႆ့ ပိၵ့်သမ့်မၼ်းဢႆသေၵေႃႈ ဢမ်ႇၸၢင်ႈၸပ်းၵူၼ်းႁိမ်းႁွမ်း။,
19,,2,
20,,ၸူမ်းၶႃႈ ( ၵေႃႉၶီႈၸမ်ႈ) ,
21,, ဢမ်ႇၼၼ် ,
22,,မင်ၵေႃ့ ဢမ်ႇႁၼ်ၼဝ်ဢမ်ႇႁၼ်ပဵၼ်သင်။ မၼ်းဢမ်ႇၶႂ်ႈႁႂ်ႈပိူၼ်ႈႁူႉၵေႃႈ ပဵၼ်လႆႈယူႇ။,
23,, မင်ၵေႃ့ ၸပ်းယေႃးၵႃႇယဝ့် သေၵေႃႈဢမ်ႇၸၢင်ႈႁၼ် လၵ်ႈၶၼႃႇမၼ်းၵေႃႈ ၸၢင်ႈၶႄးမီး။ ပေႃးၸိူင့်ၼၼ် ၸၢင်ႈၸပ်းပိူၼ်ႈ,
24,, ၽႂ်မီးယေႃးၵႃႇ ၵွပ်ႈပိူဝ်ႈဢမ်ႇႁူႉလႆႈလႄႈ လူဝ်ႇဝႄႈတီႈ ၵူၼ်းၼမ်ၵူၼ်းၸုတုမ်ၵၼ်။,
25,,    ထူႇ ,
26,,ၵေႃ့ဢၼ်ယူႇလီ,
27,,တီႈယိပ်းလူတ့်၊ၵႃး ,
28,,တီႈပိုတ်ႇၽၢႆး,
29,, ၸေႈ တိတ့်သျူး ,
30,,      ၵွၵ်းၼမ့်  ,
31,,ၶိူင်ႈၸၢၵ်ႈ,
32,, တၢင်းၼွၵ်ႈ ၽႃႈႁႄ့သူပ်း ,
33,,သိၵ်ႈ ၶိုၼ်ႈလၢႆ  ,
