,fra,nza,eng
0,Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19,"BYE À KE MBƆ̀ À DÙKPƐTE DƆ BWƐMI AKUKUHÙŊ, ÀMƆMU COVID-19",What you need to know about the CORONAVIRUS or COVID-19
1,,,
2,,Cameroon Association for Bible Translation and Literacy,Cameroon Association for Bible Translation and Literacy
5,,,The information in this booklet is taken from the World Health Organization (WHO) website. https://www.who.int/home
8,,,"All pictures belong to CABTAL, except p.2 belongs to Pixabay p.6 (butcher) and p.7 (crowd) belong to Wikimedia Commons p.7 (people watching TV) belongs to United Nations (Photo # 616869 UN Photo/Marco Dormino)  CABTAL Contacts  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  P.O. Box: 16 550 Yaoundé, Cameroon"
10,,,
11,                                                  SOMMAIRE,                       FƆ̀ GBÒKO ,                    SUMMARY
12,- Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles,- Dɔ bwɛmi akuku - Wa  dɔ atehùŋ yibe è gbɛhɛ - Bye è yi maŋa dɔ atehùŋ - Pe dɔ atehùŋ yi kpapuhùŋ - Pe ngru yibe e vekɛ drigeyi - Yi ngɛɛ ayibe a tɔ ebɔ a fyegbα dɔhuŋ? ,- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words 
16,p.2 p.3 p.4 p.5 p.6 p.7 p.8,p.2 p.3 p.4 p.5 p.6 p.8 ,p.2 p.3 p.4 p.5 p.6 p.7   p.8
17,"Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue.","Dɔ bwɛmi akuku   Dɔ bwɛmi akuku manda wo zre lɛ COVID-19, e ma dɔ epokwere. Dɔ atehùŋ ya chayo jɛ wa Chanayi zhyo 2019.E ma be dɔ ŋwαchi abebe yi. E yibe è gbα ngru be è lè mayi kpɔ ngru ke toto ebɔ.E ma dɔ abebe a kpapu kase temɔ bya hɛyi mbri ŋɛ myaŋɛ. Wa ya kab̀ɛte bre dɔ atehùŋ ju yi mu.","Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known."
20,Personne âgée,Wa amɛ̀mɛ̀ wo wa ,Elderly person
