,ulm,eng
0,Penngissangngiqi naia nioaang Virus Corona,About Coronavirus
1,,
3,,
4,Mesade de neiq pepahangngi umba noa caranan virus corona mellele. ,
6,Sua,
7,Pudung,
8,Mata,
9,Mettama laling,
10,To magassing,
11,To masaki,
12,Indediq virus mellele moaq diang to tibarassi,
13,"Dako sikadukku beka pano tau. Moaq meloq tau amang Annaq uqde tau naroa elunna pano sola muaq tibarassi, dako sikdukku beka pano, allaqi sudangmmeteq.",
14,1,
15,"2m - 0,5m",
16,Haaachii!!,
17,"Aka deneiq namu babe muaq mangita tau to seqdeng, to tibarassi:",
18,BENGNGI PANO MASKER. Jari mala kasiq tibarassi/Seqdeng laling di maskerna annaq malai mappasalamaq rupa tau.,
19,2,
20,Tarima kasih “SROOT”,
21,Mala tobande,
22,Uqde kapang masaski/mapiqdi indo tau. Napaparoa kalettuneiq kalaena annaq uqde naroa indeqe piqdiq.,
23,"Akaq indo to naleleimi inde piqdiq, uqde leqbaq tiqi nadiang nita pano makkuallaq-allaq dibatang kalaena. Aka deneiq memmanya-manya tau akaq indo pano tonaleleimi inde piqdi, mala toi neiq mambahaang piqdi pano rupa tau.  ",
24,"Aka deneiq, dako pano di tomaroaq, akaq uqdemi muissang mennami inde pano pesalasaohongang mamanya kasiq masaki/mapiqdiq.",
25,Andeang,
26,To Magassing,
27,Pettuqgalanganna kereta,
28,Pepesseqna lif,
29,Palluqluq/ Tissu,
30,Kaca/gallas,
31,Pareba digital,
32,Annaq disulihanna masker,
33,Pettuqgalangan endeq,
34,Mos,
35,Polopeng,
36,Ahona baqba,
37,Tajena,
38,"Moa umba noa, akaq mala toi elunna sola mendekkeq pano ...",
39,Namasaki/namapiqdiq nasakkoaq,
40,"Anna rupanna pano rupa tau to musikadukkuang,",
41,Mupojoqi matammu,
42,"Muaq uqde mutumbanga mangatti indo pano barang-barang, annaq muatti bumi rupammu kalaemu.",
43,"Mesa kale deneiq mala nipogau annaq mala malai indeq pidiq, anna mala mate inde pambaha piqdi. akami indoqo, nibasei annaq nisabungngi, mala toi nipake indo pano anu mala mepamapute, annaq alkohol.",
44,Indediq piqdiq nakulle tuho pano dinahang sambengi sangallo (24 jam) pano diahona barang-barang.,
45,Sabung,
46,aka nipogauq annaq malai malai inde piqdiq.,
