,mya,ahk,shn,eng
0,Covid-19ကို ရှောင်ရှားခြင်း , Covid-19ကို ရှောင်ရှားခြင်း,ဝႄႈပိူင်ႈ ၵူဝ်ႇဝိၵ့်-19,
1,,,,
5,,,,Illustrations:  Ari and Elaine Vitikainen   Information was taken from WHO websites such as https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public  Version 27.3.2020
6,,,,Literacy for Women in Africa
7,,,,"Translator Myint Myint Phyu, Illustrator Ai Yawn Kap"
11,,,,သႆႇသပ်းပျႃႇ သုၵ်ႈမိုဝ်း ၵူႈပွၵ်ႈ။ (ဢမ်ႇၼၼ်)ၸႂ်ႇၼမ့်ယႃႇၸဵတ့်မိုဝ်း ဢၼ်ပႃးၵေႃႇႁေႃးသေ လုပ်ႈမိုဝ်းႁႂ်ႈမူတ်းမူတ်း။
12,,မျက်စိ၊ နှာခေါင်းနှင့် ပါးစပ်ကို မထိပါနှင့်။,ယႃႇပေတိူဝ့် တႃ၊ ႁူးလင်၊ သူပ်း လႃးလႃး။,"Avoid touching eyes, nose and mouth. "
13,,နှာချေ၊ ချောင်းဆိုးတဲ့အခါ သင့်နှာခေါင်းနဲ့ ပါးစပ်ကို တံတောင်ဆစ် (သို့) တစ်ရှူးနဲ့အုပ်ထားပါ။ ပြီးလျှင် ယင်းတစ်ရှူးကို ချက်ချင်းအမှိုက်ပုံးထဲ ထည့်ပါ။,မိူဝ်ႈပဵၼ်ဝတ်း၊ မိူဝ်ႈဢႆ ဢဝ်ငွၵ်းသွၵ်ႇႁူမ်ၶူးလင် ႁူမ်သူပ်းဝႆ့၊ ဢမ်ႇၼၼ် ဢဝ်ၸေႈတိတ်းသျူး ႁူမ်ဝႆ့။ ပေႃးယဝ့် ပႅတ်ႈတိတ့်သျူး ၼႂ်းသွင်းယုၵ်းယၵ်းလီလီ။ ,Cover your mouth and nose with your bent elbow or tissue when you cough or sneeze. Dispose  the used tissue immediately.   
14,,လူတစ်ယောက်နဲ့တစ်ယောက် အနည်းဆုံး ၂မီတာအကွာတွင် နေပါ။,လူဝ်ႇယူႇယၢၼ်ၵၼ် တီႈၵႄႇၵႄႇမၼ်း 2 မီႇတႃႇ။ ,Maintain 2 meters distance between yourself and others.  
15,,နေမကောင်းဖြစ်လျှင် အိမ်တွင်နေပါ။ ချောင်းဆိုးခြင်း၊ အသက်ရှူရခက်ခြင်းနှင့် အဖျားရှိနေပါက နီးစပ်ရာ ဆေးရုံ ဆေးခန်းသို့ အမြန်ဆုံး သွားရောက် ပြသပါ။ ,ပေႃးဢမ်ႇယူႇလီ ယႃႇပေၵႂႃႇတၢင်းၼွၵ်ႈ။ ပေႃးဢႆႇ၊ ထူၺ်ႈၸႂ်ယပ်ႇ၊ ပေႃးၼဝ်ၼႆ လူဝ်ႇၵႂႃႇၼႄ ႁူင်းယႃ ဝၢႆးဝၢႆး။,"Stay home if you feel unwell. If you have fever, cough and difficulty breathing, seek medical attention early.  "
16,,COVID-19 နှင့်ပတ်သက်၍ နောက်ဆုံးရသတင်း အချက်အလက်များကို ရယူပါ။ ကျန်းမာရေးဝန်ကြီးဌာနမှ အခါအားလျော်စွာထုတ်ပြန်ထားသည့် အကြံပြုချက်များကို ကောင်းစွာ လိုက်နာပါ။,လူဝ်ထွမ်ႇတူၺ်း ၶၢဝ်ႇသတၢင်း လွင်ႈယေႃးၵႃႇ ၵူဝ်ႇဝိၵ့်-19  သေႇသေႇ။  ႁဵတ်းၸွမ်းတၢင်းၵျၢမ်ႇ ထႃႇၼႇၽၢႆႇယူလီၶဝ် မေႃယႃၶဝ် လၢတ်ႈဝႆ့ႉၸိူဝ့်ၼၼ့် သေၵမ်းၶႃႈ၊,Stay informed on the latest developments about COVID-19. Follow advice given by your healthcare provider.  
