,spa,csn
0,Información sobre las vacunas contra el COVID-19,
1,,
5,,"Lengua de Señas Colombiana : Sebastian Nuñez Filmacion : Luis Forero y Kelly Rojas Edición: Sebastian Nuñez Ilustradora y subtitulación : Lisseth Amaya Asesora técnica: Sonia Shannon, SIL GSLT"
6,,Agradecemos a los generosos donantes que hicieron posible este proyecto.
10,El sistema inmunológico es la defensa del organismo contra las infecciones.,
11,¿Por qué es importante la vacuna contra el COVID-19?,
12,Las vacunas contra el COVID-19 se usan para fortalecer el sistema inmunológico y proteger contra esta enfermedad.,
13, ¿Cuántas dosis necesitará?,
14,Dos dosis: si recibe una vacuna contra el COVID-19 que requiere la administración de dos dosis. Pfizer-BioNTech y Sinovac.,
15,Una dosis: si recibe una vacuna contra el COVID-19 que requiere la administración de una dosis. Janssen de Johnson & Johnson.,
16,¿Cuáles son los posibles efectos secundarios comunes?,
17,"En el brazo donde recibió la vacuna inyectable: el paciente tiene dolor, enrojecimiento e hinchazón.",
18,"En el resto del cuerpo: cansancio, dolor de muscular, náuseas, dolor de cabeza, escalofríos y fiebre.",
19,¿Cuánto tiempo debe esperar después de vacunado?,
20,"Debe esperar 30 minutos antes de irse, para que evalúen que todo está bien.",
21,¿Proporcionarán las vacunas contra el COVID-19 protección a largo plazo?,
22," Hay que seguir investigando para responder a esta pregunta. Sin embargo, hay datos alentadores que indican que la mayoría de las personas que se recuperan de la enfermedad adquieren una inmunidad que protege contra una nueva infección, al menos durante un cierto tiempo, si bien aún se está determinando en qué grado y con qué duración.",
23,CONSEJOS ,
24,"Una vez que haya recibido la vacuna completa contra el COVID-19, deberá seguir tomando precauciones en lugares públicos o cuando esté con personas no vacunadas que son miembros de más de un hogar.",
25,Guarde su tarjeta de vacunación en caso de que la necesite en el futuro. Considere tomar una fotografía de su tarjeta de vacunación luego de su segunda cita de vacunación como copia de respaldo.,
28,"Información sobre las vacunas contra el COVID-19    Información sobre las vacunas contra el COVID-19      El sistema inmunológico es la defensa del organismo contra las infecciones. ¿Por qué es importante la vacuna contra el COVID-19? Las vacunas contra el COVID-19 se usan para fortalecer el sistema inmunológico y proteger contra esta enfermedad.  ¿Cuántas dosis necesitará? Dos dosis: si recibe una vacuna contra el COVID-19 que requiere la administración de dos dosis. Pfizer-BioNTech y Sinovac. Una dosis: si recibe una vacuna contra el COVID-19 que requiere la administración de una dosis. Janssen de Johnson & Johnson. ¿Cuáles son los posibles efectos secundarios comunes? En el brazo donde recibió la vacuna inyectable: el paciente tiene dolor, enrojecimiento e hinchazón. En el resto del cuerpo: cansancio, dolor de muscular, náuseas, dolor de cabeza, escalofríos y fiebre. ¿Cuánto tiempo debe esperar después de vacunado? Debe esperar 30 minutos antes de irse, para que evalúen que todo está bien. ¿Proporcionarán las vacunas contra el COVID-19 protección a largo plazo?  Hay que seguir investigando para responder a esta pregunta. Sin embargo, hay datos alentadores que indican que la mayoría de las personas que se recuperan de la enfermedad adquieren una inmunidad que protege contra una nueva infección, al menos durante un cierto tiempo, si bien aún se está determinando en qué grado y con qué duración. CONSEJOS  Una vez que haya recibido la vacuna completa contra el COVID-19, deberá seguir tomando precauciones en lugares públicos o cuando esté con personas no vacunadas que son miembros de más de un hogar. Guarde su tarjeta de vacunación en caso de que la necesite en el futuro. Considere tomar una fotografía de su tarjeta de vacunación luego de su segunda cita de vacunación como copia de respaldo.  ","     Lengua de Señas Colombiana : Sebastian Nuñez Filmacion : Luis Forero y Kelly Rojas Edición: Sebastian Nuñez Ilustradora y subtitulación : Lisseth Amaya Asesora técnica: Sonia Shannon, SIL GSLT Agradecemos a los generosos donantes que hicieron posible este proyecto.                     "
