mnw,mya,eng
ဒလေတ်ပါဲယဲကဝ်ရဝ်နာ,ကိုရိုနာကို ရှောင်ပါ,Avoid Covid-19
,,
မာံရတန ကၠာဲစၠောံလဝ်ဘာသာမန်ရောၚ်။,,
,Mehm Rattna,
,Illustrations:  Ari and Elaine Vitikainen   Information was taken from WHO websites such as https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public  Version 27.3.2020,
,Literacy for Women in Africa,
,,"Wash your hands regularly with soap and water, or clean them with alcohol-based hand rub.  "
လ္ပရပ်ဝေၚ် မတ်၊ မုဟ်၊ ကေုာံ ပါၚ် တအ်ညိ။,,"Avoid touching eyes, nose and mouth. "
အခိၚ်ကာလ ခ္ဍက် (ဝါ) ထအှ်မ္ဂး ဂြောပ်ကၟာတ် မုဟ်ကေုာံပါၚ် မၞး နကဵုပ္ၚံက်တၚ်တဲ (ဝါ) ယာတ်တေသ်ရှူညိ။ ယာတ်တေသ်ရှူ မရပ်စကာလဝ်တုဲဂှ် ဗိုတ်ကၠဟ်စုတ်အပ္ဍဲနခၟိက် ဗွဲမပြဟ်ညိ။,,Cover your mouth and nose with your bent elbow or tissue when you cough or sneeze. Dispose  the used tissue immediately.   
အကြာမၞး ကေုာံ ညးတၞဟ် မံၚ်သ္ၚောဲဗၞတ် ၂ မဳတာ ညိ။,,Maintain 2 meters distance between yourself and others.  
ယဝ်ရ မၞးမံၚ်ဟွံမိပ်မ္ဂး ဇူဒၟံၚ်အပ္ဍဲသ္ၚိညိ။ ယဝ်မၞး ဂမ္တူတိုန်၊ ခ္ဍက်၊ ကေုာံ ယီုဝါတ် (ယီုဂြေက်) ဒှ်ကၠုၚ်မ္ဂး အာစမ်ၜတ်စၟဳယဲ ဗွဲမပြဟ်ညိ။,,"Stay home if you feel unwell. If you have fever, cough and difficulty breathing, seek medical attention early.  "
မၚ်ကလၚ်မံၚ်ပရိုၚ် စပ်ကဵုအကာဲအရာ ပရူရာယဲကဝ်ရဝ်နာညိ။ ဒ္ဂေတ်ဗက်အတိုၚ် ကသပ်လညာတ် ညးမၚ်မွဲလွဳလွတ်ဇကု (အ္စာသဝ်ဝန်)ညိ။,,Stay informed on the latest developments about COVID-19. Follow advice given by your healthcare provider.  
,"ညးကၠာဲစၠောံဘာသာမန်  မာံရတန  (April 4, 2020)    ယဲဘဲအန္တရာဲကဵုလာဲလေၚ်တုဲ  ကဵုဂွံဒှ် တသိုက်စိုတ်ကာယလၟိုန်ညိ  ",
ဒလေတ်ပါဲယဲကဝ်ရဝ်နာ  မာံရတန ကၠာဲစၠောံလဝ်ဘာသာမန်ရောၚ်။    ဒလေတ်ပါဲယဲကဝ်ရဝ်နာ    လ္ပရပ်ဝေၚ် မတ်၊ မုဟ်၊ ကေုာံ ပါၚ် တအ်ညိ။ အခိၚ်ကာလ ခ္ဍက် (ဝါ) ထအှ်မ္ဂး ဂြောပ်ကၟာတ် မုဟ်ကေုာံပါၚ် မၞး နကဵုပ္ၚံက်တၚ်တဲ (ဝါ) ယာတ်တေသ်ရှူညိ။ ယာတ်တေသ်ရှူ မရပ်စကာလဝ်တုဲဂှ် ဗိုတ်ကၠဟ်စုတ်အပ္ဍဲနခၟိက် ဗွဲမပြဟ်ညိ။ အကြာမၞး ကေုာံ ညးတၞဟ် မံၚ်သ္ၚောဲဗၞတ် ၂ မဳတာ ညိ။ ယဝ်ရ မၞးမံၚ်ဟွံမိပ်မ္ဂး ဇူဒၟံၚ်အပ္ဍဲသ္ၚိညိ။ ယဝ်မၞး ဂမ္တူတိုန်၊ ခ္ဍက်၊ ကေုာံ ယီုဝါတ် (ယီုဂြေက်) ဒှ်ကၠုၚ်မ္ဂး အာစမ်ၜတ်စၟဳယဲ ဗွဲမပြဟ်ညိ။ မၚ်ကလၚ်မံၚ်ပရိုၚ် စပ်ကဵုအကာဲအရာ ပရူရာယဲကဝ်ရဝ်နာညိ။ ဒ္ဂေတ်ဗက်အတိုၚ် ကသပ်လညာတ် ညးမၚ်မွဲလွဳလွတ်ဇကု (အ္စာသဝ်ဝန်)ညိ။  ,"ကိုရိုနာကို ရှောင်ပါ   Mehm Rattna Mehm Rattna  ကိုရိုနာကို ရှောင်ပါ Illustrations:  Ari and Elaine Vitikainen   Information was taken from WHO websites such as https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public  Version 27.3.2020 Literacy for Women in Africa        ညးကၠာဲစၠောံဘာသာမန်  မာံရတန  (April 4, 2020)    ယဲဘဲအန္တရာဲကဵုလာဲလေၚ်တုဲ  ကဵုဂွံဒှ် တသိုက်စိုတ်ကာယလၟိုန်ညိ  ","Avoid Covid-19      Avoid Covid-19   Wash your hands regularly with soap and water, or clean them with alcohol-based hand rub.   Avoid touching eyes, nose and mouth.  Cover your mouth and nose with your bent elbow or tissue when you cough or sneeze. Dispose  the used tissue immediately.    Maintain 2 meters distance between yourself and others.   Stay home if you feel unwell. If you have fever, cough and difficulty breathing, seek medical attention early.   Stay informed on the latest developments about COVID-19. Follow advice given by your healthcare provider.    "
