,ban,eng
0,Indik Virus Corona,About Coronavirus
1,,
3,,
4,Wantah wenten asiki sane patut irage uningin indik sapunapi virus Corona,
5,NGLIMBAK,
6,Cangkem,
7,Irung,
8,Penyingakan,
9,ngeranjing ke tengah ,
10,Anak sane seger,
11,Anak sane sungkan,
12,Virus pacang nglimbak yening ketelan paes puniki,
13,Nyaga jarak.  Irage pacang aman saking ketelan paes yening nyaga jarak 2m.,
14,1,
15,"2m-0,5m",
16,Haaachii!!,
17,"Dadosne, yening manggihin anak kokoan/mebangkes/ sungkan, irage patut: ",
18,Icen ipun masker. Dadosne ipun praside mebangkes/kokoan ring maskerne mangda ngelindungin anak sane wenten ring sampingnyane.,
19,2,
20,Matur suksma “SROOT” ,
21,"Utawi,",
22,Minab ipun nenten sungkan. Ipun Wantah ngalindungin dewekne.,
23,"Sane sampun keni tular minab nenten nyinahang cirin-cirine, sekawale tetep praside nularang penyakitne.",
24,"Sampun ketah, pinih becik ejohin keramaian, seantukan irage nenten uning sire sane sungkan.",
25,Pengajengan,
27,Gegamelan kereta ,
28,Tombol lift,
29,Tisu,
30,gelas,
31,Piranti digital,
32,"Yadiapin, ring sisin masker",
33,Gegamelan undag,
34,Maus,
35,Pulpen ,
36,Gagang jelanan ,
37,Liman ipune,
38,"Diastun punika, paes anake sane sungkan pacang neket ring …..",
39,Ide dane sami janten sareng sungkan.,
40,utawi prerai semetone sane nampek,
41,Ngucek penyingakan,
42,"Yening irage nenten uning tur ngusud barang-barang punika, raris ngusud preraine,",
43,"permargi asiki sane pinih becik antuk ngilangang virus wantah ngumbah nganggen sabun, pemutih, utawi alkohol.",
44,"Virus praside tetep hidup ngantos 24 jam ring permukaan barang,",
45,Sabun,
46,pemargi nyegah grubug puniki.,
47,"Nike mawinan, pinih becik nyarengin",
48,Umbah nganggen sabun ngantos iriki.,
50,Siku tangan,
51,"Sampunang ngusud prarai (utawi prarai anak lianan). Yening wyakti kapatutang, wajikin dumun tangane kantos resik nganggen sabun.",
52,Sekadi nembangang “Selamat Ulang Tahun”  ping kalih,
53,Ring beten kuku,
54,Sawatara 20 detik,
55,Ring sela-sela jarine,
56,Umbah tundun tangane,
57,Punapi carane ngumbah tangan mangde ngantos kedas ?,
58,"Yening sampun ngusud, sampunang sangsaya. Gelisin umbah tangane nganggen sabun.",
59,Sampunang ngusud sisin masker.,
60,Ketelan paes,
61,Bakteri praside pacang manak pinak ring tengah masker yening sampun suwe keanggen.,
62,Rarisang kutang masker druene yening sampun menyi.,
63,Anggen sendok jukut,
64,Pianak,
65,Bapa,
66,Meme,
67,Anggen handuk soang-soang ,
68,"Sampunang  mepatung sareng-sareng ngajeng, nganggen peralatan ngajeng, gelas, lan handuk.",
69,"Irage nenten preside ngusud prarai nganggen siku druwene, tegarang. ",
70,"Sebisan-bisan, ampakan utawi ubetang jelananne ngangge siku utawi bahu.",
71,Ring jumahan,
72,Serauhe saking lelunganan ,
73,Sedurunge ngajeng,
74,Setata ngumbah tangan ngangge sabun ….,
75,"Pinih untad,",
76,sabun,
77,Ngiring jaga keresikan! ,
80,Wacen pitutur lianan saking artikel ring ungkur!,
81,"""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)",
82,"""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan25, 2020)",
83,"""How to avoid the coronavirus? Wash your hands"", Elizabeth Rosenthal, in New York Times, Opinion. (Jan 28, 2020)",
84,Sumber utama gatra medis:,
85,"Keterangan tambahan: Tindakan pencegahan dalam bentuk komik ini sangat efektif untuk mencegah penularan penyakit umum lainnya, seperti flu dan pilek, dan harus diterapkan dalam kehidupan sehari-hari, bahkan ketika tidak ada wabah.  Referensi: lnformasi dalam komik ini dibuat berdasarkan pemahaman COVID-19 hingga 28 Februari 2020, dan sebagian besar diambil dari tiga referensi ini.  https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/  https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Informasi Tambahan Komik dalam bentuk PDF dapat diunduh di sini: https://gumroad.com/weimankowart  Pedoman Menyebarkan Komik Komik ini dapat dibagikan secara gratis melalui media daring, atau melalui Whatsapp dan Telegram, dan dapat diunduh secara gratis untuk dicetak dalam bentuk poster untuk penggunaan pribadi atau sebagai materi edukasi di rumah, sekolah, dan tempat kerja..  Saat membagikan komik ini, ingat 3 hal berikut: 1) Dilarang mengedit gambar komik yang akan dibagikan. 2) Komik ini tidak dapat diperjualbelikan. 3) Jika dibagikan di media sosial FB, cantumkan kredit pengarang dengan menyebut @weimankowart, di IG dengan menyebut @weimankow (IG), atau mencantumkan tautan ke instagram.com/weimankow Untuk penggunaan lainnya, silakan hubungi: comicsforgood@gmail.com ",
88,,Diterjemahkan dalam Bahasa Bali oleh Ida Bagus Putra Yadnya 
89,,"Versi bahasa Inggris dibuat oleh Paul Frank (www. sil-lead.org), versi Bahasa Indonesia oleh Nazra Lutfiana (Unicef Indonesia), Penerjemahan dalam beberapa bahasa daerah : www.suluh.org"
90,,"Created by Weiman Kow, instagram: weimankow"
