,cuh,eng
0,Maũntũ marĩa ũbatiĩ kũmenya megiĩ mũrimo wa korona kana  COVID-19,What you need to know about the CORONAVIRUS or COVID-19
1,,
2,Kĩama kĩa gũtaũra kĩrĩkanĩro gĩa Kameruni,Cameroon Association for Bible Translation and Literacy
5,,"The information in this booklet is taken from the World Health Organization (WHO) website. https://www.who.int/home Images by CABTAL, © 2020 CABTAL. CC BY-NC-ND 4.0."
6,,Special thanks to Wycliffe U.S. Bible Translators for funding the translation of this book.
7,,Special thanks to Bible Translation & Literacy (E.A) and to Justus Mũgambi for translating this book. Special thanks to Betty Mũtegi and Kenford Mwĩti for reviewing and proofreading this book.
8,,"We acknowledge the original authors of this book, Cameroon Association for Bible Translators (CABTAL)."
11,,                    SUMMARY
12,,- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words 
16,,p.2 p.3 p.4 p.5 p.6 p.7   p.8
17,"Mũrimo wa korona kana COVID-19 nĩ mũrimo mwerũ. Mũrimo ũyũ wo-nekanire rita rĩa mbere nthĩ ya Caĩna tarĩki 31 Mweri wa Ĩkũmi na Ĩĩrĩ, 2019. Ndariri cia mũrimo ũyũ nĩ ta cia ncooma, na nwa ũrage antũ marĩa makanyagĩrĩrua mũno nĩ u. Mũrimo ũyũ nĩũtambĩtue nthĩ mĩngĩ mũno cia nthĩ ĩno. Kaumo ka mũrimo ũyũ gaticĩkene nkinya rĩu.","Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known."
20,Mũntũ mũkũrũ,Elderly person
22,Mũntũ ũrĩ na mũrimo wa nkoro,Person with a heart condition or disease
23,"Antũ marĩa marĩ ũgwatini Antũ ma mĩaka yonthe nwa magwatwe nĩ mũrimo ũyũ. Antũ akũrũ na marĩa marĩ na mĩrimo ĩngĩ ta beeba, mũrimo wa cukari, mũrimo wa nkoro na gũcamũka nthakame nwa mabotwe mũno nĩ mũrimo ũyũ.","Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus."
26,Kũgĩa mwanki mwĩrĩ na kũnoga,Fever Fatigue
28,Gũkorora makorora matĩkuuma,Dry cough Muscle aches and pains
29,"Ndariri cia Korona Ndariri cia mũrimo wa korona nĩ ta cia ncooma: Kũgĩa mwanki mwĩrĩ, gũkorora makorora matĩkuuma, gũtuurwa nkiba na kũnoga mwĩrĩ unthe. Arwaru mangĩ megucaga ũrũrũ mwĩrĩ, makabinganua manyiũrũ, magetũrũra mamira, makagĩa rwamba mĩmero kana makabarwa. Arwaru mangĩ namo gũtĩbu megucaga mwĩrĩ, wana wegua nĩarwaru. Antũ engĩ nĩmaboraga matĩkũbatara gũtiritwa nĩ ndagĩtarĩ.","Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment."
31,Mũntũ ũgũkorora,Person with a cough
32,"Bũrĩa mũrimo wa korona ũtambagua Mũrimo wa korona ũtambagua nĩ antũ marĩa arwaru mũrimo ũnu. Rĩrĩa mũntũ mũrwaru akorora kana atiiba, arutaga tũtanta na kanyua kana nyiũrũ. Rĩrĩa mũntũ ũngĩ abeeba tũtanta tũu, rĩu nĩrĩo agwatagwa nĩ mũrimo wa korona. Na rĩngĩ, mũntũ agwatagwa nĩ korona rĩrĩa abũrũria into irĩa irĩ na tũtanta tũrĩa tũrĩ na mũrimo akĩneambata metho, mũromo kana nyiũrũ.","Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected."
37,Kwĩrigĩrĩria korona,How to protect yourself
38,"1. Ũtĩkeambate nyiũrũ, metho kana kanyua.","1. Avoid touching eyes, nose, mouth."
40," 2. Thambaga njara maita mengĩ na rũncĩ na thamuni, ũkĩnegiria na gĩtambaa kĩtheru na kĩnyaru.",2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.
42,"3.  Rĩrĩa ũgũkorora kana gũtiiba, kũnja njara yaku ũkĩnakorora kana gũtiiba bo.",3. Cough and sneeze into the crook of your arm. 
44, 4. Ũtĩkarĩe nyama itĩnduge na ũtĩkambatangage nyamũ irĩ mwoo.,4. Avoid eating raw meat and touching live animals.
49,5. Ĩkara makinywa maĩrĩ baraca na mũntũ ũrĩa ũgũkorora kana ũgũtiiba.,5. Keep at least one meter away from a person who is cou- ghing or sneezing. 
51, 6. Tiga gũkethania na njara. Ĩgania nkeethi cia kanyua akĩ.,6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.
53, 7. Tiga kũthiĩ kĩrĩndĩni.,7. Avoid gatherings. 
55,8. Tigana na kũthiĩ rũgendo.,8. Restrict movement.
57,9. Ĩkaraga ũkĩthikagĩrĩria mageni megiĩ mũrimo ũyũ.,9. Keep informed and verify the source of information.
58,Ũbatiĩ kũrũtha atĩa ũgaca kũrwara? Wegua ũrĩ na ndariri cia mũrimo:    -Tiga kũthiĩ antũni    -Ĩkara wenka    -Ĩkara mũciĩ    -Ringa thimũ 719 na ũkĩnarũmĩrĩra mataaro ma ndagĩtarĩ.,What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:
60,,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979
62,,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761
64,"Nkinya riũ, gũtĩna ndawa ya kũboria mũrimo wa korona. Ĩndĩ athomi nwaka magũceria ndawa irĩa mbega cia kũrũa na mũrimo wa korona Wa mũntũ nwa nkinya emenyerere na amenyerere antũ marĩa marĩ bakubĩ nawe.","To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them."
65,,"Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed"
67,,"What you need to know about the CORONAVIRUS or COVID-19  © CABTAL, 2020 "
68,"Maũntũ marĩa ũbatiĩ kũmenya megiĩ mũrimo wa korona kana  COVID-19  Kĩama kĩa gũtaũra kĩrĩkanĩro gĩa Kameruni  Maũntũ marĩa ũbatiĩ kũmenya megiĩ mũrimo wa korona kana  COVID-19             Mũrimo wa korona kana COVID-19 nĩ mũrimo mwerũ. Mũrimo ũyũ wo-nekanire rita rĩa mbere nthĩ ya Caĩna tarĩki 31 Mweri wa Ĩkũmi na Ĩĩrĩ, 2019. Ndariri cia mũrimo ũyũ nĩ ta cia ncooma, na nwa ũrage antũ marĩa makanyagĩrĩrua mũno nĩ u. Mũrimo ũyũ nĩũtambĩtue nthĩ mĩngĩ mũno cia nthĩ ĩno. Kaumo ka mũrimo ũyũ gaticĩkene nkinya rĩu.   Mũntũ mũkũrũ  Mũntũ ũrĩ na mũrimo wa nkoro Antũ marĩa marĩ ũgwatini Antũ ma mĩaka yonthe nwa magwatwe nĩ mũrimo ũyũ. Antũ akũrũ na marĩa marĩ na mĩrimo ĩngĩ ta beeba, mũrimo wa cukari, mũrimo wa nkoro na gũcamũka nthakame nwa mabotwe mũno nĩ mũrimo ũyũ.   Kũgĩa mwanki mwĩrĩ na kũnoga  Gũkorora makorora matĩkuuma Ndariri cia Korona Ndariri cia mũrimo wa korona nĩ ta cia ncooma: Kũgĩa mwanki mwĩrĩ, gũkorora makorora matĩkuuma, gũtuurwa nkiba na kũnoga mwĩrĩ unthe. Arwaru mangĩ megucaga ũrũrũ mwĩrĩ, makabinganua manyiũrũ, magetũrũra mamira, makagĩa rwamba mĩmero kana makabarwa. Arwaru mangĩ namo gũtĩbu megucaga mwĩrĩ, wana wegua nĩarwaru. Antũ engĩ nĩmaboraga matĩkũbatara gũtiritwa nĩ ndagĩtarĩ.  Mũntũ ũgũkorora Bũrĩa mũrimo wa korona ũtambagua Mũrimo wa korona ũtambagua nĩ antũ marĩa arwaru mũrimo ũnu. Rĩrĩa mũntũ mũrwaru akorora kana atiiba, arutaga tũtanta na kanyua kana nyiũrũ. Rĩrĩa mũntũ ũngĩ abeeba tũtanta tũu, rĩu nĩrĩo agwatagwa nĩ mũrimo wa korona. Na rĩngĩ, mũntũ agwatagwa nĩ korona rĩrĩa abũrũria into irĩa irĩ na tũtanta tũrĩa tũrĩ na mũrimo akĩneambata metho, mũromo kana nyiũrũ.     Kwĩrigĩrĩria korona 1. Ũtĩkeambate nyiũrũ, metho kana kanyua.   2. Thambaga njara maita mengĩ na rũncĩ na thamuni, ũkĩnegiria na gĩtambaa kĩtheru na kĩnyaru.  3.  Rĩrĩa ũgũkorora kana gũtiiba, kũnja njara yaku ũkĩnakorora kana gũtiiba bo.   4. Ũtĩkarĩe nyama itĩnduge na ũtĩkambatangage nyamũ irĩ mwoo.     5. Ĩkara makinywa maĩrĩ baraca na mũntũ ũrĩa ũgũkorora kana ũgũtiiba.   6. Tiga gũkethania na njara. Ĩgania nkeethi cia kanyua akĩ.   7. Tiga kũthiĩ kĩrĩndĩni.  8. Tigana na kũthiĩ rũgendo.  9. Ĩkaraga ũkĩthikagĩrĩria mageni megiĩ mũrimo ũyũ. Ũbatiĩ kũrũtha atĩa ũgaca kũrwara? Wegua ũrĩ na ndariri cia mũrimo:    -Tiga kũthiĩ antũni    -Ĩkara wenka    -Ĩkara mũciĩ    -Ringa thimũ 719 na ũkĩnarũmĩrĩra mataaro ma ndagĩtarĩ.      Nkinya riũ, gũtĩna ndawa ya kũboria mũrimo wa korona. Ĩndĩ athomi nwaka magũceria ndawa irĩa mbega cia kũrũa na mũrimo wa korona Wa mũntũ nwa nkinya emenyerere na amenyerere antũ marĩa marĩ bakubĩ nawe.   ","What you need to know about the CORONAVIRUS or COVID-19  Cameroon Association for Bible Translation and Literacy  What you need to know about the CORONAVIRUS or COVID-19 The information in this booklet is taken from the World Health Organization (WHO) website. https://www.who.int/home Images by CABTAL, © 2020 CABTAL. CC BY-NC-ND 4.0. Special thanks to Wycliffe U.S. Bible Translators for funding the translation of this book. Special thanks to Bible Translation & Literacy (E.A) and to Justus Mũgambi for translating this book. Special thanks to Betty Mũtegi and Kenford Mwĩti for reviewing and proofreading this book. We acknowledge the original authors of this book, Cameroon Association for Bible Translators (CABTAL).                       SUMMARY - Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words     p.2 p.3 p.4 p.5 p.6 p.7   p.8 Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.   Elderly person  Person with a heart condition or disease Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.   Fever Fatigue  Dry cough Muscle aches and pains Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.  Person with a cough Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.     How to protect yourself 1. Avoid touching eyes, nose, mouth.  2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.  3. Cough and sneeze into the crook of your arm.   4. Avoid eating raw meat and touching live animals.     5. Keep at least one meter away from a person who is cou- ghing or sneezing.   6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.  7. Avoid gatherings.   8. Restrict movement.  9. Keep informed and verify the source of information. What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them. Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed  What you need to know about the CORONAVIRUS or COVID-19  © CABTAL, 2020 "
