,pnp,eng
0,Panaki Kalelei Corona,About Coronavirus
1,,
3,,
4,"Amohatokoomu, supaya fahamue oomu, kalelai corona yini, engke’ea no kancibha’a mie se ga aonoa",
6,O wobha,
7,O neendo,
8,Mata ,
9,No maso we lalo ,
10,Mie su mehacino,
11,Dho saki ,
12,"Kalelei ini , no limba we segao aono, noangka percikan oelundo yini",
13,Dho dagani kakodho ondo.  Intaodhiomu no amani percikan we oelundoa ka ko dho ondoa hamitere.,
14,1,
15,"2m-0,5m",
16,Haaachii,
17,"Jadi, ane dho woha mie ume e seno/ mo sakino, intaodhi ne mbali: ",
18,Wa’anda Masker. Jadi andoa nembali dho e’esea we lalono masker ndhoa so lindungi mie segaaono ne o  wancito,
19,2,
20,Tarima kasih  *SROOOT* ,
21,Atau ,
22,Mungkin mie yinia mina nao sakia Anoa’a hanya no lindungi uluno.,
23,"Mie kumancibhadha panaki yinia, nacipande’ao gejalanoa, tetapi ne mbali menularkan panaki dhua’a.",
24,"Secara umum, ane naembali  dha gumampiane we kabhahi mie maicu, karna ihincumiu mina mande aaneomua la’ae la’ae mie mo sakinoa.",
25,Ne Alacino kahoma’a,
26,Mie sumehacino,
27,Ne Kaintahano kereta,
28,Ne Katindisino lift,
29,Ne Tisu ,
30,Ne Galasi ,
31,Ne Perangkat digital,
32,Bahkan we luarno masker maicu,
33,Ne Kaintahano pulangku,
34,Tetikus ,
35,Ne fulupeni ,
36,Ne Kaintahano ka onto,
37,Ne lima,
38,"Meski begitu, oe liu ndo mie mo sakinoa nembali no pika... ",
39,Ihincumiu ne mbali mo sakiomu’a. ,
40,Atau ulandho mie ne owacimu ,
41,Dho goso goso matanto,
42,"Ihincumiu mina me pu’eomu meintaha atau me kancibha bara bara maicua, lalu intao dhiomu limantoo yinia,no kancibha o ulanto yini.",
43,"Satu satunya cara’a so mo kamateno kalelei Corono  yini adalah dhe wanu bhe sabono, bhe pemutih, bhe alkoholno.",
44,"Kalelei Corona yini ne mbali bertahan se oleo se aloa ne permukaan bara bara maicua,",
45,O sabo yini,
46,pahinta we panda yini.,
47,"Karena itu, ane naembali , aangkafi ",
48,Mewanu bhe sabano sape na’ini,
49,Sabo ,
50,O siku nsuana,
51,"Naembalia dho sapu ula ntoini’a atau ulando mie bhaindoa. Ane paiye cumahai’e, me wanu oomu limamu bhe sabono. ",
52,Pasaea dhe lagu lagu Wanande atau lagu lagu “ Happy Birthday ,
53,Mangka we pandano konisino,
54,Kao mponano ha fulu detik ,
55,Padha aicu we sela jari jarindo lima ,
56,dhe wanu’o te wawono lima,
57,Engke’ae carano dhe wanu limadho maicua sampe nobersih?,
58,"Ane iintahae, koe dhue cikenda’a . tapi we kahimba me wanu limamua bhe sabono. ",
59,Ko iye iintaha’ea luarno masker maicua ,
60,Percikano oeno liuu ,
61,"Bakteri maicu no koana ana we lalono masker maicua, ane dho pakea no mpona’a. ",
62,Dho o hoe maskermu ane nokotoromoa. Karena masker maicu kaomponanoa dho pake’a se oleo kaowu. ,
63,Dhe pake aane kasiki pa’a. ane bhe kadhahdanoa ,
64,Aana’i ,
65,Ama,
66,Ina,
67,"No pake handu dho semi semie, nae mbali se cuwua dho bhahi bhahianea. ",
68,"Ko iye no pake bersama’a ne homa’a, pihi pihi’I , galasi bhe handu maicua.",
69,O sikunto yini kan nae mbalia no yintaha o ulantoa yinia. ,
