kwd,eng
To'ofonosia Kovid19,Avoid Covid-19 (Asia)
,
,Illustrations:  Elaine Vitikainen   Information was taken from WHO websites such as https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public Translated by David Fonosimae Version 8.4.2020
,Covid-19 Asian version
,Solomon Islanads Translation Advisory Group (sitag)
,"Narufia nimamu furifuri 'ania sofu ma ka'o, 'amoe ma 'ola gila fa'alataa na sanitaesa. Ngaia 'ola 'e tegela'a fana narufilana ninima.  "
'O sia galo to'ona mola maamu ma gwangomu ma ngidumu.,"Avoid touching your eyes, nose and mouth. "
"To'ofonosia gwangomu ma ngidumu 'ania burina su'usu'umu 'amoe ma ma 'ola 'ilaka'u me'e ruu fana fulolana maada. Alata 'o agea 'e sui mola, mai 'oo to'osia no'o fa'asi'o.",Cover your nose and mouth with your bent elbow or tissue when you cough or sneeze. Dispose of the used tissue immediately.   
"Ula laa lala to'omia te'e tafanga fa'asia wane ngaa'i. Leka kwairiunga 'ani 'amoe,  moko nana'i fa'asia ogunga fe'enia ta'a 'e aula.",Maintain a distance of 2 meters between yourself and others.  Avoid unnecessary travel and stay away from large groups of people.    
"Nana'i lalato'o 'i 'ifi amu lauta labemu 'ame le'a amu. Lauta labemu 'e 'ago'ago, 'amoe ma 'o fu'u 'amoe ma mangomu 'e 'ato'ato, leka te'ana ta'a na gulanga.","Stay at home if you feel unwell. If you have a fever, cough or difficulty breathing, seek medical attention early.  "
Nana'i moko gwagwalongo fana tani 'ola ngaa'i la'u na ngaia te'e lau la'a mai suria Kovid19. Daria kwalato'o fa'asia ta'a na gila taunga'i ai moko lo'o na fa'abasunga fa'asia ta'a ni gulanga.,Stay informed about the latest developments on COVID-19.  Find information from reliable sources and  follow the advice given by your healthcare provider.  
"To'ofonosia Kovid19    To'ofonosia Kovid19       'O sia galo to'ona mola maamu ma gwangomu ma ngidumu. To'ofonosia gwangomu ma ngidumu 'ania burina su'usu'umu 'amoe ma ma 'ola 'ilaka'u me'e ruu fana fulolana maada. Alata 'o agea 'e sui mola, mai 'oo to'osia no'o fa'asi'o. Ula laa lala to'omia te'e tafanga fa'asia wane ngaa'i. Leka kwairiunga 'ani 'amoe,  moko nana'i fa'asia ogunga fe'enia ta'a 'e aula. Nana'i lalato'o 'i 'ifi amu lauta labemu 'ame le'a amu. Lauta labemu 'e 'ago'ago, 'amoe ma 'o fu'u 'amoe ma mangomu 'e 'ato'ato, leka te'ana ta'a na gulanga. Nana'i moko gwagwalongo fana tani 'ola ngaa'i la'u na ngaia te'e lau la'a mai suria Kovid19. Daria kwalato'o fa'asia ta'a na gila taunga'i ai moko lo'o na fa'abasunga fa'asia ta'a ni gulanga.  ","Avoid Covid-19 (Asia)    Avoid Covid-19 (Asia) Illustrations:  Elaine Vitikainen   Information was taken from WHO websites such as https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public Translated by David Fonosimae Version 8.4.2020 Covid-19 Asian version Solomon Islanads Translation Advisory Group (sitag)   Narufia nimamu furifuri 'ania sofu ma ka'o, 'amoe ma 'ola gila fa'alataa na sanitaesa. Ngaia 'ola 'e tegela'a fana narufilana ninima.   Avoid touching your eyes, nose and mouth.  Cover your nose and mouth with your bent elbow or tissue when you cough or sneeze. Dispose of the used tissue immediately.    Maintain a distance of 2 meters between yourself and others.  Avoid unnecessary travel and stay away from large groups of people.     Stay at home if you feel unwell. If you have a fever, cough or difficulty breathing, seek medical attention early.   Stay informed about the latest developments on COVID-19.  Find information from reliable sources and  follow the advice given by your healthcare provider.    "
