,lts,jav,eng,ind
0,Olumbe lwa Korona,Ngenani Pirus Korona,About Coronavirus,Tentang Virus Corona
1,,,,
3,,,,
4,,Ana siji bab sing perlu kowé padha ngerténi ngenani kepriwé virus korona ,,
5,,NYEBAR ,,
6,,cangkem ,,
7,,irung ,,
8,,mripat ,,
9,,mlebu meng njero ,,
10,,wong waras ,,
11,,wong lara ,,
12,,Penyakit arep nyebar angger kecipratan idohé kiyé,,
13,,Njaga jarak. Kowé arep aman sekang cipratan idoh karo njaga jarak 2m.,,
14,,1,,
15,,"2m-0,5m",,
16,,Haaachii!! ,,
17,,"Dadi, wektu kowé ndeleng wong watuk/wahq ing/lara, kowé téyéng: ",,
18,,WÉI WONG-WONG KUWÉ MASKER. Dadi wong-wong kuwé téyéng wahing/watuk nang njero maskeré nggo njagani wong-wong sing nang sekubengé.,,
19,,2,,
20,,kesuwun *SROOT* ,,
21,,UTAWA ,,
22,,Ndéan wong kiyé ora lara. Dhéwéké mung nglindhungi awaké dhéwék. ,,
23,,"Wong sing uwis ketularen ndéan ora nidhokna gejalané, ningén tetep téyéng nularna penyakité. ",,
24,,"Cara umum, apiké dohi nggon sing ramé, merga kowé ora ngerti sapa baé sing agi lara. ",,
25,,Abrag-abrag sing nggo mangan ,,
26,,Wong waras ,,
27,,Cekelan sepur ,,
28,,Pencétan nang lift ,,
29,,Tisu ,,
30,,Gelas ,,
31,,Perangkat digital ,,
32,,Malahan nang njaba masker ,,
33,,Cekelan undak-undakan ,,
34,,tikus ,,
35,,Pulpén ,,
36,,Cekelan lawang ,,
37,,Tangané wong-wong kuwé ,,
38,,"Senajan kaya kuwé, kadang-kadang idohé wong lara téyéng nempel nang… ",,
39,,kowé kabéh téyéng lara. ,,
40,,utawa rainé wong-wong sing paling perék karo kowé ,,
41,,ngucek-ucek mripat. ,,
42,,"Angger kowé ora sengaja ngemék barang-barang kuwé, njur ngemék rainé kowé dhéwék, ",,
43,,"Siji-sijiné cara sing éféktif nggo nyingkirna virus kuwé ngumbah karo sabun, sing mutihna, utawa alkohol. ",,
44,,Virus téyéng manggon nganti 24 jam nang ngarep abrag-abrag. ,,
45,,Sabun ,,
46,,nglakokna nggo nyegah sebanjuré kiyé.,,
47,,"Merga kuwé, apiké ditutna ",,
48,,Wisuh karo sabun nganti nang kéné,,
50,,Sikut lengen ,,
51,,Aja ngemék rainé kowé (utawa rainé sapa baé). Kowé kudu ngumbah tangan disit sing resik nganggo sabun.,,
52,,Kaya nembang tembang “Slamet ulang taun”ping pindo. ,,
53,,nang ngisor kuku ,,
54,,suwéné 20 detik ,,
55,,nang antarané driji-driji.,,
56,,Ngumbag geger tangan. ,,
57,,Kepriwé carané wisuh nganti resik? ,,
58,,"Angger keemék, aja ketar-ketir. Cepetan wisuh karo sabun. ",,
59,,Aja ngemék njabané masker ,,
60,,cipratan idoh ,,
61,,Bakteri téyéng manak pinak nang njero masker angger maskeré dinggo kesuwén. ,,
62,,Buang maskeré kowé angger uwis kotor. Aja nganggo masker lewih sekang sedina. ,,
63,,Nganggo sendok jangan ,,
64,,Anak ,,
65,,Rama ,,
66,,Biyung ,,
67,,Nganggo andhuk dhéwék-dhéwék. ,,
68,,"Aja nganggo barengan, panganan, abrag-abrag nggo mangan, gelas lan adhuk. ",,
69,,"Kowé ora téyéng ngemék rai nganggo sikuté kowé dhéwék, jajal baé. ",,
70,,"Nék téyéng usahakna, mbukak utawa nutup lawang nganggo sikut utawa pundhak. ",,
71,,UMAH,,
72,,Sewisé lunga-lunga meng njaba umah ,,
73,,Sedurungé mangan ,,
74,,Wisuh terus tangané kowé karo sabun… ,,
75,,Pog-pogané ,,
76,,Sabun,,
77,,Njaga kewarasan! ,,
80,,Waca tips-tips liyané nang artikel-artikel sing nang ndhuwur!,,
81,,"""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)",,
82,,"""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan25, 2020)",,
83,,"""How to avoid the coronavirus? Wash your hands"", Elizabeth Rosenthal, in New York Times, Opinion. (Jan 28, 2020)",,
84,,Cathetan sing kawitan nggo informasi médis:,,
85,,"Jléntréhan tambahan: Ditindak nggo nyegah nang wujud komik kiyé éféktif banget nggo nyegah nularé penyakit umum liyané, kaya flu lan pilék, lan kudu dinggo nang panguripan sedina-dina, malahan wektu oranana wabah. Cathetan: Informasi nang komik kiyé digawé pada karo pangertén COVID-19 nganti 28 Pebruari 2020, lan akéhé pada njiot sekang telung cathetan kiyé.  https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.html https://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/  https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Informasi Tambahan Komik nang wujud PDF téyéng diundhuh nang kéné: https://gumroad.com/weimankowart  Pathokan Nyebarna Komik Komik kiyé téyéng dibagékna karo gratis liwat media daring, utawa liwat Whatsapp lan Télégram, lan téyéng dijiot karo gratis bén dicéthak nang wujud  poster kanggoné pribadi utawa dadi matéri édukasi nang umah, sekolah, lan nggon nyambut gawé. Wektu mbagékna komik kiyé, éling 3 bab kiyé: 1) Ora olih ngédit gambar komik sing bakal dibagékna. 2) Komik kiyé ora téyéng doltinuku. 3) Angger dibagékna nang media social FB, sogna krédit sing ngarang karo nyebut @weimankowart, nang Ig karo nyebut @weimankow (IG), utawa ngesogna tautan meng instrgam.com/weimankow Nggo sing nggunakna liyané, jajal hubungi: comicsforgood@gmail.com",,
88,,,Diterjemahkan dalam Bahasa Jawa Banyumasan oleh Paseban (Paguyuban Senthir Budaya Banyumas),
89,,,"Versi bahasa Inggris dibuat oleh Paul Frank (www. sil-lead.org), versi Bahasa Indonesia oleh Nazra Lutfiana (Unicef Indonesia), Penerjemahan dalam beberapa bahasa daerah : www.suluh.org",
90,,,"Created by Weiman Kow, instagram: weimankow",
95,Olumbe lwa Korona                                                                                      Olumbe lwa Korona        ,"Ngenani Pirus Korona    Ana siji bab sing perlu kowé padha ngerténi ngenani kepriwé virus korona  NYEBAR  cangkem  irung  mripat  mlebu meng njero  wong waras  wong lara  Penyakit arep nyebar angger kecipratan idohé kiyé Njaga jarak. Kowé arep aman sekang cipratan idoh karo njaga jarak 2m. 1 2m-0,5m Haaachii!!  Dadi, wektu kowé ndeleng wong watuk/wahq ing/lara, kowé téyéng:  WÉI WONG-WONG KUWÉ MASKER. Dadi wong-wong kuwé téyéng wahing/watuk nang njero maskeré nggo njagani wong-wong sing nang sekubengé. 2 kesuwun *SROOT*  UTAWA  Ndéan wong kiyé ora lara. Dhéwéké mung nglindhungi awaké dhéwék.  Wong sing uwis ketularen ndéan ora nidhokna gejalané, ningén tetep téyéng nularna penyakité.  Cara umum, apiké dohi nggon sing ramé, merga kowé ora ngerti sapa baé sing agi lara.  Abrag-abrag sing nggo mangan  Wong waras  Cekelan sepur  Pencétan nang lift  Tisu  Gelas  Perangkat digital  Malahan nang njaba masker  Cekelan undak-undakan  tikus  Pulpén  Cekelan lawang  Tangané wong-wong kuwé  Senajan kaya kuwé, kadang-kadang idohé wong lara téyéng nempel nang…  kowé kabéh téyéng lara.  utawa rainé wong-wong sing paling perék karo kowé  ngucek-ucek mripat.  Angger kowé ora sengaja ngemék barang-barang kuwé, njur ngemék rainé kowé dhéwék,  Siji-sijiné cara sing éféktif nggo nyingkirna virus kuwé ngumbah karo sabun, sing mutihna, utawa alkohol.  Virus téyéng manggon nganti 24 jam nang ngarep abrag-abrag.  Sabun  nglakokna nggo nyegah sebanjuré kiyé. Merga kuwé, apiké ditutna  Wisuh karo sabun nganti nang kéné Sabun  Sikut lengen  Aja ngemék rainé kowé (utawa rainé sapa baé). Kowé kudu ngumbah tangan disit sing resik nganggo sabun. Kaya nembang tembang “Slamet ulang taun”ping pindo.  nang ngisor kuku  suwéné 20 detik  nang antarané driji-driji. Ngumbag geger tangan.  Kepriwé carané wisuh nganti resik?  Angger keemék, aja ketar-ketir. Cepetan wisuh karo sabun.  Aja ngemék njabané masker  cipratan idoh  Bakteri téyéng manak pinak nang njero masker angger maskeré dinggo kesuwén.  Buang maskeré kowé angger uwis kotor. Aja nganggo masker lewih sekang sedina.  Nganggo sendok jangan  Anak  Rama  Biyung  Nganggo andhuk dhéwék-dhéwék.  Aja nganggo barengan, panganan, abrag-abrag nggo mangan, gelas lan adhuk.  Kowé ora téyéng ngemék rai nganggo sikuté kowé dhéwék, jajal baé.  Nék téyéng usahakna, mbukak utawa nutup lawang nganggo sikut utawa pundhak.  UMAH Sewisé lunga-lunga meng njaba umah  Sedurungé mangan  Wisuh terus tangané kowé karo sabun…  Pog-pogané  Sabun Njaga kewarasan!  Njaga kewarasan!  Sabun Waca tips-tips liyané nang artikel-artikel sing nang ndhuwur! ""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020) ""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan25, 2020) ""How to avoid the coronavirus? Wash your hands"", Elizabeth Rosenthal, in New York Times, Opinion. (Jan 28, 2020) Cathetan sing kawitan nggo informasi médis: Jléntréhan tambahan: Ditindak nggo nyegah nang wujud komik kiyé éféktif banget nggo nyegah nularé penyakit umum liyané, kaya flu lan pilék, lan kudu dinggo nang panguripan sedina-dina, malahan wektu oranana wabah. Cathetan: Informasi nang komik kiyé digawé pada karo pangertén COVID-19 nganti 28 Pebruari 2020, lan akéhé pada njiot sekang telung cathetan kiyé.  https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.html https://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/  https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Informasi Tambahan Komik nang wujud PDF téyéng diundhuh nang kéné: https://gumroad.com/weimankowart  Pathokan Nyebarna Komik Komik kiyé téyéng dibagékna karo gratis liwat media daring, utawa liwat Whatsapp lan Télégram, lan téyéng dijiot karo gratis bén dicéthak nang wujud  poster kanggoné pribadi utawa dadi matéri édukasi nang umah, sekolah, lan nggon nyambut gawé. Wektu mbagékna komik kiyé, éling 3 bab kiyé: 1) Ora olih ngédit gambar komik sing bakal dibagékna. 2) Komik kiyé ora téyéng doltinuku. 3) Angger dibagékna nang media social FB, sogna krédit sing ngarang karo nyebut @weimankowart, nang Ig karo nyebut @weimankow (IG), utawa ngesogna tautan meng instrgam.com/weimankow Nggo sing nggunakna liyané, jajal hubungi: comicsforgood@gmail.com Ngenani Pirus Korona        ","About Coronavirus                                                                                      About Coronavirus  Diterjemahkan dalam Bahasa Jawa Banyumasan oleh Paseban (Paguyuban Senthir Budaya Banyumas) Versi bahasa Inggris dibuat oleh Paul Frank (www. sil-lead.org), versi Bahasa Indonesia oleh Nazra Lutfiana (Unicef Indonesia), Penerjemahan dalam beberapa bahasa daerah : www.suluh.org Created by Weiman Kow, instagram: weimankow    ",Tentang Virus Corona                                                                                      Tentang Virus Corona        
