,kjb,spa,cak,tpi,eng
0,Ab'ix yib'an coronavirus,,Retamaxik pa ruwi' ri Corona virus,Coronavirus em i wanem samting?,Learn about the Corona virus
1,,,,,
2,Yajawil Kuyoj Konob' Xe'q'aq' Yajawil Kuyoj yin Kab'ti'ej,,,,
5,,"Adapted from original copy 'Learn about the coronavirus, coloring book' by St. Jude Children's Research Hospital  ebook layout by: Education for Life SIL PNG",,,
7,,"Coordinación: Emilio Ajquejay, Justo Magzul y Sophia Maldonado. Contextualización: Felipe Mateo Nicolás. Edición: Sonia Raymundo González.",,,
8,,"Adapted from original copy 'Learn about the coronavirus, coloring book' by St. Jude Children's Research Hospital https://together.stjude.org",,,
9,978-9929-794-28-3,978-9929-794-28-3,,,
10,,,,,
11,¿Tzet yili coronavirus ti'?,,,,
12,Ayin ti' chi wiq coronavirus ma COVID-19 ,,,,
14,¿Tzet yuj xan chi yiq jun ilya' ti' coronavirus? Yuj tol a' yet chi illay sno'al yul ch'en ilb'al k'ajil tol axka corona jun tzet xoyan ok yin. ,,,,
16,¿Tzet chi yun kob'onchajtoq yuj coronavirus?,,,,
18,Jun ilya' ti' chi toj sxol kaq'eq' yet chon at'ixhli ma yet ay sq'aqachil konuq'.   Chi ok jin ta chi komitx' junoq tzet yetal ayok jun ilya' tu' yin.   Yuj tu' xan yowalil chi koq'an smaqil koti'.   ,,,,
21,"¿Tzet chi yun komimanil yuj coronavirus ti'?   Jun ilya' ti' lajan axka komon ojob'. Chi takel kok'ul yuj. Chi tit q'aq' k'al sik jin yuj.   Chi watx'ji jun ilya' ti', man komonoq chon kam yuj. ",,,,
24,Xiwil anima lanan smulnaj ok yet k'am chi aj kan coronavirus koxol.  Axka heb' cham yajaw b'ay junjun konob' k'al heb' mulnajwom chi ilontoq skawil konob'.  Chi yal heb' ayon stxolil tzet chi jut kotaynen kob'a b'ay coronavirus.   Lanan k'apax ssaylay yanil jun ilya' ti'.  ¡K'am chi kocha'okteq coronavirus ti' koxol!,,,,
26,¡Kotaynejeq kob'a b'ay coronavirus! ,,,,
28,Chi kam jun ilya' ti' yet chi kotx'ajon koq'ab'. ,,,,
30,"Yowalil chi kotx'aj koq'ab' yet k'amto chi komitx' kosat, koti' k'al kotxam.  Yowalil chi kotx'aj koq'ab' yet k'amto chon lowi.  Yowalil chi kotx'aj koq'ab' yet mayal hon b'et txuljoq.  Yowalil chon achinwi yet mayal hon ek'jab' sxol anima.   ",,,,
32,"Stxolil chi jut kotaynen kob'a b'ay jun ojob' ti'.  Yin b'ab'el. Chi kotx'aj koq'ab' yetoq a'ej k'al xapon.  Yin skab'. Chi komaqchej el koti' yetoq tx'anb'alej ma yetoq swasub'al koq'ab' yet chon at'ixhli ma yet ay sq'aqachil konuq'.  Yin yox. Man komonoq chi komitx' kosat, koti' k'al kotxam.  Yin skan. Man komonoq chi komitx'lej koq'ab', najat chi jut koxol yetoq jet animahil.  Yin so'. Man komonoq chon toj b'ay junoq wajanil ma b'ay xiwil anima chi ek'jab'i.  Yin swaq. Chon kan b'ay kona, man komonoq chon elteq ek'jab'oq. ",,,,
34,Ay kob'ilk'ulal yuj coronavirus yuj tol chi uj jeq'ay aj yuj.,,,,
36,"K'am chon k'ixwi jalon el tzet chi ek'toq yin koq'inal.  Ta ay q'aq' jin, ay sq'aqachil konuq' ma ijan k'am chi uj ji'on kokaq'eq'.  Amank'wan chi el jaw. Amank'wan chi kosay junoq antewom. ",,,,
38,Q'anleb'al,,,,
39,¿B'aytal chi tit jat'ixh?,,,,
40,Yul kosat,,,,
41,Yul kotxam,,,,
42,Yul kotxikin,,,,
47,¿B'aytal chi tit sq'aqachil konuq'?,,,,
49,Yul kok'ul,,,,
50,Yul konuq',,,,
56,"Ab'ix yib'an coronavirus  Yajawil Kuyoj Konob' Xe'q'aq' Yajawil Kuyoj yin Kab'ti'ej  Ab'ix yib'an coronavirus     978-9929-794-28-3  ¿Tzet yili coronavirus ti'? Ayin ti' chi wiq coronavirus ma COVID-19   ¿Tzet yuj xan chi yiq jun ilya' ti' coronavirus? Yuj tol a' yet chi illay sno'al yul ch'en ilb'al k'ajil tol axka corona jun tzet xoyan ok yin.   ¿Tzet chi yun kob'onchajtoq yuj coronavirus?  Jun ilya' ti' chi toj sxol kaq'eq' yet chon at'ixhli ma yet ay sq'aqachil konuq'.   Chi ok jin ta chi komitx' junoq tzet yetal ayok jun ilya' tu' yin.   Yuj tu' xan yowalil chi koq'an smaqil koti'.      ¿Tzet chi yun komimanil yuj coronavirus ti'?   Jun ilya' ti' lajan axka komon ojob'. Chi takel kok'ul yuj. Chi tit q'aq' k'al sik jin yuj.   Chi watx'ji jun ilya' ti', man komonoq chon kam yuj.    Xiwil anima lanan smulnaj ok yet k'am chi aj kan coronavirus koxol.  Axka heb' cham yajaw b'ay junjun konob' k'al heb' mulnajwom chi ilontoq skawil konob'.  Chi yal heb' ayon stxolil tzet chi jut kotaynen kob'a b'ay coronavirus.   Lanan k'apax ssaylay yanil jun ilya' ti'.  ¡K'am chi kocha'okteq coronavirus ti' koxol!  ¡Kotaynejeq kob'a b'ay coronavirus!   Chi kam jun ilya' ti' yet chi kotx'ajon koq'ab'.   Yowalil chi kotx'aj koq'ab' yet k'amto chi komitx' kosat, koti' k'al kotxam.  Yowalil chi kotx'aj koq'ab' yet k'amto chon lowi.  Yowalil chi kotx'aj koq'ab' yet mayal hon b'et txuljoq.  Yowalil chon achinwi yet mayal hon ek'jab' sxol anima.     Stxolil chi jut kotaynen kob'a b'ay jun ojob' ti'.  Yin b'ab'el. Chi kotx'aj koq'ab' yetoq a'ej k'al xapon.  Yin skab'. Chi komaqchej el koti' yetoq tx'anb'alej ma yetoq swasub'al koq'ab' yet chon at'ixhli ma yet ay sq'aqachil konuq'.  Yin yox. Man komonoq chi komitx' kosat, koti' k'al kotxam.  Yin skan. Man komonoq chi komitx'lej koq'ab', najat chi jut koxol yetoq jet animahil.  Yin so'. Man komonoq chon toj b'ay junoq wajanil ma b'ay xiwil anima chi ek'jab'i.  Yin swaq. Chon kan b'ay kona, man komonoq chon elteq ek'jab'oq.   Ay kob'ilk'ulal yuj coronavirus yuj tol chi uj jeq'ay aj yuj.  K'am chon k'ixwi jalon el tzet chi ek'toq yin koq'inal.  Ta ay q'aq' jin, ay sq'aqachil konuq' ma ijan k'am chi uj ji'on kokaq'eq'.  Amank'wan chi el jaw. Amank'wan chi kosay junoq antewom.   Q'anleb'al ¿B'aytal chi tit jat'ixh? Yul kosat Yul kotxam Yul kotxikin    Q'anleb'al ¿B'aytal chi tit sq'aqachil konuq'? Yul kotxam Yul kok'ul Yul konuq'     ","     Adapted from original copy 'Learn about the coronavirus, coloring book' by St. Jude Children's Research Hospital  ebook layout by: Education for Life SIL PNG  Coordinación: Emilio Ajquejay, Justo Magzul y Sophia Maldonado. Contextualización: Felipe Mateo Nicolás. Edición: Sonia Raymundo González. Adapted from original copy 'Learn about the coronavirus, coloring book' by St. Jude Children's Research Hospital https://together.stjude.org 978-9929-794-28-3                                              ",Retamaxik pa ruwi' ri Corona virus    Retamaxik pa ruwi' ri Corona virus                                                   ,Coronavirus em i wanem samting?    Coronavirus em i wanem samting?                                                   ,Learn about the Corona virus    Learn about the Corona virus                                                   
