mnw,mya,eng
ပဝ်သတာ ဝေၚ်ပါဲယဲကဝ်ရဝ်နာ,,Avoid COVID-19 Poster
,,
မာံရတန ကၠာဲလဝ်ဘာသာမန် ရောၚ်။,,
,Mehm Rattna,
,"Adapted by Paul Frank from original, Copyright © 2020, Illustrations by Elaine Vitikainen https://ev-visuals.com/",
,Illustrations:  Ari and Elaine Vitikainen Information was taken from WHO websites such as https://www.who.int/emer gencies/diseases/novel-coronavir us-2019/advice-for-public Version 27.3.2020 Literacy for Women in Africa,
,,
,,How to Create Posters with this Template
,,"This template is for creating posters. You add pages that contain only a picture. Then you add text boxes to the page by right-clicking on the image and choosing ""Add Text Box to Image"":"
,,"Type words into the box. If the box is not big enough, use the mouse to change the size of the box. You can also move the box around the page with the mouse."
ကြာတ်တဲ နကဵု ဍာ် ကေုာံ ဗံၚ် လၟေၚ်ၚ်ညိ။ (ဟွံသေၚ်မ္ဂး) ကြာတ်တဲသ္အး နကဵု ဍာ်ကြာတ်တဲ မကၠောန်လဝ် နကဵုအေလ်ဂိုလ်ဟိုလ် ညိ။,,"Wash your hands regularly with soap and water, or clean them with alcohol-based hand rub."
လ္ပရပ်ဝေၚ် မတ်၊ မုဟ်၊ ကေုာံ ပါၚ် တအ်ညိ။,,"Avoid touching eyes, nose and mouth."
အကြာ မၞး ကေုာံ ညးတၞဟ်ဂှ် မၞးမံၚ်သ္ၚောဲခြာ ဗၞတ် (၂) မဳတာညိ။,,Maintain 2 meters distance between yourself and others.
ဝေၚ်ပါဲယဲကဝ်ရဝ်နာ,,Avoid Covid-19
မၚ်ကလၚ်ဒၟံၚ်ပရိုၚ် စပ်ကဵုအကာဲအရာ ပရူပရာယဲကဝ်ရဝ်နာ ညိ။ ဒ္ဂေတ်ဗက်အတိုၚ် ကသပ်လညာတ် ညးမမၚ်မွဲလွဳလွတ်ဇကု (အ္စာသဝ်ဝန်) ညိ။,,Stay informed on the latest developments about COVID-19. Follow advice given by your healthcare provider.
အခိၚ်ကာလ ခ္ဍက် (ဝါ) ထအှ် မ္ဂး ဂြောပ်ကၟာတ် မုဟ်၊ ပါၚ် နကဵုပ္ၚံက်တၚ်တဲ (ဝါ) ယာတ်တေသ်ရှူ ညိ။ ယာတ်တေသ်ရှူ မရပ်စကာ လဝ်တုဲဂှ် ဗိုတ်ကၠဟ်စုတ် အပ္ဍဲနခၟိက် ပြဟ်ဟ်ညိ။,,Cover your mouth and nose with your bent elbow or tissue when you cough or sneeze. Dispose of the used tissue immediately.
