,luy,swh,eng
0,Kamakhuwa ke bulwale bwa Korona,Virusi vya Ugonjwa wa Korona,About Coronavirus
1,,,
3,,,
4,Okhoya omanye sindu silala khu bulwale bwa Korona,Kuna jambo MOJA tu unalopaswa kuelewa juu ya jinsi virusi vya Korona,There's only ONE thing you need to understand about how a coronavirus
5,NGA BUKENDA ,VINAVYOSAMBAA,SPREADS
6,Mukhanwa,Mdomoni,Mouth
7,Muliolu,Puani,Nose
8,Moni,Machoni,Eyes
9,Ne lwingila mu,Vinapokuingia,Get into your 
10,Mwo omundu okhali omulwale ta,Mtu mwenye Afya,Healthy Person
11,Omundu omulwale ,Mgonjwa wa Korona,Sick person
12,Bulwale buno bukenda khubirira luasimulo lwo,Virusi hivi vinasambaa wakati vitone hivi vya mate,The virus spreads when these droplets 
13,Ima asinao. Noli chimita chibili khukhwama khumundu oli ne bulwale liasimulo se lilakhwolakho ta ,Kwenda mbali. Ukiwa umbali wa mita 2 hutafikiwa na vitone vikubwa vya mate.     ,Keep your distance.﻿ ﻿2m will keep you safe ﻿from large droplets.
14,1,1,1
15,2m,Mita 2,2m
16,Achoo!,Achoo!,Achoo!
17,"Ne obona omundu okholola, namwe oasimula mala alwala okhoyela  ","Kwa hivyo, unapoona mtu akikohoa/kwenda chafya/mgonjwa unaweza kuamua: ",So if you see someone who is visibly coughing/sneezing/sick you can choose to: 
18,Baelesia emaski nyo nebaasimula bandu babandi bakhanyola bulwale buno ta ,Wape barakoa. Waweze kukoholea au kuendea chafya na kuwakinga wote walio karibu,Give them a mask.﻿ ﻿They can cough or sneeze in it and protects everyone else nearby
19,2,2,2
20,Wiboe ﻿mumoni ,Vitone vya *kamasi*,Thank you ﻿*sniffles*
21,Namwe,"AU,","OR,"
22,Bandu banyala barumikhila emaski/sitambaa mumoni nyo belinde balekhe khunyola bulwale,"Pengine yeye si mgonjwa, anajikinga tu","Maybe she's not sick, just protecting herself"
23,"Bandu bali ne bulwale buno banyala bafwana oli bakhali balwale ta, mala khabaambisia bandu babandi ","Watu wenye virusi huenda wasionyeshe ishara zozote, lakini bado wanaweza kuvisambaza","People who are infected can show no symptoms, but are stillinfectious"
24,"Okhacha mubandu bakali ta, sikila somanya nanu omulwale ta ","Kwa jumla, ni wazo bora kuepuka umati wa watu, maana huwezi kujua kama kuna mtu mgonjwa.","And in general, it's a good idea to avoid crowds, because you don't know who might be sick."
25,Bisala biekhusikila chinyama ,Vijiti vya kulia ,Chopsticks 
26,Omundu okhali omulwale ta ,Mtu mwenye afya,Healthy person  
27,Kimishipi kya matatu namwe emiksi,Vishikilio vya gari,Train straps 
28,Niye bandu batila nyo elifti enine namwe yiikhe,Vitufe vya lifti ,Lift buttons  
29,Chikaratasi che khupangusia kamakhono,Tishu ,Tissues 
30,Bikombe ,Vikombe ,Cups
31,Chisimu namwe chitableti ,Vifaa vya kidijitali ,Digital devices
32,Ata enje we chimaski/bitambaa bye khwiboa mumoni,& hata nje ya barakoa ya usoni mwako ,& even on the outside of your face mask
33,Niyo witilila nyo onine mugorofa,Kingo za ngazi,Stair bannisters  
34,Notila sikendesio sia ekomputa,Kipanya ,Mouse 
35,Chikalamu,Kalamu,Pens
36,Kimilyango,Vitasa vya mlango ,Door knobs
37,Kamakhono kabwe ,Mikononi mwao ,Their hands 
38,"Mumasee kakandi, kamare ko omulwale kanyala katila bindu bikali nga ","Isitoshe, huenda mate ya mtu mgonjwa yakawa kwenye vitu vingine … ","However, sometimes a sick person's saliva can get on other things… "
39,Onyala wa lwala ,nyote mnaweza kuugua.  ,you might all fall sick
40,Namwe mumoni mwo omusime wowo ,au umguse mwenzako uso   ,or your loved one’s face 
41,Wasugue chimoni,ujisugue macho ,rub eyes 
42,"Notilile bibindu bino nokhamanyile ta, mala witile mumoni namwe ","Ukigusa mojawapo wa vitu hivi kwa bahati mbaya, kisha ujiguse uso, ","And if you do touch any of these things by accident, and then touch your face, "
43,Engila enyala birusi bino ebechanga khubisinga nende esabuni namwe nende jik namwe kamalwa ,"na njia ya kipekee iliyo bora kuviondoa ni kuviosha kwa sabuni, dawa ya klorini, au kileo.  ","and the only effective way to get rid of them is to wash them off with soap, bleach, or alcohol."
44,Birusi binyala byekhala mubindu muda kumuleyi sana ,"Virusi vinaweza kukaa saa kadhaa juu ya vifaa,",Viruses can last for quite a few hours on objects 
45,Esabuni ,Sabuni,Soap
46,Khukhwilinda,,precautions
47,Sikila eli bulayi khulonda bindu bino nio wilinde ,Kwa sababu hii ni vizuri pia kuyafuata maelekezo haya,Which is why it is also good to follow these
48,Singa nende esabuni paka wole mukhumbo,Oga kwa ﻿sabuni hadi hapa ,wash with ﻿soap up to here
49,Esabuni ,Sabuni ,soap
50,Mukhumbo ,Kisugudi,elbow
51,"Okhatila mumoni mwowo namwe mwo mundu okundi ta. Nokhoyela otile, singa kamakhono nende esabuni bulayi. ","Usijiguse uso. (Au uuguse uso wa mtu mwingine yeyote.) Iwapo ni lazima ujiguse, kwanza ioshe mikono yako kabisa kwa sabuni.","Do not touch your face. (Or anyone else's face.) If you have to, wash your hands with soap thoroughly first."
52,Ne wenya omanye oli wasingile kamakhono bulayi onyala wemba lulwimbo lwa mwanawamberi chisafari chitaru ,Muda sawa na wa kuimba kifungu cha “Wimbo wa Taifa” ﻿https://youtu.be/a37RnI3krzU ,"Enough time to sing ﻿""Happy Birthday"" twice "
53,Mukari mwe kamatere,chini ya kucha  ,under the nails 
54,khu chisekundi ishirini ,kwa ﻿sekunde 20 ,for 20 seconds  
55,akarikari we chinjala,katikati mwa vidole ,between the fingers  
56,Singa enyuma we kamakhono,nawa nyuma ya mikono yako ,wash the back of your hands 
57,Onyala wasinga kamakhono bulayi oriena? ,Nini maana ya kuoga kabisa?,What is thoroughly? 
58,"Notilile okharenga ta, singa busa kamakhono kowo. ","Iwapo umefanya hivyo, usihofu. Nawa mikono yako kwa sabuni hapo baadaye.","If you did, don't worry. Just wash your hands with soap after."
59,Okhatila enje we emaski/sitambaa sye mumoni tawe ,"Pia, usiguse upande wa nje wa barakoa iwapo utaweza. ","Also, don't touch the outside of the mask if you can. "
60,Luluasimulo ,vitone vya mate,droplets
61,Buchafu bunyala bwakhurerera bulwale norumikhila bitambaa bye mumoni khu siise siileyi ,*Vijidudu vinavyosababisha magonjwa hukulia ndani ya barakoa unapozivaa kwa muda mrefu,*Bacteria grows on the insides of your mask if you wear them too long 
62,Mwata chimaski/bitambaa bye mumoni. Okhafwara wabira endalo endala ta ,Zitupe barakoa zinapoanza kuwa nzito. Usizivae kwa zaidi ya siku moja! ,Throw away masks once they feel gross. Don't wear them for more than a day! 
63,Rumikhila sichiko sie khubhukulila byakhulia ,Tumia kijiko cha kupakulia ,Use a serving spoon 
64,Omwana,Mtoto,Baby
65,Papa,Baba,Daddy
66,Maayi,Mama,Mommy
67,Bulimundu arumikhile etaulo yewe,Kila mtu awe na taulo yake ,Everyone gets their own towel 
68,"Mukharumikhila byakhulia, chisaani, bikombe namwe chitaulo chindala tawe ","Usitumie kwa pamoja vitu kama chakula,vyombo vya jikoni,vikombe,taulo.","Do not share food, utensils, cups, towels. "
69,"Se onyala wa tila mumoni nende ekhukunyu ta, wakhakhaka ",Huwezi kuugusa uso wako kwa kisugudi hata ukijaribu,You can't touch your face with your elbow even if you tried
70,"No onyala, fungula namwe ikala kimilyango nende chikhumbo namwe kamabeka ","Fungua na funga milango kwa kutumia kisugudi au bega badala ya mikono, inapowezekana.","Open & close doors with your elbows or shoulders instead of hands, if possible. "
71,Nochile engo,Nyumbani,Home 
72,Newamile enje ,na unaporudi kutoka kwa umma ,and after being out in the public  
73,Nio olie ,Kabla hujala ,Before you eat
74,Singa kamakhono nende esabuni ,Kila wakati nawa mikono yako ukitumia sabuni …,Always wash your hands with soap… 
75,Ne malila ,"Hatimaye, ","And finally,"
76,Esabuni,Sabuni,Soap
77,Murame bulayi bulimundu ,"Kaeni salama,  Nyote! ","Stay safe, everyone! "
78,Murame bulayi bulimundu ,"Kaeni salama,  Nyote! ","Stay safe, everyone!"
80,Newenya khumanya kamakali chilila khusoma niko baandike angaki ano,Soma makala hii ujue zaidi! ,Read the articles for more tips!
81,"""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)","""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, ﻿in Business Insider (Jan 21, 2020)","""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)"
82,"""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan 25, 2020)","""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. ﻿(Jan 25, 2020)","""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan 25, 2020)"
83,"""How to avoid the coronavirus? Wash your hands"", by Elizabeth Rosenthal, in the New York Times, Opinion. (Jan 28, 2020)","""How to avoid the coronavirus? Wash your hands"", by Elizabeth Rosenthal, in the New York Times, Opinion. (Jan 28, 2020)","""How to avoid the coronavirus? Wash your hands"", by Elizabeth Rosenthal, in the New York Times, Opinion. (Jan 28, 2020)"
84,Niyo khuamisye kamakhua kano ke muosibitali ,Marejeo zaidi ya habari za kiafya: ,Main references for medical info: 
