,ahk,mya,eng
0, Covid-19ကို ရှောင်ရှားခြင်း,Covid-19ကို ရှောင်ရှားခြင်း ,
1,,,
5,,,Illustrations:  Ari and Elaine Vitikainen   Information was taken from WHO websites such as https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public  Version 27.3.2020
6,,,Literacy for Women in Africa
7,,,"Translator Ah Suhn, Illustrator Ai Yawn Kap"
11,,,လက်ကို ဆပ်ပြာနဲ့မှန်မှန်ဆေးပါ။ (သို့) အရက်ပျံကိုအခြေခံပြီး ထုတ်လုပ်ထားတဲ့ လက်ဆေးဂျယ်နဲ့ ကောင်းမွန်စွာ ပွတ်တိုက်ပေးပါ။
12,,မျက်စိ၊ နှာခေါင်းနှင့် ပါးစပ်ကို မထိပါနှင့်။ ,"Avoid touching eyes, nose and mouth. "
13,,နှာချေ၊ ချောင်းဆိုးတဲ့အခါ သင့်နှာခေါင်းနဲ့ ပါးစပ်ကို တံတောင်ဆစ် (သို့) တစ်ရှူးနဲ့အုပ်ထားပါ။ ပြီးလျှင် ယင်းတစ်ရှူးကို ချက်ချင်းအမှိုက်ပုံးထဲ ထည့်ပါ။ ,Cover your mouth and nose with your bent elbow or tissue when you cough or sneeze. Dispose  the used tissue immediately.   
14,,လူတစ်ယောက်နဲ့တစ်ယောက် အနည်းဆုံး ၆ပေ အကွာတွင် နေပါ။ လူစုလူဝေးကိုရှောင်ပါ။ မလိုအပ်ဘဲ အပြင်မထွက်ပါနှင့်။ ,Maintain 2 meters distance between yourself and others.  
15,,နေမကောင်းဖြစ်လျှင် အိမ်တွင်နေပါ။ ချောင်းဆိုးခြင်း၊ အသက်ရှူရခက်ခြင်းနှင့် အဖျားရှိနေပါက နီးစပ်ရာ ဆေးရုံ ဆေးခန်းသို့ အမြန်ဆုံး သွားရောက် ပြသပါ။  ,"Stay home if you feel unwell. If you have fever, cough and difficulty breathing, seek medical attention early.  "
16,,COVID-19 နှင့်ပတ်သက်၍ နောက်ဆုံးရသတင်း အချက်အလက်များကို ရယူပါ။ ကျန်းမာဝန်ကြီး ဌာနမှ အခါအားလျော်စွာ ထုတ်ပြန်ထားသည့် အကြံပြုချက်များကို ကောင်းစွာ လိုက်နာပါ။ သတင်းအချက်အလက်များကို ယုံကြည်စိတ်ချ ရသော နေရာများမှ ရယူပါ။ ,Stay informed on the latest developments about COVID-19. Follow advice given by your healthcare provider.  
19, Covid-19ကို ရှောင်ရှားခြင်း     Covid-19ကို ရှောင်ရှားခြင်း              ,Covid-19ကို ရှောင်ရှားခြင်း     Covid-19ကို ရှောင်ရှားခြင်း         မျက်စိ၊ နှာခေါင်းနှင့် ပါးစပ်ကို မထိပါနှင့်။  နှာချေ၊ ချောင်းဆိုးတဲ့အခါ သင့်နှာခေါင်းနဲ့ ပါးစပ်ကို တံတောင်ဆစ် (သို့) တစ်ရှူးနဲ့အုပ်ထားပါ။ ပြီးလျှင် ယင်းတစ်ရှူးကို ချက်ချင်းအမှိုက်ပုံးထဲ ထည့်ပါ။  လူတစ်ယောက်နဲ့တစ်ယောက် အနည်းဆုံး ၆ပေ အကွာတွင် နေပါ။ လူစုလူဝေးကိုရှောင်ပါ။ မလိုအပ်ဘဲ အပြင်မထွက်ပါနှင့်။  နေမကောင်းဖြစ်လျှင် အိမ်တွင်နေပါ။ ချောင်းဆိုးခြင်း၊ အသက်ရှူရခက်ခြင်းနှင့် အဖျားရှိနေပါက နီးစပ်ရာ ဆေးရုံ ဆေးခန်းသို့ အမြန်ဆုံး သွားရောက် ပြသပါ။   COVID-19 နှင့်ပတ်သက်၍ နောက်ဆုံးရသတင်း အချက်အလက်များကို ရယူပါ။ ကျန်းမာဝန်ကြီး ဌာနမှ အခါအားလျော်စွာ ထုတ်ပြန်ထားသည့် အကြံပြုချက်များကို ကောင်းစွာ လိုက်နာပါ။ သတင်းအချက်အလက်များကို ယုံကြည်စိတ်ချ ရသော နေရာများမှ ရယူပါ။   ,"     Illustrations:  Ari and Elaine Vitikainen   Information was taken from WHO websites such as https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public  Version 27.3.2020 Literacy for Women in Africa Translator Ah Suhn, Illustrator Ai Yawn Kap    လက်ကို ဆပ်ပြာနဲ့မှန်မှန်ဆေးပါ။ (သို့) အရက်ပျံကိုအခြေခံပြီး ထုတ်လုပ်ထားတဲ့ လက်ဆေးဂျယ်နဲ့ ကောင်းမွန်စွာ ပွတ်တိုက်ပေးပါ။ Avoid touching eyes, nose and mouth.  Cover your mouth and nose with your bent elbow or tissue when you cough or sneeze. Dispose  the used tissue immediately.    Maintain 2 meters distance between yourself and others.   Stay home if you feel unwell. If you have fever, cough and difficulty breathing, seek medical attention early.   Stay informed on the latest developments about COVID-19. Follow advice given by your healthcare provider.    "
