eng,xmd,fra
What you need to know about the CORONAVIRUS or COVID-19,"Məsəkəŋ heni mə nda i səŋtə a talaŋ KWARAWNAVIRUS, Aka səku, KWAVID-19",
,,
,Association Camerounaise pour la Traduction de la Bible et l'Alphabétisation,Association Camerounaise pour ﻿la Traduction de la Bible et l'Alphabétisation
,,Les informations contenues dans ce livret ﻿proviennent du site internet ﻿de l'Organisation Mondiale de la Santé (OMS). https://www.who.int/fr/home
,,"Toutes les photos appartiennent à CABTAL, sauf ﻿p.2 à Pixabay ﻿p.6 (boucher) et p.7 (foule) à Wikimedia Commons ﻿p.7 (gens regardant la TV) à United Nations (Photo # 616869 UN Photo/Marco Dormino)  Contacts CABTAL  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  B.P. : 16 550 Yaoundé, Cameroun"
,,
                    SUMMARY,                TALAŊ TƏ MA IYI,                                                  SOMMAIRE
- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words ,"- Kwarawnavirus  - Hedi iyi fuk, məc ta a gula i məlta - Məsəkəŋ mə giz məc iyi ta - Zəv tə məc kwarawnavirus - Ley tak məc ta seh viŋgey? - Əŋgah məc ta kəməlah za seh, hwa nda i ɗal seh viŋgey? - Pəl tə ma mə day fagay iyi ",- Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles
p.2 p.3 p.4 p.5 p.6 p.7   p.8,p.2 p.3 p.4 p.5 p.6  p.8 p.9,p.2 p.3 p.4 p.5 p.6 p.7 p.8
"Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.","Kwarawnavirus  Kwarawnavirus, baha, i kəɗafaŋ ma KWAVID-19, ar guŋkuɗ tə məc lawayaŋ. A mar ley təɗaha seh əŋ hayak tə Sinewa iyi əŋ waŋ 31 tə ntəra tə mənfaɗ tə va 2019. A kətəɗaha əŋ wucum mənaŋ damar (kərcah) a gula i ja hedi, əŋgah məc ta kəɗal za tə day day. Məc ta, kəwuweɗ əŋ məŋhayak fuk. I kəsəŋ mar tə məc ta səku ndagwa.","Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue."
Elderly person,Hedi tə abə va,Personne âgée
Person with a heart condition or disease,Hedi mə zləŋ takwaŋ tə abə  məc,Personne cardiaque ou souffrant de maladie
"Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.","Hedi iyi fuk məc ta a məlta za  Hedi səndawl abə mekedek iyi fuk, məc tə guŋkuɗ lawayaŋ ta wa, a məl ta za. Hedi tə abə va iyi liŋ hedi mə nja tə abə məc iyi, mar zlezle (mənaŋ məc mə tak nəp, məc tə sukar tə day əŋ wucum, məc mə dəzl nəf, məc tə məmbəz mə hiy təday əŋ wucum) hedi tə abə məc ta wa əŋ wucum, i dal za madawar madawar məŋgəvday a guŋkuɗ ta wa.","Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus."
Fever Fatigue,-Wucum kahaw kwak -Təɓəl,- Fièvre - Fatigue
Dry cough Muscle aches and pains,-Jənjah wula  hwal muŋgurlum -Dəm tə zli tə wucum iyi,- Toux sèche - Douleurs musculaires
"Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.","Məsəkəŋ mə giz məc iyi  Məsəkəŋ mə giz məc tə KWARAWNAVIRUS seh, mənaŋ məc tə damar: wucum kahaw kwak, jənjah wula hwal muŋgurlum, dəm tə zli tə wucum, təɓəl. Hedi mə dal dakayta iyi i kəzlim dəm, tə ŋcur mə hwal, tə ŋcur mə hiyaha, tə muŋgurlum, aka səku, ŋva la. Hedi dakayta iyi, məc ta kəməlta za lawlaw, ama məc ta kətəɗaha kwa məsəkəŋ mə giz məc ta halla, i mə nji lawlaw. Hedi iyi mbeh səku i kəmbəl, kwa i kəɓət mənjivek halla.","Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier."
Person with a cough,Hedi mə jənjah wula,Personne qui tousse
"Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.","Zəv tə KWARAWNAVIRUS  KWAVID-19 a zəv seh, kar hedi tə abə guŋkuɗ tə KWARAWNAVIRUS. Əŋgah hedi tə abə məc ta, a kəjənjah wula, aka səku, a kəɗal gwele, a kəpir mesleɓ kar pakwam, aka səku, kar ŋcur. Əŋgah mesleɓ ta kətəɗ za əŋ dəməs hedi, mbamba seh, məc ta a zəvaŋ za. Əŋgah hedi kəges za abə məsəkəŋ tə abə mesleɓ tə hedi tə abə məc tə KWARAWNAVIRUS tə a ɗek, abə dawaŋ ta, a ɗef ndəra əŋ nje, əŋ ŋcur, əŋ pakwam, məc ta, a zəvaŋ za.","Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée."
How to protect yourself,Ley tak məc ta seh viŋgey ?,Comment se protéger ?
"1. Avoid touching eyes, nose, mouth.","1. Heni mba i ɗef ndəra əŋ nje, əŋ ŋcur, əŋ pakwam səku. ","1. Eviter de se toucher les yeux, le nez, la bouche."
2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.,2. Hi baŋ ndəra abə yim liŋ abə sapuna (savaŋw). ,2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.
3. Cough and sneeze into the crook of your arm. ,3. Hi jənjah wula abə ley ɗal gwele əŋ zəv tə madakw ndəra. ,3. Tousser et éternuer dans le creux de son bras.
