,lts,jax,eng,ind
0,Olumbe lwa Korona,Tentang Virus Korona,About Coronavirus,Tentang Virus Corona
1,,,,
3,,,,
4,,Ado satu hal yang harus kau tau tentang caro virus Corona tu ,,
5,,NYEBAR,,
6,,Mulut ,,
7,,Idung,,
8,,Mato,,
9,,Masuk ke ,,
10,,Orang sehat ,,
11,,Orang sakit ,,
12,,Virus tu nyebar kalau tetesan aek ludah ni ,,
13,,Jago jarak. Kau jadi aman dari tetesan aek ludah kalau kau jago jarak duo meter.,,
14,,1,,
15,,"2m-0,5m",,
16,,Hatcyuu!!!,,
17,,"Jadi, kalau kau nengok orang batuk/bersin/sakit, kau biso: ",,
18,,"Kasi orang-orang tu masker. Jadi orang-orang tu biso bersin/batuk di dalam maskernyo. Jadi, orang-orang di sekitarnyo aman. ",,
19,,2,,
20,,Terimo kasih *hek* ,,
21,,ATAU,,
22,,Biso jadi orang ni dak sakit. Dio cuma jago dirinyo. ,,
23,,"Orang yang la tetular biso jadi dak nampak gejalonyo, tapi dio tetap biso nularin penyakitnyo. ",,
24,,"Secaro garis besak, lebih baek hindari rame-rame karno kau dak tau siapo be yang lagi sakit. ",,
25,,Alat makan ,,
27,,Pegangnan kereto ,,
28,,Tombol lift ,,
29,,Tisu ,,
30,,Gelas ,,
31,,Perangkat digital ,,
32,,Biso jugo di bagian luar masker ,,
33,,Pegangan tango ,,
34,,Mos komputer ,,
35,,pena ,,
36,,Pegangan pintu ,,
37,,tangannyo ,,
38,,"Tapi, kadang-kadang aek ludah orang sakit biso be nempel di...",,
39,,kau biso jadi sakit galo. ,,
40,,apo muko orang-orang yang kau sayang ,,
41,,Kocek-kocek mato ,,
42,,"Kalau kau dak sengajo nyentuh bendo-bendo tu, terus kau megang muko kau dewek, ",,
43,,"Satu-satunyo caro yang manjur untuk nyingkiri virus tu yo nyuci pake sabun, pemutih, apo alkohol. ",,
44,,Virus biso bertahan sampe duo puluh empat jam di atas satu bendo. ,,
45,,Sabun,,
46,,caro-caro pencegahannyo ni.,,
47,,"Karno tu, sebaeknyo kito ngikuti ",,
48,,Cuci pake sabun sampe sini.,,
49,,Sabun ,,
50,,Sikut tangan ,,
51,,"Jangan nyentuh muko kau (atau muko siapo be). Bilo perlu, cuci dulu tangan kau pake sabun.",,
52,,Kayak sambil nyanyi lagu “Happy Birthday” duo kali. ,,
53,,Di bawah kuku ,,
54,,Selamo duo puluh detik ,,
55,,antaro jari ,,
56,,Cuci punggung tangan ,,
57,,Macam mano caro nyuci tangan sampe bersih? ,,
58,,"Kalau dak sengajo nyentuh, langsung cuci tangan sampe bersih. ",,
59,,Jangan sentuh bagian luar masker. ,,
60,,Tetesan aek ludah ,,
61,,Bakteri biso beranak di bagian dalam masker kalau dipake kelewat lamo. ,,
62,,Langsung buang masker kalau la kotor dan jangan pake masker yang samo lebih dari satu ari. ,,
63,,Pake sendok sayur ,,
64,,Anak ,,
65,,Bapak ,,
66,,Mak ,,
67,,Pake handuk dewek-dewek. ,,
68,,"Jangan kongsian makanan, jangan pake alat, gelas apo handuk yang samo. ",,
69,,Cubolah… kau dak biso nyentuh muko kau pake siku dewek kan? ,,
70,,"Kalau biso, buka apo tutup pintu pake sikut apo bahu. ",,
71,,Rumah,,
72,,Abis dari tempat umum ,,
73,,Sebelum makan ,,
74,,Pake sabun tiap kali cuci tangan... ,,
75,,Terakhir ,,
77,,Jagolah kesehatan! ,,
80,,Baco caro-caro laen di atas ini! ,,
81,,"""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)",,
82,,"""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan25, 2020)",,
83,,"""How to avoid the coronavirus? Wash your hands"", Elizabeth Rosenthal, in New York Times, Opinion. (Jan 28, 2020)",,
84,,Acuan utamo untuk informasi kesehatan: ,,
85,,"Keterangan tambahan: Tindakan pencegahan dalam bentuk komik ini sangat efektif untuk mencegah penularan penyakit umum lainnya, seperti flu dan pilek, dan harus diterapkan dalam kehidupan sehari-hari, bahkan ketika tidak ada wabah. Referensi: lnformasi dalam komik ini dibuat berdasarkan pemahaman COVID-19 hingga 28 Februari 2020, dan sebagian besar diambil dari tiga referensi ini. https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips. htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/   https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Informasi Tambahan Komik dalam bentuk PDF dapat diunduh di sini:  https://gumroad.com/weimankowart Pedoman Menyebarkan Komik Komik ini dapat dibagikan secara gratis melalui media daring, atau melalui Whatsapp dan Telegram, dan dapat diunduh secara gratis untuk dicetak dalam bentuk poster untuk penggunaan pribadi atau sebagai materi edukasi di rumah, sekolah, dan tempat kerja.. Saat membagikan komik ini, ingat 3 hal berikut:  1) Dilarang mengedit gambar komik yang akan dibagikan.  2) Komik ini tidak dapat diperjualbelikan.  3) Jika dibagikan di media sosial FB, cantumkan kredit pengarang dengan menyebut @weimankowart, di IG dengan menyebut @weimankow (IG), atau mencantumkan tautan ke instagram.com/weimankow  Untuk penggunaan lainnya, silakan hubungi: comicsforgood@gmail.com",,
88,,,Diterjemahkan dalam Bahasa Indonesia oleh Yanti dan Yulina,
89,,,"Versi bahasa Inggris dibuat oleh Paul Frank (www. sil-lead.org), versi Bahasa Indonesia oleh Nazra Lutfiana (Unicef Indonesia), Penerjemahan dalam beberapa bahasa daerah : www.suluh.org",
90,,,"Created by Weiman Kow, instagram: weimankow",
95,Olumbe lwa Korona                                                                                      Olumbe lwa Korona        ,"Tentang Virus Korona    Ado satu hal yang harus kau tau tentang caro virus Corona tu  NYEBAR Mulut  Idung Mato Masuk ke  Orang sehat  Orang sakit  Virus tu nyebar kalau tetesan aek ludah ni  Jago jarak. Kau jadi aman dari tetesan aek ludah kalau kau jago jarak duo meter. 1 2m-0,5m Hatcyuu!!! Jadi, kalau kau nengok orang batuk/bersin/sakit, kau biso:  Kasi orang-orang tu masker. Jadi orang-orang tu biso bersin/batuk di dalam maskernyo. Jadi, orang-orang di sekitarnyo aman.  2 Terimo kasih *hek*  ATAU Biso jadi orang ni dak sakit. Dio cuma jago dirinyo.  Orang yang la tetular biso jadi dak nampak gejalonyo, tapi dio tetap biso nularin penyakitnyo.  Secaro garis besak, lebih baek hindari rame-rame karno kau dak tau siapo be yang lagi sakit.  Alat makan  Orang sehat  Pegangnan kereto  Tombol lift  Tisu  Gelas  Perangkat digital  Biso jugo di bagian luar masker  Pegangan tango  Mos komputer  pena  Pegangan pintu  tangannyo  Tapi, kadang-kadang aek ludah orang sakit biso be nempel di... kau biso jadi sakit galo.  apo muko orang-orang yang kau sayang  Kocek-kocek mato  Kalau kau dak sengajo nyentuh bendo-bendo tu, terus kau megang muko kau dewek,  Satu-satunyo caro yang manjur untuk nyingkiri virus tu yo nyuci pake sabun, pemutih, apo alkohol.  Virus biso bertahan sampe duo puluh empat jam di atas satu bendo.  Sabun caro-caro pencegahannyo ni. Karno tu, sebaeknyo kito ngikuti  Cuci pake sabun sampe sini. Sabun  Sikut tangan  Jangan nyentuh muko kau (atau muko siapo be). Bilo perlu, cuci dulu tangan kau pake sabun. Kayak sambil nyanyi lagu “Happy Birthday” duo kali.  Di bawah kuku  Selamo duo puluh detik  antaro jari  Cuci punggung tangan  Macam mano caro nyuci tangan sampe bersih?  Kalau dak sengajo nyentuh, langsung cuci tangan sampe bersih.  Jangan sentuh bagian luar masker.  Tetesan aek ludah  Bakteri biso beranak di bagian dalam masker kalau dipake kelewat lamo.  Langsung buang masker kalau la kotor dan jangan pake masker yang samo lebih dari satu ari.  Pake sendok sayur  Anak  Bapak  Mak  Pake handuk dewek-dewek.  Jangan kongsian makanan, jangan pake alat, gelas apo handuk yang samo.  Cubolah… kau dak biso nyentuh muko kau pake siku dewek kan?  Kalau biso, buka apo tutup pintu pake sikut apo bahu.  Rumah Abis dari tempat umum  Sebelum makan  Pake sabun tiap kali cuci tangan...  Terakhir  Sabun Jagolah kesehatan!  Jagolah kesehatan!  Sabun Baco caro-caro laen di atas ini!  ""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020) ""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan25, 2020) ""How to avoid the coronavirus? Wash your hands"", Elizabeth Rosenthal, in New York Times, Opinion. (Jan 28, 2020) Acuan utamo untuk informasi kesehatan:  Keterangan tambahan: Tindakan pencegahan dalam bentuk komik ini sangat efektif untuk mencegah penularan penyakit umum lainnya, seperti flu dan pilek, dan harus diterapkan dalam kehidupan sehari-hari, bahkan ketika tidak ada wabah. Referensi: lnformasi dalam komik ini dibuat berdasarkan pemahaman COVID-19 hingga 28 Februari 2020, dan sebagian besar diambil dari tiga referensi ini. https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips. htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/   https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Informasi Tambahan Komik dalam bentuk PDF dapat diunduh di sini:  https://gumroad.com/weimankowart Pedoman Menyebarkan Komik Komik ini dapat dibagikan secara gratis melalui media daring, atau melalui Whatsapp dan Telegram, dan dapat diunduh secara gratis untuk dicetak dalam bentuk poster untuk penggunaan pribadi atau sebagai materi edukasi di rumah, sekolah, dan tempat kerja.. Saat membagikan komik ini, ingat 3 hal berikut:  1) Dilarang mengedit gambar komik yang akan dibagikan.  2) Komik ini tidak dapat diperjualbelikan.  3) Jika dibagikan di media sosial FB, cantumkan kredit pengarang dengan menyebut @weimankowart, di IG dengan menyebut @weimankow (IG), atau mencantumkan tautan ke instagram.com/weimankow  Untuk penggunaan lainnya, silakan hubungi: comicsforgood@gmail.com Tentang Virus Korona        ","About Coronavirus                                                                                      About Coronavirus  Diterjemahkan dalam Bahasa Indonesia oleh Yanti dan Yulina Versi bahasa Inggris dibuat oleh Paul Frank (www. sil-lead.org), versi Bahasa Indonesia oleh Nazra Lutfiana (Unicef Indonesia), Penerjemahan dalam beberapa bahasa daerah : www.suluh.org Created by Weiman Kow, instagram: weimankow    ",Tentang Virus Corona                                                                                      Tentang Virus Corona        
