spa,gsm
El cuento de COVID-19,
,
,"Signant LSG: Maria Hernández Grabación: Cesar Hernández Ilustradora, editora y subtitulación: María Hernández"
,Agradecemos a los generosos donantes que hicieron posible este proyecto.
En un mundo lejano,
Aparecio un virus desconocido,
"María estaba asustada, no quiere que llegar a Guatemala",
Un día el presidente anunció que el COVID-19 llegó a Guatemala,
Todas las personas deberiamos quedarmos en casa,
"Empezamos a usar mascarilla , gel y deberamos mantener distancia con las personas",
"María se sentia triste,  ya no jugaria con sus amigos con sus amigos en la escuela",
"El virus cambio el mundo, fue una situación díficil",
"El cuento de COVID-19    El cuento de COVID-19      En un mundo lejano Aparecio un virus desconocido María estaba asustada, no quiere que llegar a Guatemala Un día el presidente anunció que el COVID-19 llegó a Guatemala Todas las personas deberiamos quedarmos en casa Empezamos a usar mascarilla , gel y deberamos mantener distancia con las personas María se sentia triste,  ya no jugaria con sus amigos con sus amigos en la escuela El virus cambio el mundo, fue una situación díficil  ","     Signant LSG: Maria Hernández Grabación: Cesar Hernández Ilustradora, editora y subtitulación: María Hernández Agradecemos a los generosos donantes que hicieron posible este proyecto.             "
