,tsb,amh,spa,eng
0,Qooda bayrese koronata,ስለ ኮሮና ቫይረስ,Sobre el Coronavirus,About Coronavirus
1,,,,
3,,,,
4,Ola dookko kunenu hullu gheevasa bayrese korona maala akki haghti:,,,
5,HAARTI,,,
6,bago,,,
7,sindhe,,,
8,axxe,,,
9,axxe kaaku giddema,,,
10,qawko qaayya,,,
11,qawko qarari,,,
12,"Bayrese tittay, kigorite axxema aaka sindhema aaka bagoma jammati yaaka, gorema daxxiti:",,,
13,Zigabnoka elleta davadhindha. Meetiro lakki ola firra ayyakkilo kuneka davanni.,,,
14,1.,,,
15,2 m,,,
16,tirshaqaddho!,,,
17,"Kottanu kaqawko ghufava woykiyaka tirshaqadha woykiyaka buuvadhika yi'te yaaka, kosse godhinte:",,,
18,Saara tesse naayya sindhe aaka bago shudhadhika ufundhenu deh. Tannu ufundhe giddema nata ghufavvo aaka tirshaqaddho algasnanki ba gore nata galla hagha xumbhekakka davadhonkiye.,,,
19,2.,,,
20,Hororro siine sindheteta,,,
21,woykiyaka,,,
22,"Ise qararakka vaydhini, bishini elle ~bangatti.",,,
23,"Gore keghaftadhi armadhisso xurro algasnanki, bishini ufundhe keghaftadhi.",,,
24,"Wayko nata gore gaaneka xurro ammake, muunu mallantay aha akki qararika ko'arro xurtennu.",,,
29,sooftema,,,
30,kubbayaddhema,,,
31,"moobayladdhema, komfiterattema",,,
32,saara tesse sindhe aaka bagoma shabadhima,,,
34,mawuze komfiterattema,,,
35,iskibirtoma,,,
36,karradhema,,,
37,harke kuusundhema,,,
38,"Vaydhakkamay, qane do'o do'o waaqe qawko qararita acchinaki ba olama baynki...",,,
39,atundhe xumbhe qararroya ghaftananku.,,,
40,woykiyaka miinte qawko ato cigattitaka beeranku ba,,,
41,axxe rigaddhanku yaaka,,,
42,Ka'ussay kottay xumbheka arrankunnay beerrite ba koleyaaka miinte taakundheka,,,
43,ola dooko konaaya badisnanki maaxxisaka saamuna aaka ola alkoole ligghumaya shohho na'a.,,,
44,"Bayrese korona maaxxema sa'ate daggaya oladdho algasnay,",,,
45,saamuna,,,
46,bango,,,
47,Kottannuki bango xubin kittayay cam kavaddho koqaayya vaydhi.,,,
48,haysamma asa saamunaya shohadha,,,
50,tsikile,,,
51,"Innu miinte elleta beerrunku, woykiyaka miinte qawko bilatteka. Kabeerranto gheevte yaaka, qarra harkeka saamunaya ammake shohadha.",,,
52,"Kosse harke shohattenay, dookkonu aga kunkaddhe lakkima asa dhikindha.",,,
53,qubbete giddeka ammake shoh,,,
54,sokonde 20,,,
55,qottete shaarkoka shoh,,,
56,harkete duuko shoh,,,
57,Ammake shohadha bayyo moo?,,,
58,"Kabeerrite yaaka, innu shukunku. Faanatte harkeka vandhe aaka saamunaya shohadha.",,,
59,Ka'algaste yaaka innu saara taakundheta lavakko beerunku.,,,
60,ola kayya,,,
61,"* Qayto xumbhe shabatte yaaka, bacteeriya nata giddema ghohna.",,,
62,"Saara tesse sindhe aaka bagoma shabadhi ki'uskakkotti yaaka, tsiibadha. Tesse kaalikkoma tsaqqamadhika innu       kaallikko dookkonu caalishunku ba shabadhanku!",,,
63,kaale tsaqqamadhi,,,
64,na'a,,,
65,indiye,,,
66,aabbayo,,,
67,Qawko xumbhe laybe tuusuya vaydha:,,,
68,"Ji'o, maaxxe ji'ilo, hale aaka laybaddheka innu elleta ergadhunku.",,,
69,"Tsikileya miinteka beerantonu teemitina vaydhakka, beeranto algastikka.",,,
70,"Karraddheka qaaccantonu aaka caqqummonu ka'algasinte yaaka, tsikileya woykiyaka kaccheya qaacchamay innu harkoya qaacchunku.",,,
71,MANNE,,,
72,gore dhammama qaashattennay faanatte,,,
73,biifankunnay qarra,,,
