,mya,ahk,lsi,eng
0,Covid-19ကို ရှောင်ရှားခြင်း , Covid-19-ahˇ yahˇ-eu,Covid-19 ri zid” lhid khyoo: ,Avoid Covid-19
1,,,,
5,,,,Illustrations:  Ari and Elaine Vitikainen   Information was taken from WHO websites such as https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public  Version 27.3.2020
6,,,,Literacy for Women in Africa
7,,,,"Translator Lanham: Zung” Khoo”, Illustrator Ai Yawn Kap"
11,,,,"Lo, ri Sapya: yo’ ajang” cid” ca” (angh ) Yhid: yo’ koid thu’ to” da” lo, cid” yeing yo’ voin: tang: boid lho: cid” ca”."
12,,,"Myo, jid” – nhoo: - nhoid ri azang” thung”.","Avoid touching eyes, nose and mouth. "
13,,,"Nhoo” yeing yu: - xam: myhid” noo lang” re” nhoo: yo’ nhoid ri lo, moin” thung” guid” thang: ( angh) lo, boid mougsoug” yo’ nghoeb too” we’. Bain lang” hau: lo, boid mougsoug” ri dalheing dam mhoid khoid pung” moo kaid we’.",Cover your mouth and nose with your bent elbow or tissue when you cough or sneeze. Dispose  the used tissue immediately.   
14,,,Byu dayug yo’ dayug agyoo: moo neing: thang’ Dalam ( 6 pe: ) koo: moo nyid we’.,Maintain 2 meters distance between yourself and others.  
15,,,Noo lang” yhoem: moo nyid we’. Zhau” – so’ shi: yau: ziyo’ nge” no nyid lang” je jhang da” mocid” rung” khyoo: myab thang khyo” lo” byang” we’.,"Stay home if you feel unwell. If you have fever, cough and difficulty breathing, seek medical attention early.  "
16,,,COVID-19 yo’ sen: lho: thang: thang’ shoug” gyo: da” kyoo” dang: ri tam” gyoo: we’. Yang” zain: khyoo: shu” ajhung: mo anoo: tid shed nyid da” kyoo” dang: ri voin: tang: cang’ we’.,Stay informed on the latest developments about COVID-19. Follow advice given by your healthcare provider.  
19,Covid-19ကို ရှောင်ရှားခြင်း     Covid-19ကို ရှောင်ရှားခြင်း               , Covid-19-ahˇ yahˇ-eu     Covid-19-ahˇ yahˇ-eu              ,"Covid-19 ri zid” lhid khyoo:     Covid-19 ri zid” lhid khyoo:         Myo, jid” – nhoo: - nhoid ri azang” thung”. Nhoo” yeing yu: - xam: myhid” noo lang” re” nhoo: yo’ nhoid ri lo, moin” thung” guid” thang: ( angh) lo, boid mougsoug” yo’ nghoeb too” we’. Bain lang” hau: lo, boid mougsoug” ri dalheing dam mhoid khoid pung” moo kaid we’. Byu dayug yo’ dayug agyoo: moo neing: thang’ Dalam ( 6 pe: ) koo: moo nyid we’. Noo lang” yhoem: moo nyid we’. Zhau” – so’ shi: yau: ziyo’ nge” no nyid lang” je jhang da” mocid” rung” khyoo: myab thang khyo” lo” byang” we’. COVID-19 yo’ sen: lho: thang: thang’ shoug” gyo: da” kyoo” dang: ri tam” gyoo: we’. Yang” zain: khyoo: shu” ajhung: mo anoo: tid shed nyid da” kyoo” dang: ri voin: tang: cang’ we’.  ","Avoid Covid-19    Avoid Covid-19 Illustrations:  Ari and Elaine Vitikainen   Information was taken from WHO websites such as https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public  Version 27.3.2020 Literacy for Women in Africa Translator Lanham: Zung” Khoo”, Illustrator Ai Yawn Kap    Lo, ri Sapya: yo’ ajang” cid” ca” (angh ) Yhid: yo’ koid thu’ to” da” lo, cid” yeing yo’ voin: tang: boid lho: cid” ca”. Avoid touching eyes, nose and mouth.  Cover your mouth and nose with your bent elbow or tissue when you cough or sneeze. Dispose  the used tissue immediately.    Maintain 2 meters distance between yourself and others.   Stay home if you feel unwell. If you have fever, cough and difficulty breathing, seek medical attention early.   Stay informed on the latest developments about COVID-19. Follow advice given by your healthcare provider.    "
