,spa,dig,eng
0,Sobre el Coronavirus,Dzula ya virusi vya korona,About Coronavirus
1,,,
4,,Kuna chitu chimwenga ufwaacho kumanya dzulu ya virusi vya korona.,There's only ONE thing ﻿you need to understand about how a coronavirus
5,,CHINA ENEA,SPREADS
6,,Mromoni,Mouth
7,,Pulani,Nose
8,,Matsoni,Eyes
9,,vichikuinjira,Get into your
10,,Mutu asiye na virusi vya korona.,Healthy Person
11,,Mutu mwenye virusi vya korona,Sick Person
12,,Virusi nkuenea napho vidzitoni vya mahe.,The virus spreads when ﻿these droplets
13,,Dzivwehe kanda.Kala mita 2 kure kpwa usifikirwe na vidzitoni.,Keep your distance.﻿2m will keep you safe from large droplets.
14,,1,1
15,,Mita 2,2m
16,,Achuuu!,Achoo!
17,,"Uchiona mutu  anakolola/anapiga myasa, unaweza kutsambula ku:",So if you see someone who is visibly coughing/sneezing/sick you can choose to:
18,,Mphe maski kpwa achikolola ama achipiga myasa asiambukize ayae.,Give them a mask.﻿They can cough or sneeze in it and protects everyone else nearby.
19,,2,2
20,,santa,Thank you﻿*sniffles*
21,,ama,"OR,"
22,,Pengine siye mkpwongo anadzirinda tu,"Maybe she's not sick, just protecting herself"
23,,Atu anjina ni akongo na taonyesa dalili za korona ele anaweza kuambukiza.,"People who are infected can show no symptoms, but are still﻿infectious"
24,,Usikale phatu phenye atu anji kpwa kumanya niani ariye mkpwongo.,"And in general, it's a good idea to avoid crowds, because you don't know who might be sick."
25,,vidziko,Chopsticks
26,,Mutu asiye na virusi.,Healthy person
27,,Vyuma vya kugbwira garini,Train straps
28,,Viunde vya kubofya kpwenye lifti.V,Lift buttons
29,,Karatasi,Tissues
30,,vikombe,Cups
31,,Vifwaya vya chidijitali,Digital devices
32,,Uphande wa kondze wa maskiyo.,& even on the outside of your face mask
33,,Vyuma vya kugbwira  napho unapanda ngazi za gorofa.,Stair bannisters
34,,Chiunde cha kompyuta chakuolohera.,Mouse
35,,kalamu,Pens
36,,Vitasa vya miryango,Door knobs
37,,Mikono,Their hands
38,,Marazanjina mahe ga mutu mkpwongo nkuguta kpwatu kpwanjina…,"However, sometimes a sick person's saliva can get on other things…"
39,,unaweza kukala akongo.,you might all fall sick.
40,,Ama uso wa mutu umendzaye,or your loved one's face
41,,Ufwikitse matso,rub eyes
42,,"Uchiguta vitu hivyo bila kumanya alafu ugute uso,","And if you do touch any of these things by accident, and then touch your face,"
43,,"Njira nono ya kuolaga virusi vino ni kutsukutsa mikono,na sabuni,jiki au spriti.","and the only effective way to get rid of them is to wash them off with soap, bleach, or alcohol."
44,,Virusi vina weza kukala hai kpwa masaa.,"Viruses can last for quite a few hours on objects,"
45,,Sabuni.,soap
46,,malagizo,precautions
47,,Ndiyo mana nvinono kulunga mambo gano.,Which is why it is also good to follow these
48,,Tsukutsa na sabuni hadi hipha.,wash with soap up to here
49,,sabuni,soap
50,,Chisugudi.,elbow
51,,"Usidzigute uso wala usigute wa myao,napho nlazima ugute uso phanhi tsukutsa mikono vinono.","Do not touch your face. (Or anyone else's face.) If you have to, wash your hands with soap thoroughly first."
52,,muda wakutosha kuimba fungu ra kpwandza ra wira wa taifa.,Enough time to sing “Happy Birthday” twice
53,,Tsini ya kombe,under the nails
54,,Kpwa sekunde 20,for 20 seconds
55,,Kahikahi ya vyala,between the fingers
56,,Tsukutsa nyuma ya mpkwono ,wash the back of your hands
57,,Vinono nviphi,What is thoroughly?
58,,"Napho ukaiguta usikale na wasiwasi, tsukutsa mikono na sabuni","If you did, don't worry. Just wash your hands with soap after."
59,,Usigute uphande wakondze wa maskiyo.,"Also, don't touch the outside of the mask if you can."
60,,Vidzitoni.,droplets
61,,Maski nkuhenda vidudu napho ichivwalwa sana.,*Bacteria grows on the insides of your mask if you wear them too long
62,,"Tsupha maski napho ina mahemahe ama ikakala chafu, usivwale maski kutsupa siku mwenga.",Throw away masks once they feel gross. Don't wear them for more than a day!
63,,Humira chidziko cha kuephurira.,Use a serving spoon
64,,mwana,Baby
65,,Baba,Daddy
66,,Mayo,Mommy
67,,Chila mwenga akale na tauliye.,Everyone gets their own towel
68,,"Msirye chakurya sahani mwenga, msihumire tauli mwenga.","Do not share food, utensils, cups, towels."
69,,Kpwa kuweza kuguta uso na chisukusuku ata uchijeza.,You can't touch your face with your elbow even if you tried
70,,Humira chisukusuku ama bega kuvugula miryango.,"Open & close doors with your elbows or shoulders instead of hands, if possible."
71,,Kaya.,Home
72,,Uchila kpwatu kpwenye atu anji. ,and after being out in the public
73,,Ndo urye,Before you eat
74,,Tsukutsa mikono na sabuni. ,Always wash your hands with soap…
75,,Mwisho,"And finally,"
77,,Chila mwenga akale salama,"Stay safe, everyone!"
80,,Read the articles for more tips!,Read the articles for more tips!
81,,"3.    “This animation shows how far your sneeze can actually travel” by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)","""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)"
82,,"2.    “The Wuhan Virus: How to stay safe”, by Laurie Garrett, in Foreign policy, Report.  (Jan 25, 2020)","""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan 25, 2020)"
83,,"1.    “How to avoid the coronavirus? Wash your hands”. By Elizabeth Rosenthal, in the New York Times, opinion.  (Jan 28,2020)","""How to avoid the coronavirus? Wash your hands"", by Elizabeth Rosenthal, in the New York Times, Opinion. (Jan 28, 2020"
84,,,Main references for medical info:
85,,,"Additional notes:  Hygiene precautions in comic are effective in preventing many other common infections such as flu and cold, and should be applied in every day life, even when there is no epidemic.  References:  lnformation in comic is based on understanding of COVID19 up till 28 Feb 2020, and mainly from these three references. ﻿https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/ ﻿https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Additonal lnformation  A PDF version of the comic is available for free download here:﻿﻿https://gumroad.com/weimankowart  Sharing Guidelines  This comic is free for the general public to share online and through Whatsapp and Telegram, and the downloads are free for printing out as posters for personal and educational use in homes, schools, and workplaces.  When sharing, please remember these 3 points: ﻿1) No edits to the comics is allowed in any way when sharing.﻿2) Comics cannot be used for any commercial project﻿3) lf online, credit the creator on FB by tagging @weimankowart, on IG by tagging @weimankow (IG), or providing a link to instagram com/weimankow ﻿For all other uses, please send a request in to: comicsforgood@gmail.com"
87,,,"Images on pages Front Cover, 1–18 by Weiman Kou, © 2020 Weiman Kou. CC BY-NC-SA 4.0. Image on page 19 by SIL LEAD, Inc.. CC0 1.0."
89,,,Translated in Chidigo by Lawi Mwakaole
90,,,"Created by Weiman Kow, instagram: weimankow"
