,arg,eng
0,Lo coronavirus,About Coronavirus
1,,
3,,
4,Nomás te cal entender UNA cosa sobre cómo CORRE un coronavirus,There's only ONE thing ﻿you need to understand about how a coronavirus
5,,SPREADS
6,boca,Mouth
7,nariz,Nose
8,uellos,Eyes
9,arriban ta los tuyos,Get into your
10,Persona sana,Healthy Person
11,Persona infectada,Sick Person
12,Lo virus corre quan estas gotichonas,The virus spreads when ﻿these droplets
13,Queda-te leixos. A dos metros serás a salvo d’as gotetas mas grans,Keep your distance.﻿2m will keep you safe from large droplets.
14,1,1
15,2m,2m
16,Achús!,Achoo!
17,"Per ixo, si veyes a belún que ye tusindo / estarnudando / malaudo",So if you see someone who is visibly coughing/sneezing/sick you can choose to:
18,Da-les una careta. Pueden tusir u estarnudar en ella y protechen a totz los d’alredor.,Give them a mask.﻿They can cough or sneeze in it and protects everyone else nearby.
19,2,2
20,Gracias ﻿*snif*,Thank you﻿*sniffles*
21,U,"OR,"
22,"Talment no siga malauda, nomás ye protechendo-se","Maybe she's not sick, just protecting herself"
23,"Las personas infectadas puede que no amuestren simptomas, pero son igualment infecciosas","People who are infected can show no symptoms, but are still﻿infectious"
24,"Y en cheneral, s’ha de privar qualsequier aglomeración de chent, perque no sabes quí puede estar malaudo.","And in general, it's a good idea to avoid crowds, because you don't know who might be sick."
25,Tochetz,Chopsticks
26,Persona sana,Healthy person
27,Agarraderas,Train straps
28,Botons de l’ascensor,Lift buttons
29,Moquers,Tissues
30,Tazas,Cups
31,Dispositivos dichitals,Digital devices
32,Y mesmo l’exterior d’a tuya careta,& even on the outside of your face mask
33,Barandau,Stair bannisters
34,Ratet,Mouse
35,Boligrafos,Pens
36,Pomos de puerta,Door knobs
37,Las suyas mans,Their hands
38,"Manimenos, la saliva d’una persona malauda puede arribar ta atras cosas…","However, sometimes a sick person's saliva can get on other things…"
39,podríatz cayer malaudos,you might all fall sick.
40,u la cara d’o tuyo amor,or your loved one's face
41,t’estregas los uellos,rub eyes
42,Y si tocas qualsequiera d’estas cosas per accident y dimpués te tocas la cara,"And if you do touch any of these things by accident, and then touch your face,"
43,"y la sola manera efectiva de librar-nos d’ells ye limpiar-los con sabón, leixiva u alcol","and the only effective way to get rid of them is to wash them off with soap, bleach, or alcohol."
44,Los virus pueden permaneixer bellas quantas horas en os obchectos,"Viruses can last for quite a few hours on objects,"
45,Sabón,soap
46,consellos,precautions
47,"Per ixo, ye bueno que sigamos estes",Which is why it is also good to follow these
48,Lava-te con sabón dica aquí,wash with soap up to here
50,Ancón,elbow
51,"No te toques la cara. (Ni toques la cara d’otri). Si l’has de fer, lava-te antes las mans concienzudament con sabón.","Do not touch your face. (Or anyone else's face.) If you have to, wash your hands with soap thoroughly first."
52,Lo que cuesta cantar dos vegadas “Bufa ixas velas!”,Enough time to sing “Happy Birthday” twice
53,baixo las unglas,under the nails
