,eng
0,About Coronavirus
1,
3,
4,There's only ONE thing ﻿you need to understand about how a coronavirus
5,SPREADS
6,Mouth
7,Nose
8,Eyes
9,Get into your
10,Healthy Person
11,Sick Person
12,The virus spreads when ﻿these droplets
13,Keep your distance.﻿2m to 0.5m will keep you safe from large droplets.
14,1
15,2m-0.5m
16,Achoo!
17,So if you see someone who is visibly coughing/sneezing/sick you can choose to:
18,Give them a mask.﻿They can cough or sneeze in it and protects everyone else nearby
19,2
20,Thank you﻿*sniffles*
21,"OR,"
22,"Maybe she's not sick, just protecting herself"
23,"People who are infected can show no symptoms, but are still﻿infectious"
24,"And in general, it's a good idea to avoid crowds, because you don't know who might be sick."
25,chopsticks
26,Healthy person
27,Train straps
28,Lift buttons
29,Tissues
30,Cups
31,Digital devices
32,& even on the outside of your face mask
33,Stair bannisters
34,Mouse
35,Pens
36,Door knobs
37,Their hands
38,"However, sometimes a sick person's saliva can get on other things…"
39,you might all fall sick.
40,or your loved one's face
41,rub eyes
42,"And if you do touch any of these things by accident, and then touch your face,"
43,"and the only effective way to get rid of them is to wash them off with soap, bleach, or alcohol."
44,"Viruses can last for quite a few hours on objects,"
45,soap
46,precautions
47,Which is why it is also good to follow these
48,wash with soap up to here
50,elbow
51,"Do not touch your face. (Or anyone else's face.) If you have to, wash your hands with soap thoroughly first."
52,Enough time to sing “Happy Birthday” twice
53,under the nails
54,for 20 seconds
55,between the fingers
56,wash the back of your hands
57,What is thoroughly?
58,"If you did, don't worry. Just wash your hands with soap after."
59,"Also, don't touch the outside of the mask if you can."
60,droplets
61,*Bacteria grows on the insides of your mask if you wear them too long
62,Throw away masks once they feel gross. Don't wear them for more than a day!
63,Use a serving spoon
64,Baby
65,Daddy
66,Mommy
67,Everyone gets their own towel
68,"Do not share food, utensils, cups, towels."
69,You can't touch your face with your elbow even if you tried
70,"Open & close doors with your elbows or shoulders instead of hands, if possible."
71,Home
72,and after being out in the public
73,Before you eat
74,Always wash your hands with soap…
75,"And finally,"
77,"Stay safe, everyone!"
80,Read the articles for more tips!
