eng,mfh,fra
What you need to know about the CORONAVIRUS or COVID-19,Uwana delga aŋa masəlay la kəl aŋa KORONAVIRUS baŋaw KOVID-19,Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19
,,
,Association Camerounaise pour la Traduction de la Bible et l'Alphabétisation,Association Camerounaise pour ﻿la Traduction de la Bible et l'Alphabétisation
,,Les informations contenues dans ce livret ﻿proviennent du site internet ﻿de l'Organisation Mondiale de la Santé (OMS). https://www.who.int/fr/home
,,"Toutes les photos appartiennent à CABTAL, sauf ﻿p.2 à Pixabay ﻿p.6 (boucher) et p.7 (foule) à Wikimedia Commons ﻿p.7 (gens regardant la TV) à United Nations (Photo # 616869 UN Photo/Marco Dormino)  Contacts CABTAL  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  B.P. : 16 550 Yaoundé, Cameroun"
,,
                    SUMMARY,                            Mad aba  ,                                                  SOMMAIRE
- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words ,- Koronavirus - Dza uwana a slay a kəsay - Tatak uwana a pəhla ɗəvats uwaga ala la dza la vək - Makəs dza aŋa Koronavirus                        - Kakay à mahəl ahəŋ aŋha mi? - Kakay maɗehiŋ aŋa a dákəs dza mi?   - Madzaɗah azla gay zlazlaɗaga ala            ,- Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles
p.2 p.3 p.4 p.5 p.6 p.7   p.8,M.2 M.3 M.4  M.5 M.6 M.8 M.9,p.2 p.3 p.4 p.5 p.6 p.7 p.8
"Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.","Koronavirus uwana ta zalalla KOVID-19 abay ká, kuzu anik mawga. A pə́hla vək ala la teraŋŋa ká, la Shin la mahnay 31/12/2019 (təla mamakər 2019). Azla tatak uwana a pəhla ɗəvats uwaga ala la vək aŋa dza ká, kalkal la aŋa matamay ŋgaha dza a slay a mətsal à ahal aŋa a dazlaɗ ala. Azla makoray kutsu aŋuvaw la gudəŋ la vək ká, a dádah aba. Sləlih aŋa ɗəvats uwaga ká, a səl vək adaŋ aw.","Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue."
Elderly person,Dza makozga,Personne âgée
Person with a heart condition or disease,Dza uwana ɗəvats aŋa ləv a zəŋ baŋaw masla ɗəvats,Personne cardiaque ou souffrant de maladie
"Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.","Azla dza uwana aslay a kas ata  Azla dza geshina, bəzhi aw, magol dza aw ká, kuzu mawga uwaga a slay a dal à vək. Azla magol dza ŋgaha là azla məna ɗəvats (kiya ɗəvats matsezl masafay ahəŋ, dəvats aŋa səkur, azla ɗəvats aŋa ləv, ɗəvats madzugway maptayga) ká, kiya ɗəvats a zlaɗ ata à gəl kaykay aŋa kuzu uwaga a dad ata à vək.","Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus."
Fever Fatigue,- Akal  ad aka à vək - Mayvək              ,- Fièvre - Fatigue
Dry cough Muscle aches and pains,- Mabəzləhway uwana tatak a tsa à fik aw - Mazay aŋa azla slaka sləb sləb ga,- Toux sèche - Douleurs musculaires
"Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.","Azla tatak uwana a pəhla ɗəvats uwaga ala Azla tatak uwana a pəhla vək ala aŋa Koronavirus uwaga a dákəs ka ká, kalkal la aŋa matamay: Akal ad aka à vək, mabəzləhway uwana tatak a tsa à fik aw, mayvək, mazay aŋa azla slaka sləb sləb ga. Azla məna ɗəvats anik ká, az ata mazay, tir a nakah ama, tsatsatstsa matamay a kəlay la tir, maŋula a zay baŋaw huɗzay. Azla dza anik ká, kay ká, ag ata la vək nəma ká, azla tatak uwaga ta pəhla vək ala la vək aŋata aw ŋgaha ba ata aŋata lapiya. Gay məŋga aŋa azla dza ká, ta wər ala la kokuɗa makor wədəra aŋa mas iyawhaf.","Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier."
Person with a cough,Dza uwana a bəzləhway,Personne qui tousse
"Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.","Makəs dza aŋa Koronavirus  KOVID-19 ká, dza uwana kuzu uwaga la vək lawna av à dza anik. Mok uwana masla ɗəvats a buzləhway baŋaw a hidsay ká, matekew a məshay. Baŋa matekew uwaga a mish à dza à tir baŋaw à gay ká, Koronavirus a kəsay. Baŋa dza a dəbani tatak uwana matekew uwaga a mə́shal à vək pəra a kakaɗla yewdi, baŋaw a tsatokwla tir, baŋaw af à gay ká, ɗəvats uwaga a kəsay abay.","Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée."
How to protect yourself,Kakay à mahəl ahəŋ aŋha mi?,Comment se protéger ?
"1. Avoid touching eyes, nose, mouth.","1. Həlaw ahəŋ ka madəbni azla yewdi, tir ŋgah gay.","1. Eviter de se toucher les yeux, le nez, la bouche."
2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.,"2. Palaw ahal là iyaw ŋgaha sapuna, iyaw ká, mateɗni à ahal ká, mataɗay. La lig lahəŋ ká, ka ɗah ahal ala là ləkut maɗahla iyaw à vək ala tsəɗaŋŋa ga.",2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.
3. Cough and sneeze into the crook of your arm. ,3. Bəzləhwaw ŋgaha hədəshaw kiya uwana ka nəŋawaŋ la fataw uwaga laba.,3. Tousser et éternuer dans le creux de son bras.
4. Avoid eating raw meat and touching live animals.,4. Həlaw ahəŋ ka mapaɗ sləb ladi ŋgaha aŋa madebni azla tatak ashik.,4. Eviter de manger de la viande crue et de toucher des animaux vivants.
5. Keep at least one meter away from a person who is cou- ghing or sneezing. ,5. Tsəzlaw à feta à utay dayday mawalay səla gawna là dza uwana a bəzləhway baŋaw a hədshay.  ,5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.
6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.,"6. Həlaw ahəŋ ka masokw vək la ahal. Ɗahaw vək ayyi ká, la matakumah gəl ŋgaha la mapəhay la gay pəra.",6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.
7. Avoid gatherings. ,7. Həlaw ahəŋ aŋa mahamah gay à vək.,7. Eviter les rassemblements.
8. Restrict movement.,8. Gogulaw maguzahay. ,8. Limiter ses déplacements.
9. Keep informed and verify the source of information.,9. Tsəbaw sləm à azla gay ŋgaha məjaɗaw slaka uwana azla gay uwaga ta gwá awaŋ laba.,9. Se tenir informé et vérifier la source de ses informations.
What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:,"Kakay maɗehiŋ aŋa a dákəs dza mi? Abaŋa azla tatak uwana a pəhla ɗəvats uwaga ala ag akul la vək ká: - Həlaw ahəŋ ka madebni vək la azla dza anik. - Dzaw ahəŋ ká, la mtəga. - Zalaw à 1510 ŋgaha kəsaw azla sawaray uwana. azla doktar ta pəh akul. Azla lampa anik lawnay aya aŋa mazalay:",Que faire en cas de contamination ? Si vous présentez des symptômes : - Evitez les contacts avec d'autres personnes. - Restez à domicile. - Appelez le 1510 et suivez les consignes des médecins. Autres numéros possibles :
699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979
699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761
"To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them.","Ka aŋa lagonay ká, kurguna lahəŋ ba tekula ahal adaŋ à uwana a slay ka aŋa mawur KOVID-19 ala aw, ama gumna la mayahay laba ka aŋa mabəz à kurguna aŋha. Kəla wabeywi ká, a gay gəlga ga aŋa maɗah dabaray uwana aŋa mahəl ahəŋ ŋgaha aŋa mahəlla azla dza uwana ahəŋ la makəla aŋha.","A ce jour, il n'existe aucun médicament capable de guérir du COVID-19 mais les autorités continuent les recherches pour trouver un traitement adapté. Chacun doit être responsable et adopter les bons gestes pour se protéger et protéger son entourage."
"Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed","Madzaɗ azla gay zlazlaɗaga ala   Matekew: Sleslib uwana a mish à dza à gay ala la mok uwana a hahaway, a bəzləhway baŋaw a hidsay.  Kuzu: A gay madeweri aŋa ɗəvats baŋaw ɗəvats ga.  ","Définition des mots difficiles  Asthme : maladie respiratoire chronique Consignes : ordres, recommandations Diabète : maladie qui se caractérise par un taux de sucre trop élevé dans le sang Ecoulement nasal : avoir le nez qui coule Etre contaminé : être atteint par la maladie Grippe : maladie, rhume Hypertension : augmentation anormale de la pression du sang sur la paroi des artères Infecté : atteint par la maladie Infection : maladie, épidémie Patient : malade Persistant : permanent, constant, continu Susceptible : capable, sensible Symptômes : signes, marques de la maladie Traitement : remède, médicaments Virus : agent causant la maladie Vulnérable : faible, à risque"
,,"Uwana delga aŋa masəlay la kəl aŋa KORONAVIRUS baŋaw KOVID-19  © CABTAL, 2020"
