cak,zaw,kjb,spa
Ka'i' oxi' tzij pa ruwi' ri CORONAVIRUS,Yälguijch guichgaroore nani laa “coronavirus”,Ab'ix yib'an corona virus,Sobre Coronavirus
,,,
,,Yajawil Kuyoj Konob' Xe'q'aq' Yajawil Kuyoj yin Kab'ti'ej,
,,¿Tzet yaq'on jun coronavirus ti'?,
,,Chi junb'i ek' sxol konob'.,
,,¿Tzet chi yun sjunb'i ek' coronavirus?,
,,yul stxam k'al yul sti',
,,sb'aq'sat,
,,kax chi oktoq yul,
,,Jun anima watx' sk'ul,
,,Jun anima      ya'ay,
,,Chi elteq yal sti',
,,¿Tzet chi jut kotaynen kob'a b'ay coronavirus?,
,,Axka tu' k'am chi ok jun ojob' tu' jin.,
,,Najat chon ok lekanoq,
,,Kab' ja' chi jut  koxol ,
,, ¡At'ixh! ta xhi junoq anima ya'ay,
,,"Chi jaq' junoq smaqil sti' jun anima ya'ay tu'. Axka tu', kaxk'almi chi at'ixhli k'am chi ok jun ilya' tu' jin.",
,,Kab' ja' chi jut koxol,
,,Yuj wal tyoxh,
,,"ma,",
,,Xiwil anima k'am chi mitx'chaj yuj jun ilya' ti'.,
,,Yuj tu' xan watx' chi koq'an smaqil koti'.,
,,"K'am chi stx'ox sb'a jun ojob' tu', asan xin chi b'onwaj k'al ta' heb'.",
,,"K'apaxoq, chi uj kocha'on coronavirus yin:",
,,smaqil na,
,,tx'anb'alej,
,,uk'b'al,
,,ch'en awteb'al,
,,smaqil ti'ej,
,,q'och,
,,mitx'q'ab'ej,
,,tz'ib'b'al,
,,stz'utz'al na,
,,q'ab'ej,
,,Ta k'am chi kotaynej kob'a.,
,,Hoqon mitx'chaj komasanil yuj jun ojob' ti'.,
,,Ta komon k'al chi komitx' kosat.,
,,Ta komon k'al chi komitx' koti' k'al kotxam.,
,,Kotx'ajeq koq'ab' yetoq a'ej,
,,Asannej yetoq a'ej k'al xapon chi kamel jun ilya' chi yiq coronavirus ti'.,
,,Kotx'ajeq koq'ab' yetoq xapon,
,,Yet k'am chon mitx'chaj yuj coronavirus.,
,,Watx' chi jiqej oyeb' nab'alej ti'.,
,,Chi kotx'aj koq'ab'.,
,,Kayti' ja',
,,Yetoq a'ej k'al xapon,
,,Kayti' k'amaqxa,
,,Kotx'ajeq koq'ab' yetoq a'ej k'al xapon.,
,,Watx' ta lanan kob'itni.,
,,Chi kotx'aj yalan jisq'aq.,
,,Junoq miman txolan.,
,,Chi kotx'aj snan yiximal koq'ab'.,
,,Chi kotx'aj yintaq koq'ab'.,
,,Stxolil koq'anon smaqil koti',
,,Amank'wan chi kotx'aj koq'ab' yetoq a'ej k'al xapon.,
,,Man komonoq chi komitx'ob'tanej smaqil koti' tu'.,
,,Ta mayal komitx' junoq tzet yetal ayok yal ti'ej yin.,
,,"Ta xiwil k'u chi koq'an smaqil koti', chi ch'ib' jun ilya' tu' yul.",
,,Man komonoq chi koq'an pichilej man jetoq,
,,Junjun k'al ajna yetoq spichil. ,
,,unin,
,,mamej,
,, txutxej,
,,"Man komonoq chi komitx' kosat, kotxikin k'al kotxam.",
,,,
,,Kosay skolwal antewom ta chon eq'ay aj yuj jun ilya' ti'.,
,,Koq'aneq smaqil koti'.  Koq'aneq xapon.,
,,¡Kotaynejeq kob'a!,
,,Q'anleb'al,
,,¿Jantaq chi yun koxol yetoq jet animahil yet k'am chi ok coronavirus jin?,
,,Kawil,
,,Najat,
,,Yalixh,
,,¿Tzet yetal chi aq'on kam coronavirus ti'?,
,,a'ej yetoq atz'am,
,,a'ej yetoq tan,
,,a'ej yetoq xapon,
,,,"Escrito por Weiman Kow, © 2020 Weiman Kow. CC BY-NC-SA 4.0. Imágenes por Weiman Kow, © 2020 Weiman Kow. CC BY-NC-SA 4.0."
,,,Adaptado al idioma Q'anjob'al Guatemala. Leer y Aprender de USAID Guatemala con el apoyo del Ministerio deEducación Guatemala.
,,,"Coordinación: Emilio Ajquejay, Justo Magzul y Sophia Maldonado. Contextualización: Felipe Mateo Nicolás.Edición: Sonia Raymundo"
,,,"Created by Weiman Kow, instagram: weimankow"
,,978-9929-794-28-3,978-9929-794-28-3
