,lts,wlo,eng,ind
0,Olumbe lwa Korona,Isaroaka Virus Corona ,About Coronavirus,Tentang Virus Corona
1,,,,
3,,,,
4,,So saangu peelu imataumu to tuaapa Virus Corona bheapogaa-gaa i alamu sii. ,,
6,,Muncu ,,
7,,Ango ,,
8,,Mata ,,
9,,Pesua i nunca ,,
10,,Mia malape,,
11,,Mia mapii ,,
12,,Virus bheamembali alalimi minaaka i pasiki wilu sii ,,
13,,"Pekaridho, mamudhaakana ingkoo usalamati tee inda kangkanaiko pasikina wilu jadi pekaridhomo rua metere.",,
14,,1,,
15,,"2m-0,5m",,
16,,Haaachii!! ,,
17,,"Ande, ukamata mia mokomeke/mosambaho/momapii, ingkoo membali: ",,
18,,Dhawu manga incia masker. Jadi manga incia membali asambaho/akomeke i nuncana maskerna mamudhaakana ajagani manga miana i sambalina.,,
19,,2,,
20,,Tarimakasi “SROOT” ,,
21,,"Atawa, ",,
22,,Amembali uka mia sii inda amapii. Incia soo jagani karona.,,
23,,"Mia motolalimina virus korona inda tomatau, maka amembali alalimiaka panyakina. ",,
24,,"Salabina, malape upekarido tee mia bhari mopokawa, roonamo ingkoo inda umatau incema-incema momapiina. ",,
25,,Kandea ,,
26,,Mia malape ,,
27,,Kakenina kereta ,,
28,,Kapisikina lift ,,
29,,Tisu ,,
30,,Tonde ,,
31,,Perangkat digital ,,
32,,Garaaka i sambalina maskermu ,,
33,,Kakeniana odha ,,
34,,Tetikus ,,
35,,Folpeni ,,
36,,Kajolina bamba ,,
37,,Limana ,,
38,,"Momini mboo sumai, sagaa wiluna mia mapii membali apika i... ",,
39,,Ingkomiu bhari-bharia amembali kangkanaikomiu kapii.,,
40,,"Atawa rouna mia i saripimiu umaasiakea,",,
41,,Gigisi mata ,,
42,,"Ande ingkomiu inda tee haejati ukeni manga giuna bara-bara itu, siimpo ukeni roumiu,",,
43,,"Saangu-saanguna cara malape to pekamate virus mboo ubhanuia tee pake cabo, pemutih, atawa alkohol.",,
44,,Virus membali adhadhi 24 jamu i kulina manga giuna bara.,,
45,,Cabo,,
46,,pewau giu mboo sii to jagani karomiu.,,
47,,"Makanamo itu, salabhina ose ",,
48,,Bhanui tee cabo sakawa iwei. ,,
50,,Siku,,
