,enb,eng
0,Akipō kōrōōyi pō Coronavirus,About Coronavirus
1,,
3,,
4,Mii kir AKOONG’O kipaat nyoo nyoolchinii isōwu akipō WŌLOO KUUNOOMTOOY KEEY kōrōōyi pō coronavirus,There's only ONE thing ﻿you need to understand about how a coronavirus
5,,SPREADS
6,Kuut,Mouth
7,Sēruun,Nose
8,Koonyin,Eyes
9,Kipēēchi chiich,Get into your
10,Chiich nyoo karaam pōōr,Healthy Person
11,Chiich nyoo mnyaanaat,Sick Person
12,Kuunoomtooy keey kōrōōyi nēē raal nta kung’alaal :chiich kupka ng’ula,The virus spreads when ﻿these droplets
13,Iryoong’ēē yoo lōōw. Ryoong’ēē miita 2 si nēē ng’at iriip keey māpēēchiin ng’ulēēpō chiich,Keep your distance.﻿2m will keep you safe from large droplets.
14,1,1
15,Miita 2,2m
16,Tirsyaa,Achoo!
17,Nēē roo chiich nyoo roolēy / tirsyoonēy / mnyanaat,So if you see someone who is visibly coughing/sneezing/sick you can choose to:
18,Tēē akwaaneek tukun choo tukēē keey sēr nkōō kuut. Muukēy kuroolchi nta kuutirsyoonchi tukuuchoochēē sikuriip piich walak choo lēēkitēēn,Give them a mask.﻿They can cough or sneeze in it and protects everyone else nearby.
19,2,2
20,Kartaasi nyoo /kuupuukēē sēr,Thank you﻿*sniffles*
21,NTA,"OR,"
22,"Mā kēēlē mnyanaat :inyeentee, mii kipaat kuriipēy keey","Maybe she's not sick, just protecting herself"
23,"Muukēy kimnyaanaat :chiich wōloo nyuun moomii kiyoo ng’uutuuy kilē mnyaanaat, akuunoomtooy nyuun piich kōrōōyi","People who are infected can show no symptoms, but are still﻿infectious"
24,"Karaam imētoorēē keey wōloo mii  :piich chaa chaang’, āmu mēēmuukēy isōwu kilē ng’oo nyoo mnyaanaat","And in general, it's a good idea to avoid crowds, because you don't know who might be sick."
25,kātiiniit,Chopsticks
26,Chiich nyaa karaam pōōr,Healthy person
27,Misiipi nyoo /kirātēē keey nkōō kari,Train straps
28,Tukun choo /kinyipirēy nkōō liipti nyēpō koropa,Lift buttons
29,Kartaasi nyoo kuupuukēē keey,Tissues
30,Kikoompeen,Cups
31,Koompuuta nkōō siimuun,Digital devices
32,nkōō mpōsaang’ nyēpō kir nyoo itukēē keey sēruun nkōō kuut,& even on the outside of your face mask
33,kāriin choo /kināmēy paani /kiloong’ēy kōpō koropa,Stair bannisters
34,Moorinoo koompuuta,Mouse
35,Kalaamuun,Pens
36,Kurkat,Door knobs
37,Ēēruunēkwaak,Their hands
38,Muukēy kupēēchi saayiitiis walak ng’ula chēpō chiich nyoo mnyaanaat tukun walak kilēē…,"However, sometimes a sick person's saliva can get on other things…"
39,ku āmuukēy āmnyoonchō :tōkōl,you might all fall sick.
40,nta inam tokoch nyēpō choorweeng’uung’,or your loved one's face
41,iting’ting’ keey koonyin,rub eyes
42,"Nēē nam tukuuchu kimēēnkēt, aku nēē ng’at inam keey tokoch,","And if you do touch any of these things by accident, and then touch your face,"
43,oor kipaat nyoo /kuuwoong’ēy kuutyaantaani āpuuy kōrōōyi ku /kēēwuun tukuuchoochēē nkōō sāpuni nta /kēēpāyiisyēērō saakityaan nyoo /kuutiliilēē tukun.,"and the only effective way to get rid of them is to wash them off with soap, bleach, or alcohol."
44,Nēē nam :kuutyaantaani āpuuy kōrōōyi tukun kitēpēē saayitiis choo ng’ērin,"Viruses can last for quite a few hours on objects,"
45,Sāpuni,soap
46,/sikēēriip keey,precautions
47,Karaam nyuun /keetuup tukuuchu,Which is why it is also good to follow these
48,Wuunēē sāpuni kuti it yi,wash with soap up to here
50,Kipkong’,elbow
51,Kimeenam keey tokoch. (Nta inam chiich aka tokoch.) Nēē mārēy nama keey tokoch iwuun ēēruung’uung’ kukaraam kupok,"Do not touch your face. (Or anyone else's face.) If you have to, wash your hands with soap thoroughly first."
52,"Tēēnō saayit nyoo yāmēy keey /keetuum tuumi mwoorēy kilē, “Kumwooruun kōōnkēy apoonyoon āmu kaakisuwa ēēruung’uung’” kunyil ārēēny",Enough time to sing “Happy Birthday” twice
53,wuunō siiriin,under the nails
