,fra,ags,eng
0,Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19,Ɛtsulu Yɔ Korona Varos Əne Wɔhəbhərə Kɔkərə,What you need to know about the CORONAVIRUS or COVID-19
1,,,
2,,Cameroon Association for Bible Translation and Literacy,Cameroon Association for Bible Translation and Literacy
5,,,The information in this booklet is taken from the World Health Organization (WHO) website. https://www.who.int/home
8,,,"All pictures belong to CABTAL, except p.2 belongs to Pixabay p.6 (butcher) and p.7 (crowd) belong to Wikimedia Commons p.7 (people watching TV) belongs to United Nations (Photo # 616869 UN Photo/Marco Dormino)  CABTAL Contacts  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  P.O. Box : 16 550 Yaoundé, Cameroon"
11,,                       Mɛrəŋgə Mə Minu,                    SUMMARY
12,,- Koronavaros - Mɔŋgulu ənə əmamə ɔwusu uhuŋgu - Emənə yɔ Koronə - Efəghə ənə Korunu owuŋgunə otə - Efəghə ənə kɛnyini wokə ɔhu ɔvu əhə ɔgunu nɛni - Ɔgə ənə wɔhəbhərə kɛnyini korona uhuŋgu uvu ,- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words 
16,,p.2 p.3 p.4 p.5   p.6  p.8 ,p.2 p.3 p.4 p.5 p.6 p.7   p.8
17,,"Koronavaros  Koronavaros mɛbiri otsə (KOVID_19), amu varos woyi ɔmu ulu ɔbə. Mahə ɛkiri awunu bhənə kitundu ka Chayna əsə kə mobughu mə otu akələ nə utu onə kə ɔtəŋgə Wɛkrishi. Ochishi ulu emənə odyoŋgi kɔyu. Wutodi wǒchi ɔnotə kə ɔhu wu oŋgulu, əmamə uzu ongulu ɔvu ini. Koronavaros wayəndə ote mitundu mə owumu mikwiku. Mɔŋgulu  mənəhɔkərə ɔwulu ənə ulu ɔhu.","Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known."
20,,Oŋgulu wɔtəbanə,Elderly person
22,,Oŋgul ənə ɔfughuru nə otəmə ,Person with a heart condition or disease
