,fra,mnf,eng
0,Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19,Àghɨa à bɔ ndɨ àa ko ane ànəa kòlonavȩlùs kò KOVIK-19,What you need to know about the CORONAVIRUS or COVID-19
1,,,
2,,Cameroon Association for Bible Translation and Literacy,Cameroon Association for Bible Translation and Literacy
5,,,The information in this booklet is taken from the World Health Organization (WHO) website. https://www.who.int/home
8,,,"All pictures belong to CABTAL, except p.2 belongs to Pixabay p.6 (butcher) and p.7 (crowd) belong to Wikimedia Commons p.7 (people watching TV) belongs to United Nations (Photo # 616869 UN Photo/Marco Dormino)  CABTAL Contacts  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  P. O. Box: 16 550 Yaoundé, Cameroon"
10,,,
11,                                                  SOMMAIRE,              ÀGhƗA ÀA ÈBÊM LA ,                    SUMMARY
12,- Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles,"- Kòlona vȩlùs - Bòt betsiʼa a ba̧ awɔb la - Àghɨa  àa nyɨ̀ʼta nê wòt bɔ la - Ndɨ àa ngȩ̀ȩ̀nà la - Ndɨ betsiʼa à bààbe awê la - Àghɨa àa ghɨ̌, na à ye nê ye bɔ la",- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words 
16,p.2 p.3 p.4 p.5 p.6 p.7 p.8,p.2 p.3 p.4 p.5 p.6 p.8 ,p.2 p.3 p.4 p.5 p.6 p.7   p.8
17,"Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue.","Kòlonavȩlùs  Kòlonavȩlùs elen tò ko wu KOVIK-19 la, wu àghɔ̧a fi. Bɔ li mbɨ̀ ndzə ànəa yuà a Chȩnà ane èli 31 èŋu Kèsɔŋ 2019. Eghɨ àa nyɨ̀ʼta la àa mbɨ̀ʼɨ tèdzitsə, ngu eko bùŋe wòt. A nyǐ a èbeme èlaʼ nyaŋ a sitsǎʼ ŋàà. Bɔ bakà zìʼì nko àdziʼa àghɔ̧a ngaa à dzə̀à la.","Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known."
20,Personne âgée,Bɔjuŋ,Elderly person
22,Personne cardiaque ou souffrant de maladie,Wòt ta bɔ àghɔ̧ a èntɨ̧ɨ̧ vi la,Person with a heart condition or disease
23,"Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus.","Bòt betsiʼa a ba̧ awɔb la  Àghɔ̧ fi yàà a file ba̧ bòt ane mengùʼ tsa tsa. Bɔjuŋ nè bòt bɔ bɔ èghɔ̧ yu àa ngɨ̀à wòt yèènà kekaŋ la, nè àghɔ̧a shukà, nè àyea èntɨ̧ɨ̧, mě nè aghɔ̧̀a àlo̧ nyaŋ la e file nyàŋè bɔ yùà.","Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus."
26,- Fièvre - Fatigue,- Sɔ̧̀ɔ̧̀nà - Èka̧a̧,Fever Fatigue
28,- Toux sèche - Douleurs musculaires,- Àkɔɔ yuube,Dry cough Muscle aches and pains
29,"Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier.","Àghɨa  àa nyɨ̀ʼta nê wòt bɔ la   Àghɨa àa nyɨ̀ʼta nê wòt bɔ Kòlona vilus la àa mbɨʼɨ àghɔ̧a kèfùʼ. Wu sɔ̧̀ɔ̧̀nà, nè àkɔɔ yuube, nè ènyit saa, nè èka̧a̧. Èbeko nè bòt àghɔ̧ e bɔ ènyit saa, nè ba̧a̧te tedzi te ghɨ̌ wòt kà tsi ngua ndzèènà la, nè tèdzitsə, nè àmɨɨta àtɔŋ mě nè èsa̧a̧. Bòt ko àa ngɨ̀ bɔ àghɔ̧ mbɔŋ ka à ka wua nyɨ̀ʼtâ. Bɔ̀ɔ̀ ngɨ̀ bɔ wu awɔb ntsɔ̧̀. Bòt ko àa ngɨ bɔ pem kâ jɨ èghɨbə.","Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment."
31,Personne qui tousse,Wòt tà bɔ àkɔɔ la,Person with a cough
32,"Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée.","Ndɨ KOVIK-19 nàa ngȩ̀ȩ̀nà la  KOVIK-19 nàà ntsèà ane bòt bɔ bɔ la ka ngà ane ebeko. Wòt tà bɔ la nàa ngɨ̀ tà kɔɔ kò ètsèène leʼ e tsè ane èdzi tò kò ètsə̂ tò leʼ nkwèntê ane wekô nè wòt. Ŋut yeena tètap tu, kòlonavilus wu ba̧ atò. Wòt bà̧à̧ta tètap tu, bà̧à̧te àghɨa zi, kò èdzi li leʼ, kò ètsə̂ vi leʼ, ko taa bɔ àghɔ̧a mbɔŋ.","Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected."
37,Comment se protéger ?,Ndɨ betsiʼa à bààbe awi la,How to protect yourself
38,"1. Eviter de se toucher les yeux, le nez, la bouche.",1.     Ka me ba̧a̧te àghɨa yê nè èdzi le mě nè ètsə̂ wê. ,"1. Avoid touching eyes, nose, mouth."
40,2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.,2.     Me shùù èbu bê àfɨ̀ʼ àgème nè èshu bɔ̂ mèleb nàa ntsèà la.,2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.
42,3. Tousser et éternuer dans le creux de son bras.,3.     Me kɔɔ mè ntsèèna ànget jùŋàbu yê.,3. Cough and sneeze into the crook of your arm. 
44,4. Eviter de manger de la viande crue et de toucher des animaux vivants.,"4.     Ka me kwele nyà̧ kà bɔ la̧ ntsɔ̧ kò mbà̧à̧ta anyà̧ èpfə la leʼ. À bà̧à̧tâ, à shùù èbu bê ntsɔ̧̀ nè èshû mě nè mèleb nàa ntsèà la.",4. Avoid eating raw meat and touching live animals.
