,spa,bbu,tdt,eng
0,Sobre el Coronavirus,Nene VIRUS CORONA,Kona ba VIRUS CORONA,About Coronavirus
1,,,,
2,,Associação KULIT,Associção KULIT,
3,,,,
4,,Lalaa' HEA maney importanti ita presiza raknay nene virus corona:,,
5,,DAET,,
6,,Suak,,
7,,Hngiru,,
8,,Mata,,
9,,Tama la'a ita,,
10,,Likmory isi aia,,
11,,Likmory papeu,,
12,,Virus hea ri'a bele daet lii muri' likmory apakreek (kuandu sii raklungu),,
13,,Roo nai likmory ere'. Metru 2 sei noy ita seguru nai likmory maney rakaklungu sii apakreek.,,
14,,1,,
15,,Metru 2,,
16,,Rahmasi!,,
17,,"Se ita kmata' likmory hey poo', rahmasi ou peu, ita bele rili atu:",,
18,,"Knee' masker la'a sia. Sii bele poo' ou rahmasi nia masker rala, para bele nee' seguru la'a likmory maney kapapehy sia.",,
19,,2,,
20,,Obrigadu!,,
21,,"OU,",,
22,,"Se nii te peu, nii proteje hleu nii aan.",,
23,,"Likmory maney pasasehu papeu corona, hey te tina' sintoma, masi' sei daet nahatik la'a likmory seuk.",,
24,,"Biasa, maneira aia lii atu prevene... te sanga kla'a haty maney raramy ou likmory rarea, tamba ita te raknay asaly' ma' papeu corona.",,
25,,Stik,,
27,,Tali Kareta',,
28,,Butaun,,
29,,Tisu,,
30,,Kopu,,
31,,Lalaa' hira-hira' Eletronika,,
32,,i rala hey nia ita masker tungu,,
33,,Eskada sasi'a rody,,
34,,Mouse,,
35,,Lapizeira,,
36,,Dada'ik rody odamata,,
37,,Sii lima,,
38,,"Rala hey, likmory papeu sii apakreek bele nene nia lalaa' hira-hira' oida...",,
39,,mii nahula bele sehu papeu ere'.,,
40,,ou likmory maney ita hahadomi sii mata hngiru,,
41,,kose la'a ita mata,,
42,,"Se ita si'a sala lalaa' hira-hira' ere' hea, soruk ita si'a ita mata hngiru,",,
43,,"maneira aia lii atu halaku, hrasi lalaa' hira-hira' ere' noro'sapaa, baiklin ou alkohol.",,
44,,"Virus ere', bele nory nia lalaa' hira-hira' raik oras haira' hea",,
45,,sapaa,,
46,,para prevene,,
47,,"Tamba ere', ia lii ita roy do'i maneira",,
48,,hrasi lima noro'sapaa raik ari'a,,
50,,lima si'u,,
51,,"Te ngee kay ita mata hngiru. (Ou likmory hey mata hngiru.) Se ita atu ngee, hrasi aia muna' ita lima noro' sapaa.",,
52,,"Hlery ""Happy Birthday"" rala harua'",,
53,,lu'u mata rala,,
54,,durante detik 20,,
55,,lima klanga heta,,
56,,hrasi ita lima tanyk nii tungu,,
57,,Oilaa' ma' atu hrasi aia ita lima?,,
58,,"Se ita si'a sala, te rata'uk kay. Kla'a hrasi aia hleu lima noro' sapaa.",,
59,,"Se bele, te si'a kay masker tungu.",,
61,,"Virus sei nory nia ita masker rala, se ita uza ose lii.",,
62,,Ta'u masker kuandu pa ra'i. Te paluri uza masker lii nai hengi hea!,,
63,,Uza  aru,,
64,,ANANA,,
65,,AMAKAY,,
66,,INAKAY,,
67,,Likmory hea-hea tengki uza nii toalha doi,,
68,,"Te hrere' kay rara'a, lalaa' hira-hirak dapuk nii, kopu, toalha.",,
69,,Te si'a kay ita mata hngiru noro' ita lima si'u,,
70,,"Da'ik & taka' odamata rody lima si'u ou pas, se bele te uza kay lima sasi'a rody.",,
71,,Ruma,,
72,,i kuandu sai kla'a haty publik,,
73,,Antis ita ra'a,,
74,,Sempre hrasi ita lima noro' sapaa...,,
75,,Kamuri' isi,,
77,,Nahula-nahula hakmatik!,,
80,,Klee artikel nenee informasaun hey tera!,,
81,,"""Animasaun ri'a tina', kuandu ita rahmasi biasa nii is bele la'a"" nai Chia Yi Hou noro' Andrea Schmitz, nia Business Insider (Jan 21, 2020)",,
82,,"""Virus Wuhan: Oilaa' atu hakmatik"", nai Laurie Garrett, nia Foreign Policy, Report. (Jan 25, 2020)",,
