,rus,tpi,eng
0,Узнай о коронавирусе,Coronavirus em i wanem samting?,Learn about the Corona virus
1,,,
5,"Адаптировано из оригинального экземпляра книги «Узнай о коронавирусе, книжка-раскраска» Детской исследовательской больницы Св. Иуды макет электронной книги: Образование для жизни SIL PNG",,
6,SIL LEAD,,
7,Дарья Давидовская,,
8,"Адаптировано из оригинального экземпляра книги «Узнай о коронавирусе, книжка-раскраска» Детской исследовательской больницы Св. Иуды https://to together.stjude.org ",,
10,,,
11,"Возможно вы слышали о разговорах о коронавирусе. Коронавирус —  это тип вируса, который может заставить вас заболеть.",,You might have heard lots of people talking about something called the “coronavirus.” Coronavirus is a type of virus that can make you feel sick.
12,"Многие называют меня  COVID-19. Это болезнь, которую я вызываю.COVID-19 - это сокращение болезни коронавируса. ",,Some people also call me COVID-19 It is the sickness I cause. COVID is short for coronavirus disease. 
15,"Коронавирус - это громкое слово. А вы знали, что корона означает королевскую корону? Если посмотреть на коронавирус под микроскопом, часть вируса выглядит как корона.",,"Coronavirus is a big word, but did you know that “corona” means crown? When you look at coronavirus under a microscope, a part of the virus looks like a crown."
17,"Люди по всему миру заболели, потому что коронавирус передается от человека к человеку.",,People in many parts of the world have gotten sick because coronavirus spreads easily from person to person.
20,"Коронавирус может передаваться через воздух во время кашля или чихания. ﻿Вирус также передается, если он был на руках или дверных ручках. По этой причине многие носят маски и перчатки.",,"Coronavirus can travel through the air in a sneeze or cough.   It can also spread when people touch something the virus has  been on, like hands or door handles. This is why you might see some people wearing masks and gloves. "
23,"Если люди заболевают коронавирусом, то у них может быть высокая температура, слабость, кашель, боль в горле или затрудненное дыхание.  Большинство людей переживают слабую форму болезни и БЫСТРО ВЫЗДОРАВЛИВАЮТ.  Вирус ощущается как простуда или грипп.",,"If people get coronavirus, they may get a high fever, feel tired, cough, have a sore throat or have a hard time breathing.   Most people feel only a little bit sick and  GET BETTER QUICKLY.  It feels a lot like when you have a cold or the flu."
26,"Многие люди очень стараются, чтобы все люди оставались ЗДОРОВЫМИ. Правительства и работники в сфере здравоохранения делают все возможное, чтобы победить коронавирус. Они подготавливают места для заботы о людях, если они заболеют. Есть вещи, которые нам рекомендовано делать, чтобы не заразиться коронавирусом и не распространять его. Если мы будем следовать этим советам, то мы сможем защитить себя и других от коронавируса.",,"There are people who are working hard to make sure that everyone stays SAFE AND HEALTHY  The Government and health workers are doing their best to fight coronavirus. They are preparing places to care for people if they get sick.  There are also things they want us to do to keep from catching coronavirus and spreading it to others. If we all do these things, we will help keep coronavirus away from us and others. "
28,Очень важно РЕГУЛЯРНО МЫТЬ РУКИ!,,It is important that you WASH YOUR HANDS OFTEN
29,,,It is important that you WASH YOUR HANDS OFTEN
30,"Когда вы моете руки с мылом, то коронавирус смывается!",,When you wash your hands with soap germs like coronavirus go away!
32,"-Мойте руки перед тем как вы дотронетесь до лица, глаз, рта или носа. -Мойте руки перед едой. ﻿-Мойте руки после посещения общественных мест. -Мойте руки после туалета.",,"- Wash your hands before you touch your face, eyes, mouth and nose.  -Wash your hands before you eat.  -Wash your hands after you've been to public places.  -Wash your hands after you use the toilet."
34,"Что нужно сделать, чтобы обезопасить себя от коронавируса:  1. Часто мойте руки чистой водой и мылом в течение 20 секунд. 2. Кашляйте и чихайте в салфетку или ваш локоть. 3. Не прикасайтесь к лицу, рту, глазам или носу. 4. Не прикасайтесь к другим, оставьте дистанцию 2 метра. 5. Избегайте людных мест и больших посиделок. 6. Оставайтесь дома и оставайтесь в безопасности.",,"Things to do to keep safe from coronavirus:  1. Wash your hands often with clean water and soap for 20 seconds. 2. Cough and sneeze into a tissue or your elbow. 3. Avoid touching your face, mouth eyes and nose. 4. For now dont touch other people, keep 2 meters of space between you and others. 5. Avoid crowded areas and large gatherings. 6. Stay at home and stay safe."
36,"Многие люди переживают из-за изменений от коронавируса. Они переживают, что могут заболеть и волнуются за свои семьи.",,Some people worry about all the changes from coronavirus.  They may worry about getting sick or worry about family members.
38,"Если ты переживаешь, то не бойся делиться своими эмоциями. ﻿Если у тебя есть вопросы, или у тебя температура с кашлем и больным горлом или затрудненным дыханием, позвони доктору в поликлинику.",,"If you are worried, don't be afraid to share your feelings.  If you have questions or you are feeling sick with high fever, coughing, sore throat or shortness of breath  call this number for free: phone: 1800 200 "
40,"Узнай о коронавирусе Адаптировано из оригинального экземпляра книги «Узнай о коронавирусе, книжка-раскраска» Детской исследовательской больницы Св. Иуды макет электронной книги: Образование для жизни SIL PNG Русский",,
41,"Copyright © 2020, Образование для жизни SIL PNG http://creativecommons.org/licenses/by-nc-sa/4.0/ Вы не можете использовать это произведение в коммерческих целях. Вы можете адаптировать и дополнить эту работу, но вы можете распространять полученную работу только под той же или аналогичной лицензией. Вы должны сохранять авторские права и кредиты для авторов, иллюстраторов и т. д. Адаптировано из оригинального экземпляра книги «Узнай о коронавирусе, книжка-раскраска» Детской исследовательской больницы Св. Иуды.",,
