ahk,spa,lsi,eng
Koˬroˬ naˬ vaiˇ rasˆ gaˇ kawˆ,Sobre el Coronavirus,Kovid – 19 lang: yoem” noo,About Coronavirus
,,,
,,,
,,Kovid – 19 lang: yoem” noo gi khate” zi nghoid ziri se’ gyoo: ca” da:. ,
,,Lang: yoem” noo,
,,Nhoid ,
,,Nhoo: ,
,,Myojid” ,
,,Re” jhang moo hau: joyoo mo dab wa da:. ,
,, Yang” zain” su:,
,,Lang: yoem” noo dab su: ,
,,Hau: azo’ gyo” lang” lang: yoem” noo dab lei da:. ,
,,6 pe: koo: vi: moo nyid lang” lang: yoem” noo boug: dab wa jang” moo yo” loid wa.,
,,1,
,,6 pe: ,
,,  Hab co,
,,Houg: yoomo byu dayug khyung” zhoug” zhau” – xam: myhid” noo bang: ri myang lang” vhoo: mo ziyo’ dakhyoo” ti” yo” koid wa da:. ,
,,Nyangnu” ri nhoid nghoeb (mask) byid: we’. hau: nhoid nghoeb khoug: moo nyangnu” zhau”- xam: myhid” noo loug awei: ayam moo nyid bang: ri noo ayo” dab da:.  ,
,,2,
,,Kaja bye: ( zhoug” su: ) ,
,,Anghoid lang” ,
,,Nyang: noo aboo nghoid loug we’ nyang: gung nyang: zid” nyid zi we’ nghoid da:.,
,,Noo dab bye: nghoid loug we’ noo dab zi asi loo: we’ yo” nyid shi” da:. Nghoid loug we’ noo ri gi yo” dab nhang: da:. ,
,,Kha: yug jang” moo noo dab zi ayo” si yoomo byu phung: cang’ ayhi: wa. ,
,,Du ,
,,Yang” zain: su:,
,,"Myi: rheing”- modoo:  cang’ lo, zei: tei”",
,,Jag zoemlhang: khalug,
,,"Lo, boid mougsoug”",
,,Gyid: koem.;: ,
,,Jag jonu” yi ,
,,Nhoid nghoeb ( mask ) da” nghi: shoid.,
,,"Zoemlhang: lo, zei: ",
,,Computer moug’ ,
,,Mhug youg:,
,,"Khoem: lo, zei:",
,,"Nyangnu” da” lo, ",
,,"Hau: thang: noo dab su: da” shikain” gi dalheing: lheing: gootu: jonu” atho’ moo lo” jo, da:. Dang: tu’",
,,Nanu” dangain” ge noo wa – noo dab wa.,
,,Nang jheddab da” su: myonhoo: ri zang” thung” lang” ,
,,"Myo, jid” ri boid lang” ",
,,Dang: tu’ nang gi hau: jonu” daja: ja: ri zei: kho’ lho: re” myonhoo: moo doem zang” thung” lang”,
,,"Hau: gyi mo loid wa shid mo lo, ri sabya: yo’  ( angh ) yhid: bo da” mocid” yeing yo’ voin: tang: cid” we’.",
,,He: noo gi ziyoo jonu” adang moo we’ akhyeing:  myang” sho’ kangso’ yo” dei nyid da:. ,
,, Sapya: ,
