,eng,ekm,fra
0,What you need to know about the CORONAVIRUS or COVID-19,Buand ubuɔ́ nugódienú áneé nulɛns gá nsíŋ KƆLƆNA ugunya ana KƆFÍD-19,Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19
1,,,
2,,Gimbi giá Kamalún giá gununenye yubu ya Uhaluá na huínyihuínye,Association Camerounaise pour ﻿la Traduction de la Bible et l'Alphabétisation
5,,,Les informations contenues dans ce livret ﻿proviennent du site internet ﻿de l'Organisation Mondiale de la Santé (OMS). https://www.who.int/fr/home
8,,,"Toutes les photos appartiennent à CABTAL, sauf ﻿p.2 à Pixabay ﻿p.6 (boucher) et p.7 (foule) à Wikimedia Commons ﻿p.7 (gens regardant la TV) à United Nations (Photo # 616869 UN Photo/Marco Dormino)  Contacts CABTAL  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  B.P. : 16 550 Yaoundé, Cameroun"
10,,,
11,                    SUMMARY,                                        Nigisa,                                                  SOMMAIRE
12,- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words ,-  Nsíŋ Kɔlɔna - Bubandɔ ɔbɔɔ́ búgimbeneé - Menúmesie - Gusilanɛn guá kɔlɔna - Naánanya anyaá wa bígéŋ? - Naánanya anyaá wa gual búmasilɛn? - Gudambuna guá bimans biá gulal,- Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles
16,p.2 p.3 p.4 p.5 p.6 p.7   p.8,p.2 p.3 p.4 p.5 p.6 p.7 p.8,p.2 p.3 p.4 p.5 p.6 p.7 p.8
17,"Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.","Nsíŋ Kɔlɔna uyɔɔ́ bɔ́ndɔdɔ́ŋɔ́naá áneé kɔfíd-19, búnyɛ giŋɔsía giá nśŋ. Umahám gisiosio uguá gidɔŋ giá Sín uguá ohóli huá Mesegeyembé buɔ́sɛ 31 uguá nnyɔ́m 2019. Ugódi menumesie még mpónyeé na má giheŋ giá duún, gúu búɔ́nɔnɔɔ́ mɔndɔ uguá ginɛŋ igiɛ́ búseyebídie. Weémenesegidinye uguá giod giá bidɔŋ biá guísi gidigid. Bámanyɛ bá dilɛns niólin niá manúma maáguɔ́.","Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue."
20,Elderly person,Bilun biá bandɔ,Personne âgée
22,Person with a heart condition or disease,Mɔndɔ unúmanɔ́ manúma má ɔdɛ́m ugunya ana manúma mómodi.,Personne cardiaque ou souffrant de maladie
23,"Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.","Bubandɔ ɔbɔɔ́ búgimbeneé  Giŋɔnsia giá nsiŋ igigányɛ gínyɛ gíébíŋin uguá dunam gidigid duá bandɔ.  Bilun biá bandɔ anda na bandɔ abánúmanɔ́ bunyɛ menúmesie (hana manúma má hédúme, manúma má abal, manúma má ɔdɛ́m,  manúma má buanana) bányɛ mɔdɔg na gueleé nsíŋ igímbin bɔ́.","Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus."
26,Fever Fatigue,Nuɔ́l gubuliganɛn Gidɔga,- Fièvre - Fatigue
28,Dry cough Muscle aches and pains,Gigasuna giá gula Gimens,- Toux sèche - Douleurs musculaires
