,cak,kek,spa,eng
0,Richin man niqak'än ta ri COVID-19,Li kaqiyajel,Chank ruuk xkolb'al qib' chi ru li kaqi yajel,Avoid Covid-19
1,,,,
2,,Xjolomil li Tzolok re Watemaal Xna'il Xjolomil li Tzolok sa' Ka'paay chi Aatinob'aal,,
5,,,"Ilustraciones:  Ari and Elaine Vitikainen   La información se tomó de los sitios web﻿de la Organización Mundial de la Salud (OMS), como:﻿https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public  Versión 27.3.2020",
6,,,Literacy for Women in Africa,
7,,,"Coordinación: Emilio Ajquejay, Justo Magzul y Sophia Maldonado. Contextualización: Elías Caal Oxom.                                                            Edición: Roberto Coc Caz y Hermelindo Quim.",
9,,978-9929-794-28-3,978-9929-794-28-3,
10,"Mani nachop ri awäch, ri atza'n chuqa ri achi'.","Ch'aj laawuq'b' rik'in ha' ut xab'on, malaj rik'in li ha' re alkool.",,
11,"Mani nachop ri awäch, ri atza'n chuqa ri achi'.","Maach'e' sa' laawu, sa' laawe ut sa' laawu'uj.",,
12,K'o chi natz'apej ri achi chuqa' ri atz'an rik'in jun wuj su't toq yatat'ixom chuqa' taq yatojb'er. K'a ri k'o chi chanin nak'äq ri su't wuj.,Tz'ap laawu'uj ut sa' laawe rik'in rit laatelb' naq tat-atismaq. Tz'eq li sut xaawoksi chi jun paat.,,
13,Taya' ka'i' metro a kojol kik'in ri winaqi'.,Kanab' wiib' b'aar laayanq rik'in junaq chik poyanam.,,
14,"Wi k'o k'atän chawij, k'o ojob' chawe' chuqa' wi man yatikir ta najq'aj awuxla', chanin takanuj jun aq'omanel.","Wi' yook aatiq, aa'ojb'il malaj ink'a' nakatruuk chi ojb'ak sik' junaq aj ilonel.",,
15,Kan k'o chi nawak'axaj ri rutzijol pa ruwi' ri COVID-19. Kan tanimaj kitzij ri nkib'ij ri aq'omanela' pa ruwi' re yab'il re'.,Sik' esilal chi rix li kaqi yajel. Sik' li na'leb' nake'xk'e aj b'anonel.,,
16,Tojtob'enik,Il maa xataw ru,,
17,¿Achike ruk'amon nab'än richin man nak'än ta re coronavirus?,Jo' najtil xyanq junaq li poyanam naruuk nawank rik'in jalan chik,,
18,jantape nab'än moloj,oxib' b'aar,,
19,jantape nach'äj aq'a',wiib' b'aar,,
20,jantape nab'än etz'anen,jun b'aar,,
21,,,,
25,¿Achike ruk'amon nab'än kik'in ri winaqi'?,Chank ru naruuk tat-atisb'aq,,
26,naya' a kojol k'ik'in,Chi tz'aptz'ook sa' laawe ut laawu'uj rik'in rit laatel,,
27,yatetz'an kik'in,Sa' li iq',,
28,namol awi' kik'in,Chi ru jalan chik poyanam,,
34,"Richin man niqak'än ta ri COVID-19    Richin man niqak'än ta ri COVID-19      Mani nachop ri awäch, ri atza'n chuqa ri achi'. Mani nachop ri awäch, ri atza'n chuqa ri achi'. K'o chi natz'apej ri achi chuqa' ri atz'an rik'in jun wuj su't toq yatat'ixom chuqa' taq yatojb'er. K'a ri k'o chi chanin nak'äq ri su't wuj. Taya' ka'i' metro a kojol kik'in ri winaqi'. Wi k'o k'atän chawij, k'o ojob' chawe' chuqa' wi man yatikir ta najq'aj awuxla', chanin takanuj jun aq'omanel. Kan k'o chi nawak'axaj ri rutzijol pa ruwi' ri COVID-19. Kan tanimaj kitzij ri nkib'ij ri aq'omanela' pa ruwi' re yab'il re'. Tojtob'enik ¿Achike ruk'amon nab'än richin man nak'än ta re coronavirus? jantape nab'än moloj jantape nach'äj aq'a' jantape nab'än etz'anen    Tojtob'enik ¿Achike ruk'amon nab'än kik'in ri winaqi'? naya' a kojol k'ik'in yatetz'an kik'in namol awi' kik'in     ","Li kaqiyajel  Xjolomil li Tzolok re Watemaal Xna'il Xjolomil li Tzolok sa' Ka'paay chi Aatinob'aal  Li kaqiyajel     978-9929-794-28-3 Ch'aj laawuq'b' rik'in ha' ut xab'on, malaj rik'in li ha' re alkool. Maach'e' sa' laawu, sa' laawe ut sa' laawu'uj. Tz'ap laawu'uj ut sa' laawe rik'in rit laatelb' naq tat-atismaq. Tz'eq li sut xaawoksi chi jun paat. Kanab' wiib' b'aar laayanq rik'in junaq chik poyanam. Wi' yook aatiq, aa'ojb'il malaj ink'a' nakatruuk chi ojb'ak sik' junaq aj ilonel. Sik' esilal chi rix li kaqi yajel. Sik' li na'leb' nake'xk'e aj b'anonel. Il maa xataw ru Jo' najtil xyanq junaq li poyanam naruuk nawank rik'in jalan chik oxib' b'aar wiib' b'aar jun b'aar    Il maa xataw ru Chank ru naruuk tat-atisb'aq Chi tz'aptz'ook sa' laawe ut laawu'uj rik'in rit laatel Sa' li iq' Chi ru jalan chik poyanam     ","Chank ruuk xkolb'al qib' chi ru li kaqi yajel    Chank ruuk xkolb'al qib' chi ru li kaqi yajel Ilustraciones:  Ari and Elaine Vitikainen   La información se tomó de los sitios web﻿de la Organización Mundial de la Salud (OMS), como:﻿https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public  Versión 27.3.2020 Literacy for Women in Africa Coordinación: Emilio Ajquejay, Justo Magzul y Sophia Maldonado. Contextualización: Elías Caal Oxom.                                                            Edición: Roberto Coc Caz y Hermelindo Quim.  978-9929-794-28-3                        ",Avoid Covid-19    Avoid Covid-19                             
