,swh,eng
0,Epuka ugonjwa wa virusi vya Korona,Avoid Covid-19
1,,
3,,                                             
5,,Illustrations:  Ari and Elaine Vitikainen   Information was taken from WHO websites such as https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public  Version 6/4/2020
6,,Literacy for Women in Africa
7,,Translated into Swahili by Heri Mwanjalanje
10,,"Nawa mikono yako mara kwa mara kila siku kwa maji na sabuni, au kwa maji yenye dawa ya kuua wadudu (sanitizer)."
11,"Epuka kugusa macho, pua na mdomo.","Avoid touching your eyes, nose and mouth. "
12,Funika mdomo na pua yako kwa mkunjo wa kiwiko cha mkono au kwa tishu wakati unapokohoa au kupiga chafya. Tupa tishu iliyotumika mara moja.,Cover your nose and mouth with your bent elbow or tissue when you cough or sneeze. Dispose of the used tissue immediately.   
13,Kaa umbali wa mita 2 kati yako na mtu mwingine. Epuka safari zisizo za lazima pamoja na mikusanyiko mikubwa ya watu.,Maintain a distance of 2 meters between yourself and others.  Avoid unnecessary travel and stay away from large groups of people.    
14,"Kaa nyumbani kama hujisikii vizuri. Kama unaumwa kichwa, unakohoa au unapumua kwa shida, umwone daktari mapema.","Stay at home if you feel unwell. If you have a fever, cough or difficulty breathing, seek medical attention early.  "
15,Jaribu kupata habari zaidi juu ya yale yanayotokea juu ya ugonjwa wa Korona. Fuata ushauri unaotolewa na wahudumu wa afya.  ,Stay informed about the latest developments on COVID-19.  Find information from reliable sources and  follow the advice given by your healthcare provider.  
18,"Epuka ugonjwa wa virusi vya Korona    Epuka ugonjwa wa virusi vya Korona       Epuka kugusa macho, pua na mdomo. Funika mdomo na pua yako kwa mkunjo wa kiwiko cha mkono au kwa tishu wakati unapokohoa au kupiga chafya. Tupa tishu iliyotumika mara moja. Kaa umbali wa mita 2 kati yako na mtu mwingine. Epuka safari zisizo za lazima pamoja na mikusanyiko mikubwa ya watu. Kaa nyumbani kama hujisikii vizuri. Kama unaumwa kichwa, unakohoa au unapumua kwa shida, umwone daktari mapema. Jaribu kupata habari zaidi juu ya yale yanayotokea juu ya ugonjwa wa Korona. Fuata ushauri unaotolewa na wahudumu wa afya.    ","Avoid Covid-19                                                 Avoid Covid-19 Illustrations:  Ari and Elaine Vitikainen   Information was taken from WHO websites such as https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public  Version 6/4/2020 Literacy for Women in Africa Translated into Swahili by Heri Mwanjalanje   Nawa mikono yako mara kwa mara kila siku kwa maji na sabuni, au kwa maji yenye dawa ya kuua wadudu (sanitizer). Avoid touching your eyes, nose and mouth.  Cover your nose and mouth with your bent elbow or tissue when you cough or sneeze. Dispose of the used tissue immediately.    Maintain a distance of 2 meters between yourself and others.  Avoid unnecessary travel and stay away from large groups of people.     Stay at home if you feel unwell. If you have a fever, cough or difficulty breathing, seek medical attention early.   Stay informed about the latest developments on COVID-19.  Find information from reliable sources and  follow the advice given by your healthcare provider.    "
