,fra,bqm,eng
0,Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19,Jani owa o wɛli li ijowa litɛngɛnɛ ene nyambɛ e wɛlɛwɛkɛ Corona virus tɔ Covid 19,What you need to know about the CORONAVIRUS or COVID-19
1,,,
2,,Cameroon Association for Bible Translation and Literacy,Cameroon Association for Bible Translation and Literacy
5,,,The information in this booklet is taken from the World Health Organization (WHO) website. https://www.who.int/home
8,,,"All pictures belong to CABTAL, except p.2 belongs to Pixabay p.6 (butcher) and p.7 (crowd) belong to Wikimedia Commons p.7 (people watching TV) belongs to United Nations (Photo # 616869 UN Photo/Marco Dormino)  CABTAL Contacts  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  P.O. Box: 16 550 Yaoundé, Cameroon"
11,,                   JANI OWA O WƐLI ,                    SUMMARY
12,,- Corona virus - Ene nyambɛ - Wembaneli - Wato wa ma fayeya ene nyambɛ - Nɔ o wɛli li a kenjeya owa iti? - Jani owa o wɛli li wola wɛnitɛ o lɛmbeli,- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words 
16,,p.2 p.3 p.4 p.5 p.6 p.8 ,p.2 p.3 p.4 p.5 p.6 p.7   p.8
17,,"Corona virus  Ene nyambɛ, Corona virus ya I ijowawi fɛ na Covid 19, e eyɔ si nyambɛ fenya. E ma toma li owawa o ekome ya China o welu 31 la ngɔndɛ ya Likoko lisalɛ o momwa mwa 2019. E wɛli wewoteli na, mawɔmbɔ, si e owɛnɛkɛ wɛnitɛ e leti. Ene nyambɛ e kanjeli o eha wekome ya e se. Wefayeleli weya ene nyambɛ wesi ijowawi.","Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known."
20,,Munani,Elderly person
22,,Munani na nyambɛ o ndongo,Person with a heart condition or disease
23,,"Ene nyambɛ  Ene nyambɛ fenya e lɛmbɛkɛ wato wa memba meyasɛ. Miyunani ma me okakɛ wokɛlɛ, nyambɛ ya mokɔnɔ mo a makoko, mosiyo o ndongo tɔ macha ma agbakɛ wa ɛnɛkeya li lɛmbeya ene nyambɛ kasikasi.","Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus."
26,,-Mowonji -Li ɔ̌tɔ,Fever Fatigue
28,,"-Ekɔseli e sa fumaka ekɔwɛ, wokangi o nyamanyama na wowali",Dry cough Muscle aches and pains
