eng,bgf,fra
What you need to know about the CORONAVIRUS or COVID-19,Ɓɛ mɔ̀ɔ̀ ka áánì ɛ́nɛ̀ wi i a wɛ COLONAVILUSI i ɓééɗì kà a ènàà COVIDI-19,Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19
,,
,Association Camerounaise pour la Traduction de la Bible et l'Alphabétisation,Association Camerounaise pour ﻿la Traduction de la Bible et l'Alphabétisation
,,Les informations contenues dans ce livret ﻿proviennent du site internet ﻿de l'Organisation Mondiale de la Santé (OMS). https://www.who.int/fr/home
,,"Toutes les photos appartiennent à CABTAL, sauf ﻿p.2 à Pixabay ﻿p.6 (boucher) et p.7 (foule) à Wikimedia Commons ﻿p.7 (gens regardant la TV) à United Nations (Photo # 616869 UN Photo/Marco Dormino)  Contacts CABTAL  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  B.P. : 16 550 Yaoundé, Cameroun"
,,
                    SUMMARY,                KUJIƊI TOA MƆ,                                                  SOMMAIRE
- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words ,-Colonavilusi -Ɓɛ wi nɔ̀ɔ̀ ka yowá tindo mɔ wɛ́à  -Ye ɗémi tindo mɔ -Mɛ́ɓɛ̀ ka wi kùù colonavilusi a -Mɛ́ɓɛ̀ ka áánì è wi ɓanɛ́nɛ́ mùù a? -Géà ka wi bo nɛ ɔ̀ɔ̀ dɛ́ nɛ a siki ɓɛ ka mɛ kuo a è? -Ɗyiakasa ye ɓɛ gbàà wè nɔ̀ɔ̀ ŋgàà wɛ́à ,- Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles
p.2 p.3 p.4 p.5 p.6 p.7   p.8,p.2 p.3 p.4 p.5 p.6  p.8 p.9,p.2 p.3 p.4 p.5 p.6 p.7 p.8
"Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.","Colonavilusi  Colonavilusi, ka i ɓééɗì kàà a è Covidi-19, bo tootoo tindo mɔ. I subàà iŋgo a nàà nja ye sinoa a 31 decembre 2019. Tindo mɔ wɛ batini nɛ saɓɛ, bo nɛ ɔ̀ɔ̀ dàà wi pi a fio a ɓɛ siki ka bo i hanya  wɛ Kuo nja   yéle. I ɓàà bo tàà i ma kuli ɓɛ tindo mɔ ŋgɔ.","Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue."
Elderly person,Ye ɓɛ wi nɔ̀ɔ̀  tɛtɛ wi a,Personne âgée
Person with a heart condition or disease,Ɓɛ wi a tindo ɓɛ tindo mɔ mɛ ɓuku a nɛ ye ɓo tindo mɔ,Personne cardiaque ou souffrant de maladie
"Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.","Ɓɛ wi nɔ̀ɔ̀ ka yowá boa tindo ɓɛ tindo mɔ ŋgɔ a  Ye wi nɛ kúlù pɛmbé yéle bo nɛ ɔ tindi ɓɛ kulu tootoo tindo mɔ ŋgɔ. Ye ɓɛ wi nɛ súlò pɛmbé a nɛ ye ɓɛ wi nɔ̀ɔ̀ a tindo ɓɛ kúlù tindo mɔ mɛ: (ɓuku, tindo mɔ li, tindo mɔ sɛ́à, tindo mɔ taŋgala mɔ) tindo mɔ wɛ a ba yowá, ka nyali a tɛ yowá  wààwàà.","Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus."
Fever Fatigue,-Ɓodoɓodo -Mɔɔ tɛ,- Fièvre - Fatigue
Dry cough Muscle aches and pains,-Ŋgàà saɓɛ́  -Nyiŋgo mùù,- Toux sèche - Douleurs musculaires
"Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.","Ye ɗɛmi ye ɓɛ tindo mɔ ŋgɔ  Ye ɗɛmi ɓɛ tindo colonavilusi bati nɛ ka dɛ wi soo a wàà ŋgoli, ɓondoɓondo, ŋgàà saɓɛ, nyiŋgo  mùù, nɛ mɔɔ tɛ. Ye ma ye soko mùù a nyiŋgo wɛ,  jɔ̀ɔ̀ a kpea wɛ, fuo jɔɔ, nyiŋgɔ ŋgɔli, gboa. Ye ma ɓɛ wi nɔ a tindo wɛ a bo nɛ ye dɛmi wɛ a tɛ yowá na yowá boa jé mùù yowá dólà wɛ. Ye ma ye wi ba sagi tɛ tàà saki ma mùù. ","Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier."
Person with a cough,Ɓɛ wi nɔɔ kɔɔ saɓɛ a,Personne qui tousse
"Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.","Mɛ́ɓɛ̀ ka wi kùù colonavilusi a  Covidi-19 ye ɓo ɓɛ ka yowá a bo nɛ tindo mɔ wɛ a ha wi. A siki ɓɛ ka ma mwàà tindo mɔ wɛ, kɔ saɓɛ tɛ kùù jafi a, ka ye jélè wɛ pɛli a jɔ̀ɔ wàà, nɛ mù wàà, tɛ kùù gbali wàà, wi bo nɛ kùù nɛ.","Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée."
How to protect yourself,Mɛ géà ka wi bo nɛ mɔ ɓa nini mùù a è?,Comment se protéger ?
"1. Avoid touching eyes, nose, mouth.","1. Dɔ ma gbali na, nɛ jɔ̀ɔ̀, nɛ nù.","1. Eviter de se toucher les yeux, le nez, la bouche."
2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.,"2. Tàà ye kɔ mɛ nɛ li tɛ kùù saɓunu, mɛ tuli a nɛ mɔjààyélè sa wɛ.",2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.
