,spa,csn
0,¿Cómo ayudar a un miembro de la familia con COVID-19?,
1,,
5,,LENGUA DE SEÑAS COLOMBIANA: SEBASTIAN NUÑEZ FILAMACIÓN: KELLY ROJAS ILUSTRADORAS: SANDRA LÓPEZ Y KELLY ROJAS EDITOR Y SUBTITULACIÓN: SEBASTIAN NUÑEZ Y KELLY ROJAS ASESORA: PATTI JONES 
7,,ASOCIACIÓN CRISTIANA MANOS EN ACCIÓN
8,,ASOCIACIÓN CRISATIANA MANOS EN ACCIÓN
10, ¿Cómo ayudar a un miembro de la familia con COVID-19?,
11,Quédese en su casa.,
12,Para recibir atención médica puede tener una vista virtual con el doctor o con  telemedicina.,
13,La familia y los amigos pueden compartir tiempo y haga actividades con la persona enferma por medios virtuales o video llamadas asi se mantendrá de buen ámino.,
14,Prepare comida para el enfermo.,
15,Ofrézcale agua para mantenerle hidratado.,
16,Lávese las manos con frecuencia y mantenga la ropa de la persona enferma limpia.,
17,"Si necesita comprar medicamentos, pida un servicio a domicilio.",
18,Sea responsable con el autocuidado y el de los demás.,
19,Todos los miembros de la familia deben cuidar de su propia salud.,
20,En una dieta balanceada y nutritiva no pueden faltar las frutas y las verduras pues contribuyen a la buena salud.,
21,"Esté atento a los signos de alarma, como la fiebre alta.",
22,Abra la ventana para aumentar la circulación de aire.,
23,Limitar sus contactos con otros.,
26,"¿Cómo ayudar a un miembro de la familia con COVID-19?    ¿Cómo ayudar a un miembro de la familia con COVID-19?       ¿Cómo ayudar a un miembro de la familia con COVID-19? Quédese en su casa. Para recibir atención médica puede tener una vista virtual con el doctor o con  telemedicina. La familia y los amigos pueden compartir tiempo y haga actividades con la persona enferma por medios virtuales o video llamadas asi se mantendrá de buen ámino. Prepare comida para el enfermo. Ofrézcale agua para mantenerle hidratado. Lávese las manos con frecuencia y mantenga la ropa de la persona enferma limpia. Si necesita comprar medicamentos, pida un servicio a domicilio. Sea responsable con el autocuidado y el de los demás. Todos los miembros de la familia deben cuidar de su propia salud. En una dieta balanceada y nutritiva no pueden faltar las frutas y las verduras pues contribuyen a la buena salud. Esté atento a los signos de alarma, como la fiebre alta. Abra la ventana para aumentar la circulación de aire. Limitar sus contactos con otros.  ",     LENGUA DE SEÑAS COLOMBIANA: SEBASTIAN NUÑEZ FILAMACIÓN: KELLY ROJAS ILUSTRADORAS: SANDRA LÓPEZ Y KELLY ROJAS EDITOR Y SUBTITULACIÓN: SEBASTIAN NUÑEZ Y KELLY ROJAS ASESORA: PATTI JONES   ASOCIACIÓN CRISTIANA MANOS EN ACCIÓN ASOCIACIÓN CRISATIANA MANOS EN ACCIÓN                 
