,mlk,eng
0,Kuhusu bhirusi bhya Kud’a,About Coronavirus
1,,
2,Translated by Fatuma Ali,
4,Kuna jai mooza ipeeka upejikeene kui’elewa kuhusu aka bhirusi bhya kud’a,There's only ONE thing ﻿you need to understand about how a coronavirus
5,KU’ENEE,SPREADS
6,Kanweeni,Mouth
7,Bûleeni,Nose
8,Machooni,Eyes
9,yakakupacha,Get into your
10,Mûûdû anaa jinna fai,Healthy Person
11,Mûûdû moroghoti,Sick Person
12,Bhirusi bhika’enea guya mata yakut’innik’île,The virus spreads when ﻿these droplets
13,Kaag hatua. Mita 2 ikud’uuna kukweeka usalaama na mata/ikololo yat’innkie.,Keep your distance.﻿2m to 0.5m will keep you safe from large droplets.
14,1,1
15,ûzî,2m-0.5m
16,Hat’isoo!,Achoo!
17,Kwa aka iyyo guya oone mûûdû akokololee/hat’iseeni,So if you see someone who is visibly coughing/sneezing/sick you can choose to:
18,Wanyiige kyiizi.  Wakokololela dhini ama kuhat’isîza dhini na wakiinge waalya chwee waa bira yaao,Give them a mask.﻿They can cough or sneeze in it and protects everyone else nearby
19,2,2
20,Ni asanta *Shub’a uvunîka*,Thank you﻿*sniffles*
21,Ama,"OR,"
22,"Anaafi daa moroghoti, nijai akukingee mîîlî","Maybe she's not sick, just protecting herself"
23,"Waad waalya wa’ambukizizwe wakud’una kochowa konyisa d’alili, amû yiite wanaa maambukizi","People who are infected can show no symptoms, but are still﻿infectious"
24,"Na kwa uj’umula, ni fai kukaagî kla na ummati wa waadû, maana da’ukud’uuna kumanya katî kaao ni ani yûû moroghoti.","And in general, it's a good idea to avoid crowds, because you don't know who might be sick."
25,Bhipod’ozi,chopsticks
26,Mûûdû anaa jinna fai,Healthy person
27,Masîîrimo za tireni,Train straps
28,Bhifuungo bhya kûchîza izûlû,Lift buttons
29,Tishu,Tissues
30,Bhikombe,Cups
31,Bhifaa bhya dijitali,Digital devices
32,Na hata na b’atiini ya oso wa  kyiizi kyewwe,& even on the outside of your face mask
33,Mab’ango ya staa,Stair bannisters
34,Banya,Mouse
35,Kalamu,Pens
36,Kichapi kya babala,Door knobs
37,Mikono yaao,Their hands
38,J’apokuwa wakati ûgî mataa mûûdû moroghoti yakud’uuna kut’innik’îla biyya zîgî…,"However, sometimes a sick person's saliva can get on other things…"
39,anyî chwee mukud’uuna kulwaala,you might all fall sick.
40,ama oswaa mud’ala ywewwe,or your loved one's face
41,ukashukuma macho,rub eyes
42,"Na guya udhaabhi b’llaa kutarazia b’aadhyaa sehemu îzi, na kisaana ukadhaabha oso wewwe,","And if you do touch any of these things by accident, and then touch your face,"
43,"Na gîla mooza muhimu hamu ya kuwamala ni kwa koosa na kuwacheeja na sab’uni, jiiki, ama boorte.","and the only effective way to get rid of them is to wash them off with soap, bleach, or alcohol."
44,Bhirusi nijai bhikakaagî hubhîîni kwa mud’aa masa’a bhit’ook’o,"Viruses can last for quite a few hours on objects,"
45,Sab’uni,soap
46,Tahadhari,precautions
47,Dûû manaa yûû muhimu kweera aya,Which is why it is also good to follow these
48,Osa na sab’uni mupakaa apo,wash with soap up to here
50,Chik’ilî,elbow
51,"Manya usaadhaabha oso wewwe. (ama oso wa mûûdû ûgî.) Guya yaakukub’idhi, osa nguzi mikono yewwe aka fai na sab’uni.","Do not touch your face. (Or anyone else's face.) If you have to, wash your hands with soap thoroughly first."
52,Mud’a mufai wa koghoona ubhinaa ‘Sikwaa kubhyaalîka’ mara bîlî.,Enough time to sing “Happy Birthday” twice
53,Gobera mibeeni,under the nails
54,Kwa mud’aa sekunde 20,for 20 seconds
55,Kaarha za nyalimo,between the fingers
56,Osa nyumaa mikono yewwe,wash the back of your hands
57,Kusafisa hamu ikama’nisha jîîza?,What is thoroughly?
58,"Guya ugheghezie aka iyyo, uswiite na wasiwasi. Ukisaana osa mikono yewwe na sab’uni.","If you did, don't worry. Just wash your hands with soap after."
59,Manya usaadhaabha kyiizi ikyo na b’atiini.,"Also, don't touch the outside of the mask if you can."
60,Mata/ikololo,droplets
61,*Bakiteria nijai zika’enea kyiizi ikyo dhini guya ukifaazie kyiizi ikyo kwa mud’a mulaila,*Bacteria grows on the insides of your mask if you wear them too long
62,Llacha kyiizi guya oone kit’uraawie. Manya usaakufaala kyiizi ikyo zaid’yaa siku mooza!,Throw away masks once they feel gross. Don't wear them for more than a day!
63,Tumia mok’aa kupakua bhiitû,Use a serving spoon
64,D’aana,Baby
65,Baaba,Daddy
66,Aaî,Mommy
67,Killaa mûûdû ipejikeene akwiita na taulwaa koowa yeyye mweenye.,Everyone gets their own towel
68,"Manya musaakulubhana ama kutumika wali bhiitû, hubhî, bhikombe, taulu.","Do not share food, utensils, cups, towels."
69,Maana da’ud’uuna udhaabhe oso wewwe na chik’ilî hata guya uwakud’eema,You can't touch your face with your elbow even if you tried
70,Guya iwakud’unikana arhûlla na ufuuge babala ikiwa utumikee ch’ik’ilî yewwe ama ifuzi lyewwe bad’ilyaa kutumika mokono wewwe.,"Open & close doors with your elbows or shoulders instead of hands, if possible."
71,Muzîni,Home
72,Na hata ba’ad’a kwiita b’atiini na wadûû,and after being out in the public
73,Kab’ullaa usaakûlya bhiitû,Before you eat
74,Osa mikono yewwe na maazî na sab’uni killaa wakati…,Always wash your hands with soap…
75,Na mwiisho,"And finally,"
77,Killaa mûûdû na akaagî  na usalaama!  ,"Stay safe, everyone!"
80,Soma nakala îyî ud’ak’abhe kumanya udhiina,Read the articles for more tips!
81,"“This animation shows how far your sneeze can actually travel” by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020) ","""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)"
