,lts,heg,eng
0,Olumbe lwa Korona,In Teka deng Virus Corona,About Coronavirus
1,,,
3,,,
4,,Muik DASI MESA man kita musti tanan deng virus korona li in holhising nga,
6,,Baha ,
7,,Ilu nol ,
8,,Mata ,
9,,Tama lako ,
10,,Atuil in hed lo,
11,,Atuil in heda ,
12,,Virus ni holhising deng kapen,
13,,Lam musti dil kakatang nataka le meter 2 halin tom un kapen in hising nga deken. ,
14,,1,
15,,"0,5-2 meter ",
16,,Haachii!! ,
17,,Eta mi net atuli mes kode tam heda tam hngasing taa le hangi,
18,,BELEN MASKER. Le halin eta un kode ta hangi lam se masker ra dale. Eta ela lam tom atuil didang lo. ,
19,,2,
20,,Nodan mamo “SROOT” ,
21,,TAMLOM ,
22,,"Eta atuli mes pake kai-baut elia lam bet un heda lo, ni in doh apa tukun. ",
23,,"Atuling man in tom virus son na bet kit tanan lo, molam eta un tom son nam, kit kon bisa hapun deng una. ",
24,,"In banan dui ka, laok se mana-maan atuli in nakbua kas deken, undeng mi taan lo noan atuling in heda ki ola lia. ",
25,,bisi ,
26,,atuil in hed lo ,
27,,man in kila ,
28,,tombol ,
29,,kitu ,
30,,klas ,
31,,Hp komputer ,
32,,masker ra likun na ,
33,,tangga ,
34,,maus ,
35,,bulpuin ,
36,,hnita ,
37,,ima ka ,
38,,"Nol mes pait, atuil in heda ki kapen na bisa napin se….. ",
39,,lam mi totoang bisa haup iil nia.,
40,,"huud atuil mi in namnau ngas silans, ",
41,,"kose matan tam, ",
42,,"Eta mi taan lo, mo mi huud tom sa-saa nias hidim huud mi silan nas tam, ",
43,,"Lalan in puti banan mes taung in tom virus ni lo ka, MUSTI haun iman nini sabu, bycline tamlom alkohol. ",
44,,Virus ni bisa tahang naal se sa-saa mes dapa jam 24 ,
45,,sabu,
46,,deng in doh apan deng virus nia ka.,
47,,Undeng na le banan dui ka muid in teka ,
48,,haun iman babanan lako pes sikun nini sabu.,
50,,sikun ,
51,,Boel huud silan (tamlom atuil didang sila deken) Banan dui ka haun iman nini saub muna le. ,
52,,haun nesang nga banansila el in tao dain “selamat ulang tahun” oe dua. ,
53,,hngulun ,
54,,detik 20 ela. ,
55,,hnagan ,
56,,haun iman klupu ,
57,,Lalan in haun iman ni-niu ki elola? ,
58,,"Eta hudun nam, lii-tiud deken. Kit bisa hlalapat haun iman nini sabu. ",
59,,Boel huud masker ra likun na deken. ,
60,,kapen in nahi ngas ,
61,,Eta kit pake masker mes nesang isi kam ili koed-ngasing bisa nutu ana se masker ra dalen. ,
62,,Soleng masker ra eta nataka le hmomos son. Boel pake masker ra oe-oe tamlom nesang isi deken. ,
63,,Pake sulut in sul utan ,
64,,Tana-ana ngas,
65,,Papa,
66,,Mama ,
67,,Mesa-mesam no-nool un handuk ,
68,,"Boel leo-leo pake sa-saa in kaa, in pake, el klas nol handuk deken. ",
69,,Mi bisa huud naal silan nini sikun tamlom adun lo ta lo? ,
70,,Eta bisa lam sai hnita kas nini sikun tamlom adun. ,
71,,Uma,
72,,Pait umam deng likun nam haun iman ,
73,,Kaa biim haun iman ,
74,,Haun iman nini saub tutungus… ,
75,,In teka hmudin nia: ,
