lts,abs,eng,ind
Olumbe lwa Korona,Soal Virus Korona,About Coronavirus,Tentang Virus Corona
,,,
,,,
,Cuma SATU hal yang ale parlu mangarti soal bagemana virus Corona ,,
,BAJANGKE,,
,Mulu ,,
, Idong ,,
,Mata ,,
,Maso ka dalang ,,
, Orang yang seng saki ,,
,Orang saki ,,
,Virus bajangke kalo aer mulu ni tampias ,,
,Jaga jarak.  Ale bisa aman dari aer mulu yang tampias tu deng cara jaga jarak 2m. ,,
,1,,
,"2m-0,5m",,
,Haciiinggg!!!,,
,"Jadi, waktu ale lia orang babatu/barsing/saki, ale bisa: ",,
,"KASI MASKER PAR DONG. Jadi, dong bisa barsing ka babatu dalang dong pung masker biar orang-orang di pinggir-pinggir seng kana virus.",,
,2,,
,Dangke “Sroot” ,,
,"KA, ",,
,Mangkali dia seng saki. Dia cuma jaga dia pung diri sandiri. ,,
,"Orang yang su kana penyaki mangkali seng kasi unju tanda-tanda, mar penyaki yang ada di dia tu tetap bisa bajangke par orang laeng. ",,
,"Labe bai, jang dekat-dekat deng orang banya, tagal ale seng tau kata sapa sa yang ada saki. ",,
, Alat-alat makang,,
,Orang yang seng saki ,,
,Tampa bapegang di kareta ,,
,Tombol lift ,,
,Tisu ,,
,Galas ,,
,HP ka laptop ,,
,Mala di masker pung bagiang luar,,
,Tangang tangga ,,
,Mouse komputer ,,
,Pena ,,
, Gagang pintu ,,
,Dong pung tangang ,,
,"Biar kata bagitu, orang saki pung aer mulu bisa tatempel di...",,
,ale dong samua bisa saki.,,
,"Ka sonto orang-orang yang ale sayang pung muka, ",,
,"Kuca mata, ",,
,"Kalo ale seng sangaja sonto barang-barang tadi tu la abis itu ale sonto ale pung muka sandiri, ",,
,"Cuma ada satu cara yang paleng bagus par kasi ilang virus tu: cuci barang tadi deng sabong, baiklin, ka alkohol. ",,
,Virus bisa hidop sampe 24 jam di satu barang. ,,
,Sabong ,,
,cara-cara ni biar ale seng kana virus.,,
,"Tagal itu, labe bai iko ",,
,Cuci deng sabong sampe di sini.,,
,Siku ,,
,"Jang sonto ale pung muka. (Ka sapa sa pung muka.) Kalo memang musti, cuci ale dong pung tangang sampe barsi do deng sabong.",,
,Sama deng manyanyi lagu “Happy Birthday” dua kali. ,,
,Bawa kuku. ,,
,20 detik. ,,
,Salekang-salekang jari. ,,
,Cuci balakang tangang. ,,
,Bagemana cara cuci tangang sampe barsi? ,,
,"Kalo memang musti sonto, jang pikirang. Capat cuci tangang deng sabong.",,
,Jang sonto bagiang luar masker. ,,
, Aer mulu yang tampias. ,,
,Bakteri bisa tamba banya di bagiang dalang masker kalo ale pake akang talalu lama. ,,
,Buang ale pung masker kalo su kotor. Jang pake masker labe dari satu hari. ,,
,Pake sendo sayor ,,
,Ana ,,
,Papa ,,
,Mama ,,
