,fra,lns,eng
0,Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19,Kinyo ke à kér fó kiíy kùm yàsí woo Sòv Njoŋ-19,What you need to know about the CORONAVIRUS or COVID-19
1,,,
2,,Cameroon Association for Bible Translation and Literacy,Cameroon Association for Bible Translation and Literacy
5,,,The information in this booklet is taken from the World Health Organization (WHO) website. https://www.who.int/home
8,,,"All pictures belong to CABTAL, except p.2 belongs to Pixabay p.6 (butcher) and p.7 (crowd) belong to Wikimedia Commons p.7 (people watching TV) belongs to United Nations (Photo # 616869 UN Photo/Marco Dormino)  CABTAL Contacts  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  PO Box : 16 550 Yaoundé, Cameroon"
11,,                        VITÚ VE VINYÒ ,                    SUMMARY
12,,"- Sòv Njoŋ - Wír ve kév kí yòʼ dzəə̀n - Vifiʼìr - Mo dzə̀ sòv njoŋ tùmsín - Mo dzə̀ à kìŋsìn kitú ké - A yàsí və̀n koò ne wò, a yèe?  ",- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words 
16,,p.2 p.3 p.4 p.5 p.6 p.8 ,p.2 p.3 p.4 p.5 p.6 p.7   p.8
17,,"Sòv Njoŋ  Sòv njoŋ, wo bàraʼ kfə̀n yoŋ sa jii, COVID-19 və̀n dzə̀ yásí, a bó wù yòʼ-oò sì. Vé-eè tòmbìy, e yù léŋ yàsí və̀n, a dzə̀ fó Càáyínà, kishiíy 31 fo ŋwee Ntinèn Saàr, e kiya kee 2019. Vifíʼìr vé yàsí və̀n vi dzə̀ kishwimnèn kee fìn yúy, é yí wáa shaà, é kinjàʼ ki shúr, é wúne wáa nyar, a wèŋrì wèŋrìn. Yàsí və̀n túy sóŋ e wìr wùn, laá wáa yen, bo kù sì kpú.Yàsí və̀n ram vitúm vidzə̀m e kitu ke nsay. Bó á yóʼ ne kìíy fo wù loòn gheéy.","Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known."
20,,Wír woo ŋgàywìr,Elderly person
22,,Wír wo wù kér yàsí woo kùm shilív,Person with a heart condition or disease
